,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
23,E&E,LGBM_total,0.937665403,0.856746451,0.942362522,0.725972979,0.934708438,0.436999077,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.450222233,0.719668226,0.47534856,0.341049987,0.379389465,0.553914152,0.447195103,0.888753619,0.49558131,0.52,0.17
24,CO2,BGLGBM_total,0.941811144,0.795733088,0.943361065,0.680676714,0.954994558,0.591919159,{'n_estimators': 50},0.750610384,0.693654601,0.691753644,0.70152641,0.683855854,0.81160438,0.850124432,0.628368694,0.690131106,0.71,0.08
25,CFCs,BGLGBM_total,0.941811144,0.795733088,0.943361065,0.680676714,0.657487601,3.479942472,{'n_estimators': 50},0.205055425,0.280002144,0.212966863,0.233387183,0.235047118,0.474847448,0.074621114,0.902163294,1.734550915,0.78,1.07
26,Methane,BGLGBM_total,0.941811144,0.795733088,0.943361065,0.680676714,0.926607831,0.82874925,{'n_estimators': 50},0.94837253,0.665138413,0.545068424,0.89363403,0.917401033,0.875175148,0.92377987,1.075049227,0.78806623,0.85,0.15
27,E&E,BGLGBM_total,0.941811144,0.795733088,0.943361065,0.680676714,0.94165392,0.381593451,{'n_estimators': 50},0.556676085,0.851830221,0.480505589,0.369686078,0.360913447,0.49840645,0.541907091,0.82061978,0.47621982,0.53,0.17
28,CO2,DT_separate,0.887824217,1.663285086,-1,-1,0.909710799,1.248202789,{'criterion': 'friedman_mse'},1.493828809,1.491914958,1.508302976,1.516835841,1.265551115,1.612649321,1.502283624,1.440352479,1.416498339,1.45,0.11
29,CO2,GBR_separate,0.946012766,0.809626896,-1,-1,0.954463155,0.618377136,"{'learning_rate': 0.5, 'n_estimators': 200}",0.843271325,0.8238954,0.767320504,0.673937087,0.8334668,0.868700958,0.75651467,0.768611888,0.704220833,0.77,0.08
30,CO2,BG_separate,0.934051785,0.97910282,-1,-1,0.946829253,0.72287513,{'n_estimators': 100},0.935823073,0.823046869,0.83602044,0.889689885,0.832492556,1.052173861,1.013193383,0.756173222,0.851862013,0.87,0.10
31,CO2,ETR_separate,0.941867144,0.862538595,-1,-1,0.943595227,0.739281751,{'n_estimators': 200},0.905640403,0.722349912,0.856475425,0.902512358,0.796350654,1.029958063,0.978933787,0.715459929,0.869992939,0.85,0.11
32,CO2,RF_separate,0.934787259,0.967797522,-1,-1,0.947623025,0.710991284,{'n_estimators': 200},0.957650981,0.8400537,0.83132414,0.881464208,0.824749176,1.058482348,0.999696325,0.777533751,0.843886949,0.87,0.10
