,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
20,CO2,LGBM_total,0.935985018,0.868670108,0.931278037,0.898039123,0.954295815,0.669164552,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.920257727,0.68893622,0.751134766,0.779494775,0.776873337,0.773950769,0.853032615,0.692685204,0.64765122,0.76,0.09
21,CFCs,LGBM_total,0.935985018,0.868670108,0.931278037,0.898039123,0.343330356,6.660758619,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.36339065,0.275346297,0.79728551,0.543322775,0.78442299,0.850909258,0.113620188,1.051726845,1.3262254,1.28,1.93
22,Methane,LGBM_total,0.935985018,0.868670108,0.931278037,0.898039123,0.896686183,1.228801952,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",1.288420167,0.831296517,0.598840406,1.343920926,1.143101475,0.948671268,0.938990853,1.308831909,0.778001202,1.04,0.26
23,E&E,LGBM_total,0.935985018,0.868670108,0.931278037,0.898039123,0.933813931,0.448189585,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.500021476,0.792021491,0.389523166,0.342475101,0.367353286,0.554366466,0.44967118,0.80381389,0.468826846,0.51,0.16
24,CO2,BGLGBM_total,0.940674747,0.804789712,0.939795832,0.740798085,0.953042154,0.635323658,{'n_estimators': 50},0.856511709,0.667060569,0.71515424,0.743001477,0.68530749,0.863637911,0.897163472,0.608696577,0.721951599,0.74,0.10
25,CFCs,BGLGBM_total,0.940674747,0.804789712,0.939795832,0.740798085,0.627436148,3.745714229,{'n_estimators': 50},0.230468512,0.256887103,0.209737071,0.225580291,0.248379634,0.40826501,0.103348002,0.805551162,1.751127315,0.80,1.15
26,Methane,BGLGBM_total,0.940674747,0.804789712,0.939795832,0.740798085,0.918552172,0.943199358,{'n_estimators': 50},1.047461519,0.679346404,0.575984042,0.998173499,0.958745341,0.84039389,0.936818194,1.067328965,0.765798636,0.88,0.16
27,E&E,BGLGBM_total,0.940674747,0.804789712,0.939795832,0.740798085,0.941909574,0.378880599,{'n_estimators': 50},0.569183961,0.850666153,0.459526432,0.390264453,0.368183878,0.506834418,0.55344544,0.85387487,0.467309089,0.54,0.18
28,CO2,DT_separate,0.883783771,1.70898322,-1,-1,0.901589003,1.450577425,{'criterion': 'squared_error'},1.431075121,1.594851015,1.611987872,1.626668151,1.262940079,1.832448161,1.558135022,1.378949287,1.441309284,1.518894142,0.159653411
29,CO2,GBR_separate,0.944544611,0.827222111,-1,-1,0.944412627,0.770708586,"{'learning_rate': 0.5, 'n_estimators': 200}",0.852499087,0.716056772,0.752575847,0.811980772,0.749634202,0.968760367,0.848395144,0.658030897,0.718130627,0.78,0.09
