,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
0,CO2,DT_total,0.874396169,1.700466764,0.880477753,1.547304988,0.898587706,1.44001481,{'criterion': 'squared_error'},1.730539643,1.481374021,1.508653401,1.6284655,1.610653297,1.680634086,1.541109536,1.643177036,1.415970291,1.57,0.11
1,CFCs,DT_total,0.874396169,1.700466764,0.880477753,1.547304988,0.323712266,5.358111045,{'criterion': 'squared_error'},1.449452333,0.501721592,1.352310463,2.388327163,1.385138825,3.935767245,0.780698864,2.575345064,3.111878139,2.28,1.52
2,Methane,DT_total,0.874396169,1.700466764,0.880477753,1.547304988,0.851295614,1.791954823,{'criterion': 'squared_error'},1.641552262,2.291964393,1.347538747,1.647036727,1.926761297,1.970738411,1.761237491,1.983950371,1.88572649,1.82,0.25
3,E&E,DT_total,0.874396169,1.700466764,0.880477753,1.547304988,0.871239962,0.987359765,{'criterion': 'squared_error'},1.215595943,1.444552989,1.306484945,0.81441901,0.878314583,1.249443477,1.003765632,1.419572619,0.826257639,1.11,0.24
4,CO2,GBR_total,0.926167975,1.013822264,0.913661641,1.134355958,0.946875681,0.738264625,"{'learning_rate': 0.5, 'n_estimators': 200}",0.920367729,1.008136713,0.900268949,0.854263955,0.992046238,0.971921475,1.034818842,0.933535956,0.760955126,0.91,0.1
5,CFCs,GBR_total,0.926167975,1.013822264,0.913661641,1.134355958,0.796682441,2.549390784,"{'learning_rate': 0.5, 'n_estimators': 200}",0.549570517,0.27409883,0.347561635,0.876504693,0.557328467,1.776732777,0.190858501,0.384717708,1.201002354,0.87,0.77
6,Methane,GBR_total,0.926167975,1.013822264,0.913661641,1.134355958,0.841234408,2.185160575,"{'learning_rate': 0.5, 'n_estimators': 200}",1.493728662,0.963063661,0.700225378,1.211980785,1.142424337,1.428304267,1.575664318,1.383091073,1.024708322,1.31,0.41
7,E&E,GBR_total,0.926167975,1.013822264,0.913661641,1.134355958,0.901365918,0.645595587,"{'learning_rate': 0.5, 'n_estimators': 200}",0.780522657,0.967284414,0.626353712,0.524319135,0.576315854,0.937524795,0.788406204,0.922335818,0.649319712,0.74,0.16
8,CO2,BG_total,0.923911091,1.026704704,0.928713502,0.860151786,0.938929079,0.805140971,{'n_estimators': 100},1.017135687,0.816326999,0.877156924,0.897307878,0.861627586,1.083339148,1.053506275,0.815921055,0.907800974,0.91,0.1
9,CFCs,BG_total,0.923911091,1.026704704,0.928713502,0.860151786,0.666794513,3.330169551,{'n_estimators': 100},0.377198158,0.190428795,0.8256976,0.752389413,0.963848087,1.864105036,0.405989642,1.543887957,2.83507471,1.31,1.07
