,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
0,CO2,DT_separate,0.879472954,1.575475701,-1,-1,0.873350547,1.607170838,{'criterion': 'squared_error'},1.48115262,1.307157124,1.687217414,1.402068047,1.605158186,1.375799029,1.272018878,1.633966066,1.642275093,1.50,0.15
1,CO2,GBR_separate,0.93919462,0.808747701,-1,-1,0.919806119,0.956427118,"{'learning_rate': 0.5, 'n_estimators': 200}",0.593909378,0.701786527,0.781383232,0.664569075,0.760708438,0.69003031,0.640642611,0.801772313,0.848869728,0.74,0.11
2,CO2,BG_separate,0.923676397,1.004505237,-1,-1,0.902904966,1.094236345,{'n_estimators': 100},0.81566267,0.849116414,0.939619409,0.863490928,0.857046945,0.905668662,0.791639651,1.081304564,1.067369949,0.93,0.11
3,CO2,ETR_separate,0.93,0.91,-1,-1,0.93,0.861273005,{'n_estimators': 180},0.769005541,0.772218627,0.883888638,0.820674446,0.834868462,0.931994506,0.772131799,0.942405229,0.99304048,0.86,0.08
4,CO2,RF_separate,0.92,1.00,-1,-1,0.90,1.085902586,{'n_estimators': 200},0.808826077,0.851630681,0.939357265,0.878354082,0.859944183,0.902360563,0.793293591,1.078766382,1.059696717,0.93,0.11
5,CO2,LGBM_separate,0.93,0.89,-1,-1,0.93,0.805304053,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.555842024,0.787280869,0.869333614,0.707390336,0.75915699,0.77574321,0.666972965,0.888256102,0.805448473,0.76,0.10
6,CO2,BGLGBM_separate,0.94,0.77,-1,-1,0.94,0.753710783,{'n_estimators': 30},0.532639778,0.625628552,0.769203158,0.650330073,0.71432866,0.726252927,0.612381264,0.776330262,0.804449273,0.70,0.09
7,CFCs,DT_separate,0.830141294,2.979183444,-1,-1,0.842275108,3.511082362,{'criterion': 'absolute_error'},2.194289552,1.494885974,4.401400666,2.483760121,1.895687298,1.901523487,1.590482033,2.356134075,1.083662997,2.29,0.99
8,CFCs,GBR_separate,0.913780435,1.589301282,-1,-1,0.971597554,0.66124695,"{'learning_rate': 0.5, 'n_estimators': 180}",0.455834907,0.550285909,0.376132869,0.835871392,1.053928115,0.921416189,1.740828401,1.007358966,0.974873022,0.86,0.39
9,CFCs,BG_separate,0.896623786,1.680448117,-1,-1,0.932547068,1.453589188,{'n_estimators': 100},1.438707313,1.380139984,1.012842467,1.778599907,1.316789729,1.175164366,1.667495676,1.777473742,0.864187539,1.39,0.31
10,CFCs,ETR_separate,0.93,1.26,-1,-1,0.95,1.082030016,{'n_estimators': 150},0.979572757,0.71559862,0.573630413,0.958394606,1.191001412,0.840571019,1.179932658,1.012489138,0.628039903,0.92,0.22
11,CFCs,RF_separate,0.90,1.65,-1,-1,0.93,1.462015977,{'n_estimators': 120},1.317420809,1.436182245,0.990602769,1.771429637,1.238240998,1.19352859,1.646286979,1.770065776,0.856599679,1.37,0.31
12,CFCs,LGBM_separate,0.91,1.59,-1,-1,0.97,0.740410746,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.80826595,0.842429,0.374255064,1.096392533,0.745503,0.784293723,0.735950593,1.006630755,0.861209416,0.80,0.19
13,CFCs,BGLGBM_separate,0.93,1.29,-1,-1,0.96,0.824130091,{'n_estimators': 50},0.670167953,0.809951714,0.357641003,1.299639393,0.952154256,0.962953546,1.240509111,1.297348075,0.732695314,0.91,0.30
14,Methane,DT_separate,0.808651975,2.187638004,-1,-1,0.856921363,1.598917189,{'criterion': 'friedman_mse'},1.698791552,1.889025421,1.806431584,1.24761738,1.701231492,1.47563575,1.838191957,1.919376587,1.931201418,1.71,0.22
15,Methane,GBR_separate,0.888729621,1.265336657,-1,-1,0.925932438,0.787881775,"{'learning_rate': 0.5, 'n_estimators': 200}",0.894075328,1.253589994,1.072200921,0.739077684,1.155704338,0.953128226,0.954209766,1.037653907,1.056555625,0.99,0.16
16,Methane,BG_separate,0.895083649,1.191787779,-1,-1,0.912894809,0.915381104,{'n_estimators': 100},0.94151954,1.113308818,1.137634352,0.747463821,1.189040477,0.888225558,1.151201981,1.069569887,1.164802447,1.03,0.15
17,Methane,ETR_separate,0.91,1.03,-1,-1,0.92,0.842758812,{'n_estimators': 100},0.895004083,1.042717431,0.99871128,0.70555086,1.084870912,0.950629993,1.03229563,0.913186254,0.954185824,0.94,0.11
18,Methane,RF_separate,0.90,1.18,-1,-1,0.91,0.914292311,{'n_estimators': 180},0.93303716,1.108325463,1.130299308,0.742154434,1.193170011,0.885206075,1.153839279,1.083049853,1.182867375,1.03,0.15
19,Methane,LGBM_separate,0.90,1.17,-1,-1,0.92,0.838845835,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.934843734,1.012235456,1.00460816,0.649069758,1.235905702,0.943456153,1.100512883,0.986423871,0.895657308,0.96,0.16
20,Methane,BGLGBM_separate,0.91,1.04,-1,-1,0.93,0.70030119,{'n_estimators': 30},0.766939098,0.915624082,0.937960663,0.560397643,1.12891477,0.858245372,0.904385336,0.888698956,0.785813973,0.84,0.15
21,E&E,DT_separate,0.818235831,1.315966983,-1,-1,0.86535952,1.105416492,{'criterion': 'squared_error'},1.038464126,0.91297028,1.042051303,1.469422272,1.266221348,1.051708636,0.943682187,0.979994302,1.099988213,1.09,0.17
22,E&E,GBR_separate,0.92584071,0.5405451,-1,-1,0.940695402,0.450348897,"{'learning_rate': 0.5, 'n_estimators': 200}",0.549522335,0.351838773,0.375043874,0.351174956,0.392559278,0.304147032,0.401347085,0.396211092,0.374427229,0.39,0.07
23,E&E,BG_separate,0.888989723,0.805084837,-1,-1,0.911839344,0.64106248,{'n_estimators': 100},0.623546579,0.592298817,0.645133292,0.94713012,0.922788841,0.592732399,0.501280716,0.584141054,0.665086212,0.67,0.15
24,E&E,ETR_separate,0.91,0.68,-1,-1,0.91,0.659914078,{'n_estimators': 120},0.606887457,0.545581069,0.618839604,0.918170747,0.770436923,0.553420544,0.589572447,0.52307851,0.594329628,0.64,0.12
25,E&E,RF_separate,0.89,0.80,-1,-1,0.91,0.634208727,{'n_estimators': 200},0.621324837,0.598758661,0.63808098,0.941855954,0.91535565,0.592875316,0.508130821,0.578639471,0.668622132,0.67,0.14
