,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
0,CO2,DT_total,0.876584085,1.644272717,0.883347967,1.495794661,0.9096594,1.253539341,{'criterion': 'squared_error'},1.869957734,1.640171304,1.492573379,1.628019518,1.532707476,1.676948378,1.579266414,1.642551977,1.375816363,1.57,0.17
1,CFCs,DT_total,0.876584085,1.644272717,0.883347967,1.495794661,0.359175699,5.200537957,{'criterion': 'squared_error'},1.545061181,0.5343775,1.354042731,2.477206372,1.375832634,3.842433567,0.698593998,2.475575972,3.41236024,2.29,1.49
2,Methane,DT_total,0.876584085,1.644272717,0.883347967,1.495794661,0.834281123,2.035145018,{'criterion': 'squared_error'},1.704229665,1.909683178,1.24353868,1.696635407,2.025658869,2.012773804,1.641875325,2.054822264,1.435937187,1.78,0.28
3,E&E,DT_total,0.876584085,1.644272717,0.883347967,1.495794661,0.871893506,0.986950458,{'criterion': 'squared_error'},1.256002673,1.357381959,1.224648269,0.771786116,0.841934452,1.237103947,1.061234254,1.54784525,0.862518442,1.11,0.25
4,CO2,GBR_total,0.922709764,1.065813982,0.918591996,1.071172232,0.94691791,0.718213795,"{'learning_rate': 0.5, 'n_estimators': 200}",0.900498994,0.984723395,0.887623478,0.787369504,0.958043366,0.891754152,1.139008436,1.042063935,0.848738041,0.92,0.12
5,CFCs,GBR_total,0.922709764,1.065813982,0.918591996,1.071172232,0.906218409,1.564326664,"{'learning_rate': 0.5, 'n_estimators': 200}",0.521298384,0.188165254,0.390555323,1.198708724,1.02323388,0.961979256,0.15270509,0.305095701,2.053017243,0.84,0.64
6,Methane,GBR_total,0.922709764,1.065813982,0.918591996,1.071172232,0.854110318,2.077734687,"{'learning_rate': 0.5, 'n_estimators': 200}",1.354815467,1.114409108,0.792634837,1.10540669,1.114222611,1.296239873,1.842130504,1.272238762,0.989470926,1.30,0.39
7,E&E,GBR_total,0.922709764,1.065813982,0.918591996,1.071172232,0.909858164,0.6056066,"{'learning_rate': 0.5, 'n_estimators': 200}",0.766521313,0.812301361,0.717615071,0.474239076,0.612640556,0.911791259,0.754800632,0.79911271,0.668121089,0.71,0.13
8,CO2,BG_total,0.92511264,1.011767242,0.933548123,0.802880411,0.945704032,0.71789438,{'n_estimators': 100},0.989504759,0.821358705,0.843727283,0.868649943,0.838622326,1.026733621,1.037960935,0.780660104,0.830688116,0.88,0.11
9,CFCs,BG_total,0.92511264,1.011767242,0.933548123,0.802880411,0.669106823,3.298528193,{'n_estimators': 100},0.384790272,0.202607693,0.858573641,0.736575581,0.900157996,1.721445596,0.357911401,1.457912636,2.856642833,1.28,1.07
