,BET_0,BET_1,BET_2,BET_3,BET_4,BET_5,BET_6,BET_7,BET_8,BET_9,BET_10,BET_11,BET_12,BET_13,BET_14,BET_15,BET_16,BET_17,BET_18,BET_19,BET_20,BET_21,BET_22,BET_23,BET_24,BET_25,BET_26,BET_27,BET_28,BET_29,BET_30,BET_31,BET_32,BET_33,BET_34,BET_35,BET_36,BET_37,BET_38,BET_39,BET_40,BET_41,BET_42,BET_43,BET_44,BET_45,BET_46,BET_47,BET_48,BET_49,E,S,A,B,V,BET,Vt,Vmic,Vmeso,Temp(K),Pressure,Adsorp(mmol/g),Index,Label
0,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,278,0.053414953,0.018736999,2751,Methane
1,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,278,0.170583237,0.061586829,2751,Methane
2,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,278,0.301536026,0.104401808,2751,Methane
3,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,278,0.404919806,0.136499973,2751,Methane
4,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,278,0.534149532,0.17122942,2751,Methane
5,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,278,0.66510232,0.21134777,2751,Methane
6,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,278,0.828793305,0.254079977,2751,Methane
7,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,278,1.011437984,0.302157521,2751,Methane
8,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,263,0.036125293,0.053571429,2752,Methane
9,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,263,0.256216238,0.285714286,2752,Methane
10,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,263,0.383511605,0.471428571,2752,Methane
11,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,263,0.519333201,0.6,2752,Methane
12,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,263,0.658643497,0.778571429,2752,Methane
13,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,263,0.816838775,0.95,2752,Methane
14,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,263,0.938931763,1.089285714,2752,Methane
15,101.3809813,121.7374629,122.8644418,126.4342355,129.0702458,128.999555,129.6659623,137.6680349,143.0858766,148.5142747,154.0404958,157.1427137,162.4541212,165.6915611,166.8248757,168.7051064,174.4116314,179.9921169,177.8727341,191.5075074,198.4806499,195.0373946,197.6578809,208.8913971,216.6125593,321.290875,216.2318691,221.8123546,259.762276,240.1194598,390.5316148,347.120934,260.6577074,265.7244962,528.0548697,282.4135395,466.7749592,298.8581028,307.263753,326.7113672,631.3307774,360.9594835,1003.400007,435.4869356,460.1214499,952.679084,678.5331296,2013.426862,1416.204582,3720.294752,0,0,0,0,0.2495,514,3,,,263,1.011174682,1.189285714,2752,Methane
16,17.64324409,593.4125927,637.0139673,681.6567671,722.2290773,764.4375818,798.05952,838.5283849,884.085489,922.7845714,960.8303973,1002.332297,1043.834196,1087.938256,1132.801904,1176.643531,1221.082817,1271.34252,1296.804715,1352.880945,1374.532427,1412.292601,1440.901384,1547.844973,1555.596978,1515.334223,1561.376366,1573.351492,1559.378063,1587.071736,1576.559564,1593.538398,1578.170997,1598.133526,1592.752042,1604.686791,1601.020595,1600.695845,1617.820945,1618.910853,1611.806961,1621.308025,1636.939594,1622.963122,1631.922341,1627.944946,1648.417628,1644.012338,1656.785195,1661.624579,0,0,0,0,0.2495,3537,2.56,1.03,1.53,298,0.993995717,1.163487243,2783,Methane
17,17.64324409,593.4125927,637.0139673,681.6567671,722.2290773,764.4375818,798.05952,838.5283849,884.085489,922.7845714,960.8303973,1002.332297,1043.834196,1087.938256,1132.801904,1176.643531,1221.082817,1271.34252,1296.804715,1352.880945,1374.532427,1412.292601,1440.901384,1547.844973,1555.596978,1515.334223,1561.376366,1573.351492,1559.378063,1587.071736,1576.559564,1593.538398,1578.170997,1598.133526,1592.752042,1604.686791,1601.020595,1600.695845,1617.820945,1618.910853,1611.806961,1621.308025,1636.939594,1622.963122,1631.922341,1627.944946,1648.417628,1644.012338,1656.785195,1661.624579,0,0,0,0,0.2495,3537,2.56,1.03,1.53,298,2.038097104,2.064269619,2783,Methane
18,17.64324409,593.4125927,637.0139673,681.6567671,722.2290773,764.4375818,798.05952,838.5283849,884.085489,922.7845714,960.8303973,1002.332297,1043.834196,1087.938256,1132.801904,1176.643531,1221.082817,1271.34252,1296.804715,1352.880945,1374.532427,1412.292601,1440.901384,1547.844973,1555.596978,1515.334223,1561.376366,1573.351492,1559.378063,1587.071736,1576.559564,1593.538398,1578.170997,1598.133526,1592.752042,1604.686791,1601.020595,1600.695845,1617.820945,1618.910853,1611.806961,1621.308025,1636.939594,1622.963122,1631.922341,1627.944946,1648.417628,1644.012338,1656.785195,1661.624579,0,0,0,0,0.2495,3537,2.56,1.03,1.53,298,3.954149113,3.288359529,2783,Methane
19,17.64324409,593.4125927,637.0139673,681.6567671,722.2290773,764.4375818,798.05952,838.5283849,884.085489,922.7845714,960.8303973,1002.332297,1043.834196,1087.938256,1132.801904,1176.643531,1221.082817,1271.34252,1296.804715,1352.880945,1374.532427,1412.292601,1440.901384,1547.844973,1555.596978,1515.334223,1561.376366,1573.351492,1559.378063,1587.071736,1576.559564,1593.538398,1578.170997,1598.133526,1592.752042,1604.686791,1601.020595,1600.695845,1617.820945,1618.910853,1611.806961,1621.308025,1636.939594,1622.963122,1631.922341,1627.944946,1648.417628,1644.012338,1656.785195,1661.624579,0,0,0,0,0.2495,3537,2.56,1.03,1.53,298,5.869641283,4.640652773,2783,Methane
20,17.64324409,593.4125927,637.0139673,681.6567671,722.2290773,764.4375818,798.05952,838.5283849,884.085489,922.7845714,960.8303973,1002.332297,1043.834196,1087.938256,1132.801904,1176.643531,1221.082817,1271.34252,1296.804715,1352.880945,1374.532427,1412.292601,1440.901384,1547.844973,1555.596978,1515.334223,1561.376366,1573.351492,1559.378063,1587.071736,1576.559564,1593.538398,1578.170997,1598.133526,1592.752042,1604.686791,1601.020595,1600.695845,1617.820945,1618.910853,1611.806961,1621.308025,1636.939594,1622.963122,1631.922341,1627.944946,1648.417628,1644.012338,1656.785195,1661.624579,0,0,0,0,0.2495,3537,2.56,1.03,1.53,298,8.832453918,6.156559224,2783,Methane
21,17.64324409,593.4125927,637.0139673,681.6567671,722.2290773,764.4375818,798.05952,838.5283849,884.085489,922.7845714,960.8303973,1002.332297,1043.834196,1087.938256,1132.801904,1176.643531,1221.082817,1271.34252,1296.804715,1352.880945,1374.532427,1412.292601,1440.901384,1547.844973,1555.596978,1515.334223,1561.376366,1573.351492,1559.378063,1587.071736,1576.559564,1593.538398,1578.170997,1598.133526,1592.752042,1604.686791,1601.020595,1600.695845,1617.820945,1618.910853,1611.806961,1621.308025,1636.939594,1622.963122,1631.922341,1627.944946,1648.417628,1644.012338,1656.785195,1661.624579,0,0,0,0,0.2495,3537,2.56,1.03,1.53,298,11.05501826,7.189323853,2783,Methane
