,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,CO2,ETR_separate,0.9282324018646912,1.0485742048196636,-1,-1,0.9260535643046398,0.6448502208912584,{'n_estimators': 200},0.021820441805141942
1,CO2,LGBM_separate,0.9296702974778441,1.034156984288357,-1,-1,0.8745222049105928,0.9716155552584685,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.021820441805141942
2,CO2,BGLGBM_separate,0.9351163487406471,0.9542567818222125,-1,-1,0.9309827518593314,0.5147819184780391,{'n_estimators': 30},0.021820441805141942
