,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,CO2,ETR_separate,0.9329720858938175,0.8916304487590349,-1,-1,0.9303911220710178,0.6494506822904841,{'n_estimators': 200},0.01990857649343942
1,CO2,LGBM_separate,0.9382747117025124,0.827361277784677,-1,-1,0.9427020223212315,0.39389091113085495,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.01990857649343942
2,CO2,BGLGBM_separate,0.9441592676292251,0.7464140187441857,-1,-1,0.9534035772271637,0.36749866285223487,{'n_estimators': 50},0.01990857649343942
