,Unnamed: 0,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model,kpg_pca_mse
0,0,0.1040649645957957,1.3907169292785542,0.1733172745990284,2.3882616145428197,0.0058381874452402
1,1,0.1545384394174558,1.950249241661528,0.1771294230179394,2.5609219466643243,0.0058381874452402
2,2,0.1387261382354152,1.5076295198788048,0.1678239245893261,2.815171171919653,0.0058381874452402
0,0,0.0418046834467712,0.7002961232309372,0.1499723745826737,2.0492419592552773,0.0048245166115155
1,1,0.0729619702574518,1.1383627791015551,0.1383877738482961,1.7165479372501766,0.0048245166115155
2,2,0.0527209226924178,0.912604058359946,0.1540681235419578,2.200732890585668,0.0048245166115155
0,0,0.0373786265821636,0.4721718912256214,0.1335295005809593,2.051486271737337,0.0031126929593836
1,1,0.0473397360388067,0.5546989977223158,0.0828541856320355,1.869034584009308,0.0031126929593836
2,2,0.0319001301250277,0.4829795559184923,0.1074143886329094,1.9476957678373423,0.0031126929593836
0,0,0.0335925107861331,0.3264631783966784,0.1198613385697479,1.962720227683057,0.0027579388176544
1,1,0.041590539895451,0.3484592120646916,0.0707515884510078,1.5332649410433097,0.0027579388176544
2,2,0.0365369881436296,0.327910519728421,0.0858705763789038,1.798206392794013,0.0027579388176544
0,0,0.0206560167496787,0.3097013777855826,0.1128763417991608,1.3834514025351334,0.0022743739533723
1,1,0.0246108186693622,0.3441449701397794,0.1043367365627977,1.5463355894294404,0.0022743739533723
2,2,0.0234172248498765,0.3495947962682445,0.0932274324401992,1.486085077605278,0.0022743739533723
0,0,0.0177937702468434,0.2446996813702535,0.108736135830455,1.0582111400998917,0.0017951572098672
1,1,0.0152114157442372,0.2784139682139242,0.0925058364172103,1.1989840930827416,0.0017951572098672
2,2,0.0141803236716667,0.2626833538579798,0.0883173465506267,1.2937014403451998,0.0017951572098672
0,0,0.0196977215969808,0.270359312317759,0.1112900484602125,1.0555216581362523,0.001637661171367
1,1,0.0223232365499603,0.3148733969342195,0.0918931114447158,1.215321182161848,0.001637661171367
2,2,0.0212689707544551,0.2871711063607111,0.0935709373790041,1.3557313094175296,0.001637661171367
0,0,0.0148226994243263,0.1938431906414986,0.0832216209403971,1.0328507050872822,0.0019174703616887
1,1,0.0146354992769097,0.2403300580462796,0.0804342545559061,1.3381166682315715,0.0019174703616887
2,2,0.0144410762910257,0.2018918562531405,0.0913396542173206,1.3978578971884577,0.0019174703616887
0,0,0.0139002453694709,0.2398588081846941,0.0872062614559269,1.142594020404544,0.001879711945115
1,1,0.0195086067589898,0.3184953660116678,0.0889754323826501,1.464225154291115,0.001879711945115
2,2,0.0135297396893107,0.2536998196598257,0.0870831455122832,1.3549678749653091,0.001879711945115
0,0,0.0122893302631385,0.1696075600222294,0.0836975911212337,1.121807626079702,0.0022162194546201
1,1,0.0163340071651242,0.1998337363350786,0.0671934978413589,1.218761767401565,0.0022162194546201
2,2,0.0138786321629659,0.1810915400487233,0.0826601697494945,1.3994402919014888,0.0022162194546201
0,0,0.009487841667346,0.1123451625785471,0.0811626603007541,1.1596247286345298,0.0019434573202567
1,1,0.0146922084010159,0.1845240828247175,0.0731065889560216,1.1910403548686503,0.0019434573202567
2,2,0.0100342802939915,0.1361246871428442,0.083518156359301,1.4227858299316845,0.0019434573202567
0,0,0.0121602880912146,0.1436882725743101,0.0732295915354201,1.0355272671365865,0.0016841261691981
1,1,0.0139214057700964,0.1561662243281311,0.0560984014478886,1.150520332289745,0.0016841261691981
2,2,0.0114947328193002,0.144758744865243,0.0618112339590048,1.2372475914835477,0.0016841261691981
0,0,0.0094430967902349,0.0908187200006499,0.0716800435176829,1.0586493296000747,0.0017809397932342
1,1,0.0108334883352695,0.1232476636510463,0.0494425370257475,1.0387170871273903,0.0017809397932342
2,2,0.0096299216536595,0.0936937218547615,0.0572947268369856,1.214921747186424,0.0017809397932342
0,0,0.0100094805863332,0.0737256135155583,0.0736903152429254,1.0378264342393415,0.0020026672566141
1,1,0.0127283586538338,0.1268927188136751,0.0472991598118645,0.9979071873000924,0.0020026672566141
2,2,0.009709563067108,0.0948582575936303,0.0543196778182003,1.090418076700091,0.0020026672566141
0,0,0.0123730179216985,0.1233537786162288,0.0722376322480777,0.2940663182711984,0.001903243220235
1,1,0.0131063318522559,0.1415623265805634,0.0510403448142026,0.4021500938566922,0.001903243220235
2,2,0.0115676550613626,0.1359854083006636,0.0481994810863831,0.3635354071186084,0.001903243220235
0,0,0.0091322550680193,0.0788119060297309,0.0757813105439811,0.2592658695030785,0.001589864969707
1,1,0.0116376422353154,0.1204608172005219,0.0546301367527787,0.3448805238836602,0.001589864969707
2,2,0.0096574238366318,0.1182634150658289,0.0446737229668919,0.3862583872259981,0.001589864969707
0,0,0.010685458788046,0.09761343829915,0.0739731479445132,0.2532878420855162,0.001563537696412
1,1,0.0117578408860822,0.0974798568553182,0.0524734336854966,0.3431489488651138,0.001563537696412
2,2,0.0091651656027336,0.0797570448815162,0.0471460924792283,0.3411468270887595,0.001563537696412
0,0,0.0088662605948319,0.0783575257381561,0.0794461856341762,0.2659030300467806,0.0017214155341406
1,1,0.0110169171542166,0.1174597052059348,0.0478629668992395,0.3088882037645402,0.0017214155341406
2,2,0.008597664094547,0.091377163902071,0.0459552019228223,0.3420682399519218,0.0017214155341406
0,0,0.005730297505131,0.0648621461764461,0.0776602206759333,0.2826222461128886,0.001676105639722
1,1,0.0046095035843016,0.0946380206958963,0.0434230352921794,0.3563261626384606,0.001676105639722
2,2,0.0043670685097384,0.0687760839332715,0.0502886162110955,0.3445612877559966,0.001676105639722
0,0,0.0069771708752415,0.0656175244989873,0.0775801903153742,0.2784108311878343,0.001483470506043
1,1,0.0064763455519077,0.082174467513748,0.047486065829877,0.3920381286574069,0.001483470506043
2,2,0.0059950096279549,0.0663653713683028,0.0507986615517567,0.2729965878827154,0.001483470506043
0,0,0.0049829375689143,0.0913662396579932,0.0794145103141593,0.2628438232845561,0.0012948332712422
1,1,0.0087367131024606,0.1442212572011103,0.0488450335927021,0.3152124518388482,0.0012948332712422
2,2,0.0057460910412976,0.1077331138934718,0.0525299939724896,0.2874971600405319,0.0012948332712422
0,0,0.0064529963463301,0.0865640319920406,0.0783753157615546,0.2703869596724985,0.0015195735120189
1,1,0.0056031917936543,0.0900542133765505,0.0488723151233406,0.3271611498229206,0.0015195735120189
2,2,0.0047753315884328,0.0764199329024077,0.0504517900055822,0.2967957435739346,0.0015195735120189
0,0,0.0049979029675522,0.0711919184698129,0.0829690306856544,0.2642887577840859,0.0011881069566719
1,1,0.0052255895088675,0.0659777006448309,0.0450002968338971,0.337706796912979,0.0011881069566719
2,2,0.0038271067533104,0.062939883799345,0.0493711135047387,0.3489546448105887,0.0011881069566719
0,0,0.0042708721339726,0.0663681764615409,0.079461362749545,0.2791293043580298,0.0013479696679986
1,1,0.0050291527586804,0.0834872191874446,0.0448500592931017,0.3120362868911884,0.0013479696679986
2,2,0.0041700764362096,0.073120748255645,0.0493848079768471,0.3358047772726577,0.0013479696679986
0,0,0.0050257834576651,0.0769547911765695,0.0839525650412115,0.282410754913499,0.0013151574619259
1,1,0.0066526804107234,0.0929295649580845,0.0435340852654616,0.4060338510859957,0.0013151574619259
2,2,0.0044483851471141,0.0740770613448255,0.0500027592269367,0.3666048595099471,0.0013151574619259
0,0,0.0048235266086705,0.0583795591645669,0.0818801677631542,0.2916685844334385,0.0011782004050192
1,1,0.0056902514042132,0.0708110031307504,0.0447945463287586,0.3418599787705249,0.0011782004050192
