,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,CO2,ETR_separate,0.9026771640746638,1.234415303120377,-1,-1,0.9152785217610991,0.3525261872025434,{'n_estimators': 200},0.03157846022739805
1,CO2,LGBM_separate,0.8714192393789432,1.6284354438911772,-1,-1,0.8425954616529657,0.6017248453981422,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.03157846022739805
2,CO2,BGLGBM_separate,0.8961115854864741,1.3470101008275148,-1,-1,0.8972738336458237,0.41948921188277727,{'n_estimators': 50},0.03157846022739805
