,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,CO2,ETR_separate,0.8549462428013023,2.381149085302858,-1,-1,0.8176698272524738,1.4845227629332016,{'n_estimators': 150},0.03611039091108208
1,CO2,LGBM_separate,0.8461689063179978,2.498373085532446,-1,-1,0.7744698451541282,1.7998320697015184,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 10}",0.03611039091108208
2,CO2,BGLGBM_separate,0.8341211281892538,2.67388562604471,-1,-1,0.8265876233270502,1.2662434706514964,{'n_estimators': 50},0.03611039091108208
