,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,CO2,ETR_separate,0.9068654023536634,1.1635705332654962,-1,-1,0.88795654062481,1.9669844102501803,{'n_estimators': 180},0.02711540208629056
1,CO2,LGBM_separate,0.9019806085835059,1.257320298259581,-1,-1,0.8811608572716776,2.4073076790813808,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.02711540208629056
2,CO2,BGLGBM_separate,0.9176349361470342,1.0536425927899777,-1,-1,0.8993973391376285,1.838786928385926,{'n_estimators': 50},0.02711540208629056
