,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,CO2,ETR_separate,0.9396175167849445,0.8121198525777045,-1,-1,0.8290751687465772,0.5056019764661092,{'n_estimators': 180},0.01836638597265673
1,CO2,LGBM_separate,0.9432371095151943,0.7752075870583343,-1,-1,0.8922734418971326,0.32940031164600336,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.01836638597265673
2,CO2,BGLGBM_separate,0.9495488950594613,0.6855983689907277,-1,-1,0.8384191940017086,0.47658063677732493,{'n_estimators': 30},0.01836638597265673
