,S,V,L,BET,Vt,Temp(K),K,n,Vmic,Group
80,0.28,0.2809,0.058,610.0,0.48,298.0,1.7568164919865152,0.4413277383233898,0.1,0
81,0.28,0.2809,0.058,42.0,0.032,298.0,1.9025855636437248,0.463849084645059,0.032,0
82,0.28,0.2809,0.058,467.0,0.23,298.0,3.196295836987927,0.461772515878591,0.21,0
83,0.28,0.2809,0.058,509.0,0.24,298.0,2.879444000240861,0.4689716325312912,0.211,0
84,0.28,0.2809,0.058,3195.0,1.58,298.0,2.160063723673976,0.9294654561136216,1.38,0
85,0.28,0.2809,0.058,1876.0,0.94,298.0,2.5040098546813474,0.717207963345965,0.77,0
86,0.28,0.2809,0.058,1561.0,0.75,298.0,3.149658389213565,0.7660747579700077,0.65,0
87,0.28,0.2809,0.058,1033.0,0.51,298.0,3.085895824606652,0.641533518129794,0.43,0
88,0.28,0.2809,0.058,3195.0,1.58,273.0,4.263999578074799,0.8646001887695117,1.38,2
89,0.28,0.2809,0.058,1876.0,0.94,273.0,4.3036054558415975,0.6463853961916316,0.77,2
90,0.28,0.2809,0.058,1561.0,0.75,273.0,5.300819497408451,0.6623989902693962,0.65,2
91,0.28,0.2809,0.058,1033.0,0.51,273.0,4.84978294656167,0.5534871640957241,0.43,2
92,0.28,0.2809,0.058,1420.0,1.4,273.0,2.6609751046962504,0.8406324432373566,0.95,2
93,0.28,0.2809,0.058,820.0,0.8,273.0,3.192517877918533,0.5133910776079339,0.53,2
94,0.28,0.2809,0.058,751.0,0.7,273.0,3.389319039305808,0.415536487735644,0.44,2
95,0.28,0.2809,0.058,1950.0,0.9,273.0,7.49784955771185,0.6999613682839269,0.14,2
96,0.28,0.2809,0.058,2186.0,1.0,273.0,6.974917539003183,0.739149778168372,0.15,2
97,0.28,0.2809,0.058,1950.0,0.9,298.0,6.304102509654048,0.7840605033624558,0.14,0
98,0.28,0.2809,0.058,2186.0,1.0,298.0,4.707181683754268,0.8401938494516342,0.15,0
128,0.28,0.2809,0.058,1220.0,0.47,298.0,4.356463339980158,0.3048488606809142,0.0,0
129,0.28,0.2809,0.058,1598.0,0.63,298.0,4.1870357018378135,0.4147421841888041,0.03,0
130,0.28,0.2809,0.058,2151.0,0.9,298.0,4.545376886907778,0.4694092150756583,0.05,0
131,0.28,0.2809,0.058,1889.0,1.178,303.0,2.8336038216163617,0.6235555206918928,1.064,0
132,0.28,0.2809,0.058,2079.0,1.292,303.0,4.3027394703744815,0.5712351596156716,1.165,0
133,0.28,0.2809,0.058,1889.0,1.178,288.0,3.717164665885868,0.648743814841108,1.064,0
134,0.28,0.2809,0.058,1889.0,1.178,318.0,2.7149300997845973,0.5688397639191866,1.064,1
135,0.28,0.2809,0.058,1889.0,1.178,348.0,1.91261867795397,0.6168019199075896,1.064,1
136,0.28,0.2809,0.058,2079.0,1.292,288.0,4.466721248816281,0.5854677932060575,1.165,0
137,0.28,0.2809,0.058,2079.0,1.292,318.0,1.907309654882571,0.5999288840613171,1.165,1
138,0.28,0.2809,0.058,2079.0,1.292,348.0,1.5994389673479374,0.5898753856166572,1.165,1
139,0.28,0.2809,0.058,499.0,0.205,298.0,2.2777260163353223,0.5071947597144305,0.193,0
140,0.28,0.2809,0.058,540.0,0.234,298.0,3.269798911395906,0.5181606135531132,0.209,0
141,0.28,0.2809,0.058,452.0,0.198,298.0,2.6230714725066355,0.4809748990771995,0.174,0
142,0.28,0.2809,0.058,599.0,0.248,298.0,2.6527252182077574,0.5069735753652805,0.229,0
143,0.28,0.2809,0.058,696.0,0.289,298.0,2.8279581174845734,0.5459441547757622,0.267,0
144,0.28,0.2809,0.058,863.0,0.341,298.0,3.84744087857579,0.6003377395994094,0.334,0
145,0.28,0.2809,0.058,1018.0,0.429,298.0,3.1502039021090527,0.6477325705740794,0.393,0
160,0.28,0.2809,0.058,1280.0,1.82,273.0,4.7899852476295806,0.3431415466322426,1.64,2
161,0.28,0.2809,0.058,790.0,1.82,273.0,3.78272495494516,0.3647569200911905,1.31,2
162,0.28,0.2809,0.058,910.0,2.24,273.0,4.474511226624376,0.3301106660885308,1.98,2
163,0.28,0.2809,0.058,1280.0,1.82,293.0,3.4435838480146304,0.4185747004970874,1.64,0
164,0.28,0.2809,0.058,790.0,1.82,293.0,2.743637684977577,0.4366060450643378,1.31,0
165,0.28,0.2809,0.058,910.0,2.24,293.0,3.043705861681548,0.4136131015782082,1.98,0
166,0.28,0.2809,0.058,895.0,1.17,273.0,4.500649912404084,0.5511182589430694,1.04,2
167,0.28,0.2809,0.058,1020.0,1.85,273.0,2.971771383237344,0.5526971952801799,1.55,2
168,0.28,0.2809,0.058,399.0,0.62,273.0,1.5783562541207277,0.5895544312697161,0.36,2
169,0.28,0.2809,0.058,895.0,1.17,293.0,3.4275955976435464,0.5499659239624362,1.04,0
170,0.28,0.2809,0.058,1020.0,1.8,293.0,2.3141041479177566,0.581013071286482,1.55,0
171,0.28,0.2809,0.058,399.0,0.62,293.0,1.1551504019248129,0.5980292243214892,0.36,0
172,0.28,0.2809,0.058,1275.0,0.553,303.0,2.6846034169262123,0.692881247644092,0.553,0
173,0.28,0.2809,0.058,2108.0,1.059,303.0,2.55188846688563,0.7037120582942656,1.046,0
174,0.28,0.2809,0.058,1794.0,1.184,303.0,1.831940177077236,0.7591933770371178,1.109,0
175,0.28,0.2809,0.058,2595.0,1.275,303.0,4.373998800371597,0.5727628798238187,1.236,0
176,0.28,0.2809,0.058,1875.0,0.976,303.0,2.81151340132272,0.6246020961862966,0.949,0
177,0.28,0.2809,0.058,1889.0,1.178,303.0,1.652438653685982,0.7086344665859816,1.063,0
178,0.28,0.2809,0.058,1889.0,1.178,288.0,4.113673119594791,0.5687776999280518,1.063,0
179,0.28,0.2809,0.058,1889.0,1.178,303.0,2.861297289877487,0.6198251300939632,1.063,0
180,0.28,0.2809,0.058,1889.0,1.178,348.0,2.6914175432416245,0.334635412023947,1.063,1
181,0.28,0.2809,0.058,1275.0,0.553,288.0,3.681453391762911,0.6485966356037428,0.553,0
182,0.28,0.2809,0.058,1275.0,0.553,318.0,2.708037916075679,0.5666163501167059,0.553,1
183,0.28,0.2809,0.058,1275.0,0.553,348.0,1.8926174285949289,0.615824912785444,0.553,1
184,0.28,0.2809,0.058,1700.0,0.88,273.0,6.309019237392946,0.5635236657119417,0.74,2
185,0.28,0.2809,0.058,1700.0,0.88,298.0,3.882285430200109,0.6585322952319418,0.74,0
186,0.28,0.2809,0.058,1700.0,0.88,323.0,2.121713486231471,0.7595322310859741,0.74,1
187,0.28,0.2809,0.058,2520.0,1.25,273.0,5.950455130708242,0.6383148705989323,1.08,2
188,0.28,0.2809,0.058,2520.0,1.25,298.0,3.475922269809628,0.7878005247035628,1.08,0
189,0.28,0.2809,0.058,2520.0,1.25,323.0,1.641280540214438,0.8356800312373741,1.08,1
190,0.28,0.2809,0.058,2940.0,1.37,273.0,5.942906618206854,0.7839925227014969,1.14,2
191,0.28,0.2809,0.058,2940.0,1.37,298.0,3.1291142030245807,0.8614688339323142,1.14,0
192,0.28,0.2809,0.058,2940.0,1.37,323.0,1.6681788031961744,0.945464306406644,1.14,1
193,0.28,0.2809,0.058,3410.0,1.94,273.0,4.401691888085487,0.8617432416084531,1.21,2
194,0.28,0.2809,0.058,3410.0,1.94,298.0,2.672392939909705,0.9564954994899136,1.21,0
