,0,1,2,3,4,5-no,6,,,5-yes
29,4,GBR,0.793339587,0.019952005,0.494056907,0.039692319,"{'learning_rate': 0.1, 'n_estimators': 200}",,,0.015730293
30,4,BG,0.790927122,0.020319644,0.524889665,0.036011609,{'n_estimators': 100},,,0.016048109
31,4,ETR,0.80781759,0.018524151,0.567398929,0.032384165,{'n_estimators': 20},,,0.015041107
32,4,RF,0.794783651,0.019944529,0.559063197,0.03183725,{'n_estimators': 180},,,0.014770815
33,4,LGBM,0.780838682,0.02105814,0.539402365,0.035466296,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",,,0.015235644
34,4,BGLGBM,0.772274614,0.021964743,0.567307447,0.031686147,{'n_estimators': 30},,,0.014731216
35,5,DT,0.601939002,0.037291751,0.607689409,0.052687243,{'criterion': 'poisson'},,,0.021614716
36,5,GBR,0.755035673,0.022849885,0.818699682,0.016747203,"{'learning_rate': 0.1, 'n_estimators': 200}",,,0.011380915
37,5,BG,0.755812821,0.02298993,0.745621389,0.021436247,{'n_estimators': 100},,,0.012717185
38,5,ETR,0.776275922,0.020901552,0.786956899,0.019332883,{'n_estimators': 200},,,0.012519728
39,5,RF,0.756108771,0.022966734,0.751805021,0.020979704,{'n_estimators': 120},,,0.013243282
40,5,LGBM,0.753444933,0.023371217,0.745148967,0.022991031,"{'learning_rate': 0.5, 'n_estimators': 150, 'num_leaves': 30}",,,0.020238825
41,5,BGLGBM,0.743351103,0.024485792,0.743473588,0.021034927,{'n_estimators': 10},,,0.01865606
42,6,DT,0.56850487,0.039321188,0.752775019,0.021690089,{'criterion': 'friedman_mse'},,,0.038905813
43,6,GBR,0.757352593,0.022864116,0.599105204,0.02633369,"{'learning_rate': 0.1, 'n_estimators': 200}",,,0.017321876
44,6,BG,0.75725644,0.022744231,0.635779795,0.027204846,{'n_estimators': 50},,,0.018279363
45,6,ETR,0.764141778,0.021594377,0.688130253,0.021064028,{'n_estimators': 100},,,0.014829818
46,6,RF,0.758690892,0.022573961,0.655016831,0.024686757,{'n_estimators': 150},,,0.019582828
47,6,LGBM,0.7418564,0.024133605,0.711686379,0.021783275,"{'learning_rate': 0.1, 'n_estimators': 180, 'num_leaves': 50}",,,0.016936913
48,6,BGLGBM,0.739190026,0.024423231,0.595529193,0.02611185,{'n_estimators': 10},,,0.017997429
49,7,DT,0.616895903,0.037415986,0.854820043,0.010842658,{'criterion': 'friedman_mse'},,,0.023636111
50,7,GBR,0.762043642,0.022944591,0.818009812,0.012619019,"{'learning_rate': 0.1, 'n_estimators': 200}",,,0.018738959
51,7,BG,0.756835859,0.023518546,0.826347885,0.010732049,{'n_estimators': 100},,,0.01712349
52,7,ETR,0.762207756,0.022923767,0.827348202,0.011309426,{'n_estimators': 180},,,0.017680146
53,7,RF,0.758490587,0.023362891,0.839581612,0.009952373,{'n_estimators': 200},,,0.017962308
54,7,LGBM,0.751071836,0.02405906,0.790616232,0.015218497,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}",,,0.028322249
55,7,BGLGBM,0.745133187,0.024687322,0.790673388,0.014360582,{'n_estimators': 50},,,0.032532449
56,8,DT,0.619060306,0.036886825,0.669494983,0.026174217,{'criterion': 'friedman_mse'},,,0.017585756
57,8,GBR,0.760089078,0.022737853,0.834278998,0.011730972,"{'learning_rate': 0.1, 'n_estimators': 200}",,,0.021338074
58,8,BG,0.744642345,0.024580294,0.818341375,0.011854955,{'n_estimators': 100},,,0.014836256
59,8,ETR,0.736971749,0.025349362,0.85378633,0.010067441,{'n_estimators': 180},,,0.01427471
60,8,RF,0.748269373,0.024252365,0.798482349,0.012509511,{'n_estimators': 20},,,0.014139049
61,8,LGBM,0.736003591,0.025087959,0.750074203,0.016175616,"{'learning_rate': 0.1, 'n_estimators': 180, 'num_leaves': 20}",,,0.019163886
62,8,BGLGBM,0.737591443,0.02511539,0.72178584,0.016546573,{'n_estimators': 50},,,0.018066072
63,9,DT,0.532165527,0.041968306,0.485832335,0.049878389,{'criterion': 'poisson'},,,0.034469819
64,9,GBR,0.726405136,0.025210634,0.819164891,0.016420238,"{'learning_rate': 0.5, 'n_estimators': 200}",,,0.017971351
65,9,BG,0.732311079,0.025262591,0.717869143,0.02097757,{'n_estimators': 100},,,0.021433564
66,9,ETR,0.754885037,0.022894454,0.668214014,0.023887381,{'n_estimators': 20},,,0.019978835
67,9,RF,0.736108923,0.024873757,0.711022008,0.021580099,{'n_estimators': 200},,,0.020246224
68,9,LGBM,0.739665227,0.024471272,0.70377312,0.023295753,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}",,,0.021230618
69,9,BGLGBM,0.733650989,0.024862029,0.674459834,0.022368687,{'n_estimators': 50},,,0.020252748
