,0,1,2,3,4,5-no,6,,,5-yes
0,0,DT,0.590072609,0.039943733,0.669728543,0.031983691,{'criterion': 'friedman_mse'},,,0.022204872
1,0,GBR,0.777464763,0.021174874,0.619184519,0.029220127,"{'learning_rate': 0.1, 'n_estimators': 200}",,,0.016436754
2,0,BG,0.773399486,0.021686451,0.736147048,0.019659161,{'n_estimators': 50},,,0.015364678
3,0,ETR,0.775860516,0.02143637,0.75051755,0.019231815,{'n_estimators': 50},,,0.011761756
4,0,RF,0.777159017,0.021357356,0.708840399,0.021545289,{'n_estimators': 180},,,0.015212574
5,0,LGBM,0.752911612,0.023477827,0.717323091,0.021789505,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}",,,0.013907588
6,0,BGLGBM,0.754713423,0.02336855,0.690138548,0.022439717,{'n_estimators': 30},,,0.013285568
7,1,DT,0.661770927,0.032731309,0.73702715,0.02386199,{'criterion': 'friedman_mse'},,,0.030700101
8,1,GBR,0.759068685,0.023097435,0.85480478,0.011957623,"{'learning_rate': 0.1, 'n_estimators': 200}",,,0.018770333
9,1,BG,0.752352253,0.024025276,0.823918945,0.013181357,{'n_estimators': 100},,,0.016209146
10,1,ETR,0.755596845,0.023785088,0.804299178,0.014530642,{'n_estimators': 200},,,0.016984374
11,1,RF,0.755337473,0.02371875,0.822117625,0.013328394,{'n_estimators': 150},,,0.015421687
12,1,LGBM,0.726295378,0.026700191,0.818150688,0.015653033,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}",,,0.018147279
13,1,BGLGBM,0.734429989,0.025617456,0.815648597,0.014197913,{'n_estimators': 10},,,0.019867235
14,2,DT,0.644147621,0.033369477,0.683190598,0.035757936,{'criterion': 'friedman_mse'},,,0.026163529
15,2,GBR,0.760286747,0.0227597,0.723933237,0.021208626,"{'learning_rate': 0.1, 'n_estimators': 200}",,,0.019260348
16,2,BG,0.762753784,0.022640006,0.6882804,0.024784972,{'n_estimators': 100},,,0.016338236
17,2,ETR,0.767661001,0.022127816,0.704946307,0.023570833,{'n_estimators': 150},,,0.016092227
18,2,RF,0.76260255,0.022663742,0.690078264,0.024777158,{'n_estimators': 150},,,0.016204915
19,2,LGBM,0.76252499,0.022636085,0.785934528,0.020217994,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",,,0.01566235
20,2,BGLGBM,0.755309721,0.023343715,0.649098247,0.025421414,{'n_estimators': 10},,,0.016539223
21,3,DT,0.580341197,0.038945066,0.605222479,0.038184321,{'criterion': 'friedman_mse'},,,0.015563924
22,3,GBR,0.715476905,0.026727074,0.74777372,0.01742478,"{'learning_rate': 0.1, 'n_estimators': 200}",,,0.014322123
23,3,BG,0.721243562,0.025965921,0.746650461,0.018301585,{'n_estimators': 50},,,0.014421904
24,3,ETR,0.725616035,0.02557978,0.766172676,0.017475299,{'n_estimators': 100},,,0.015141805
25,3,RF,0.714176823,0.026580839,0.738684108,0.0188413,{'n_estimators': 50},,,0.014688172
26,3,LGBM,0.702179904,0.028528465,0.769851634,0.016897287,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",,,0.014020917
27,3,BGLGBM,0.704059791,0.028184178,0.768785719,0.016368664,{'n_estimators': 50},,,0.018373049
28,4,DT,0.679114588,0.03118146,0.602738364,0.037615077,{'criterion': 'friedman_mse'},,,0.028323443
