,0,1,2,3,4,5-200S,6
36,6,GBR,0.754488103,0.023532052,0.656777535,0.023166506,"{'learning_rate': 0.1, 'n_estimators': 200}"
37,6,BG,0.750997495,0.023997372,0.6156892,0.025510355,{'n_estimators': 100}
38,6,ETR,0.759677127,0.023226229,0.598584081,0.02746584,{'n_estimators': 150}
39,6,RF,0.752733966,0.023850173,0.631687367,0.025097309,{'n_estimators': 180}
40,6,LGBM,0.727466327,0.026335212,0.605707421,0.026915448,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 10}"
41,6,BGLGBM,0.730356391,0.026079792,0.623609363,0.025392369,{'n_estimators': 50}
42,7,GBR,0.751594478,0.024495257,0.627752692,0.028977828,"{'learning_rate': 0.5, 'n_estimators': 180}"
43,7,BG,0.724161065,0.027323268,0.620180774,0.024757665,{'n_estimators': 100}
44,7,ETR,0.745916444,0.025021647,0.654085229,0.022216611,{'n_estimators': 200}
45,7,RF,0.729164222,0.026812598,0.628592853,0.024246284,{'n_estimators': 180}
46,7,LGBM,0.740738483,0.025438396,0.612778505,0.025292302,"{'learning_rate': 0.1, 'n_estimators': 180, 'num_leaves': 50}"
47,7,BGLGBM,0.742897103,0.025256791,0.606835954,0.025031944,{'n_estimators': 50}
48,8,GBR,0.761615744,0.02310302,0.572329668,0.029410128,"{'learning_rate': 0.1, 'n_estimators': 200}"
49,8,BG,0.783106673,0.021034135,0.638451469,0.024923008,{'n_estimators': 50}
50,8,ETR,0.779532506,0.021377885,0.650993106,0.023911414,{'n_estimators': 180}
51,8,RF,0.784281355,0.020920907,0.635766121,0.025100589,{'n_estimators': 80}
52,8,LGBM,0.742010804,0.025051455,0.626736997,0.026246754,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}"
53,8,BGLGBM,0.741765394,0.025093877,0.618746021,0.025701974,{'n_estimators': 50}
54,9,GBR,0.742508638,0.025236111,0.748856689,0.018457276,"{'learning_rate': 0.1, 'n_estimators': 200}"
55,9,BG,0.73607713,0.025863646,0.711186927,0.020016233,{'n_estimators': 100}
56,9,ETR,0.760009614,0.023414359,0.71973633,0.020013722,{'n_estimators': 200}
57,9,RF,0.742802057,0.025230078,0.706284115,0.02025226,{'n_estimators': 180}
58,9,LGBM,0.715594584,0.027758759,0.72528111,0.020002983,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}"
59,9,BGLGBM,0.716362474,0.027863958,0.696804561,0.020974813,{'n_estimators': 30}
