,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,logP,logQ,logD,Label,cgroup
94,,154,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,333.0,20.6543887147335,2.92292537443399,2760,3.02792782538457,1.0725849553324482,-1.9553428700521218,Methane,0
95,,155,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,333.0,25.6498171368861,3.15634796238244,2760,3.244536442425132,1.1494156511463927,-2.0951207912787395,Methane,0
96,,156,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,333.0,30.1469435736677,3.41616597004528,2760,3.4060835440267976,1.2285188608248871,-2.1775646832019104,Methane,0
97,,157,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,333.0,35.2664576802507,3.62335640891675,2760,3.5629323048477195,1.2874007810510077,-2.2755315237967118,Methane,0
98,,158,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,333.0,41.1350574712643,3.85639803204458,2760,3.7168607377577394,1.349733595499012,-2.3671271422587274,Methane,0
99,,159,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,333.0,45.8777429467084,3.95904083942877,2760,3.8259800963411403,1.376001783662799,-2.4499783126783417,Methane,0
100,,160,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,333.0,50.2449059561128,4.00949146638801,2760,3.9169091677927876,1.3886644169145108,-2.528244750878277,Methane,0
357,,36,,Methane,0,0,0,0,0.2495,-0.323,671.17,0.333,0.066,0.267,,,,308.0,0.0616600790513834,0.0848665616819799,2786,-2.7861185744720287,-2.4666751185821454,0.3194434558898833,Methane,0
358,,37,,Methane,0,0,0,0,0.2495,-0.323,671.17,0.333,0.066,0.267,,,,308.0,0.113833992094861,0.165444742248688,2786,-2.173014101585626,-1.7991180236103181,0.3738960779753078,Methane,0
359,,38,,Methane,0,0,0,0,0.2495,-0.323,671.17,0.333,0.066,0.267,,,,308.0,0.180237154150197,0.233458133010731,2786,-1.7134817722071833,-1.4547525198309268,0.25872925237625655,Methane,0
360,,39,,Methane,0,0,0,0,0.2495,-0.323,671.17,0.333,0.066,0.267,,,,308.0,0.257312252964426,0.305768248041966,2786,-1.357464939513,-1.1849278233112093,0.1725371162017908,Methane,0
361,,40,,Methane,0,0,0,0,0.2495,-0.323,671.17,0.333,0.066,0.267,,,,308.0,0.328458498023715,0.386479919071407,2786,-1.113344786866119,-0.9506753681351824,0.16266941873093665,Methane,0
362,,41,,Methane,0,0,0,0,0.2495,-0.323,671.17,0.333,0.066,0.267,,,,308.0,0.391304347826087,0.424916829184352,2786,-0.9382696385929302,-0.855861825245507,0.0824078133474232,Methane,0
363,,42,,Methane,0,0,0,0,0.2495,-0.323,671.17,0.333,0.066,0.267,,,,308.0,0.457707509881422,0.48026531229468,2786,-0.7815249235886274,-0.7334165938340925,0.04810832975453483,Methane,0
364,,43,,Methane,0,0,0,0,0.2495,-0.323,671.17,0.333,0.066,0.267,,,,308.0,0.528853754940711,0.552533711556311,2786,-0.6370433410333931,-0.5932408310601403,0.04380250997325286,Methane,0
365,,44,,Methane,0,0,0,0,0.2495,-0.323,671.17,0.333,0.066,0.267,,,,308.0,0.584584980237154,0.595142198629637,2786,-0.5368531190107664,-0.5189549126963917,0.017898206314374665,Methane,0
385,,92,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,308.0,0.0427722772277227,0.0522427440633246,2789,-3.151865114585242,-2.9518542673819357,0.20001084720330642,Methane,0
386,,93,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,308.0,0.0926732673267326,0.0997361477572558,2789,-2.3786752263517594,-2.3052271024568856,0.07344812389487387,Methane,0
387,,94,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,308.0,0.15089108910891,0.147229551451187,2789,-1.8911969665827653,-1.9157623356951634,-0.02456536911239815,Methane,0
388,,95,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,308.0,0.207920792079207,0.204221635883904,2789,-1.5705980791178409,-1.58854942448675,-0.017951345368909077,Methane,0
389,,96,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,308.0,0.288712871287128,0.270712401055408,2789,-1.2423226097008044,-1.3066982723457607,-0.06437566264495631,Methane,0
390,,97,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,308.0,0.354059405940594,0.31820580474934,2789,-1.0382905665359463,-1.1450569207893424,-0.10676635425339609,Methane,0
391,,98,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,308.0,0.427722772277227,0.384696569920844,2789,-0.8492800215911965,-0.9553003855078694,-0.10602036391667291,Methane,0
392,,99,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,308.0,0.501386138613861,0.436939313984168,2789,-0.6903787390053394,-0.827960963131269,-0.13758222412592958,Methane,0
393,,100,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,323.0,0.076039603960396,0.0284960422163587,2790,-2.576500969681679,-3.557990070952257,-0.981489101270578,Methane,0
394,,101,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,323.0,0.128316831683168,0.0617414248021106,2790,-2.0532528259171334,-2.784800182718774,-0.7315473568016406,Methane,0
395,,102,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,323.0,0.187722772277227,0.104485488126648,2790,-1.6727890200143876,-2.258707086822002,-0.5859180668076143,Methane,0
396,,103,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,323.0,0.261386138613861,0.175725593667545,2790,-1.3417565066889905,-1.7388316275360896,-0.39707512084709906,Methane,0
397,,104,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,323.0,0.325544554455445,0.208970976253298,2790,-1.122255946653282,-1.5655599062620469,-0.4433039596087649,Methane,0
398,,105,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,323.0,0.408712871287128,0.265963060686015,2790,-0.8947423956679539,-1.3243978494451611,-0.42965545377720726,Methane,0
399,,106,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,323.0,0.465742574257425,0.299208443271767,2790,-0.7641222132508896,-1.2066148137887773,-0.44249260053788775,Methane,0
400,,107,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,323.0,0.534653465346534,0.337203166226912,2790,-0.6261364702769863,-1.0870696631389947,-0.4609331928620084,Methane,0
401,,108,,Methane,0,0,0,0,0.2495,-0.323,643.25,0.322,0.07500000000000001,0.247,,,,323.0,0.596435643564356,0.356200527704485,2790,-0.5167839333496221,-1.0322614266439982,-0.5154774932943761,Methane,0
2212,,157,CMS-1,Methane,0,0,0,0,0.2495,-0.323,1018.94,0.5286,0.08259999999999995,0.446,,,,318.0,0.27146271402399,0.173541319541304,2959,-1.3039304822841928,-1.751339554973326,-0.4474090726891331,Methane,0
2213,,158,,Methane,0,0,0,0,0.2495,-0.323,1018.94,0.5286,0.08259999999999995,0.446,,,,318.0,0.642083279929431,0.429322134849249,2959,-0.4430372641887771,-0.8455477447517885,-0.4025104805630114,Methane,0
2214,,159,,Methane,0,0,0,0,0.2495,-0.323,1018.94,0.5286,0.08259999999999995,0.446,,,,318.0,1.01296018456388,0.567699812269577,2959,0.012876920016197928,-0.5661624994914773,-0.5790394195076752,Methane,0
2215,,160,,Methane,0,0,0,0,0.2495,-0.323,1018.94,0.5286,0.08259999999999995,0.446,,,,318.0,1.92914495955125,0.955072868053408,2959,0.6570768786124712,-0.045967639785622655,-0.7030445183980939,Methane,0
2216,,161,,Methane,0,0,0,0,0.2495,-0.323,1018.94,0.5286,0.08259999999999995,0.446,,,,318.0,2.94356778274538,1.34941984514125,2959,1.0796223771623956,0.29967475574396085,-0.7799476214184348,Methane,0
2217,,162,,Methane,0,0,0,0,0.2495,-0.323,1018.94,0.5286,0.08259999999999995,0.446,,,,318.0,3.99098290823827,1.63329236939918,2959,1.3840375434811976,0.49059783617427816,-0.8934397073069194,Methane,0
2218,,163,,Methane,0,0,0,0,0.2495,-0.323,1018.94,0.5286,0.08259999999999995,0.446,,,,318.0,4.99491092229166,1.8342619329448,2959,1.6084195785664572,0.6066421842169738,-1.0017773943494834,Methane,0
2219,,164,,Methane,0,0,0,0,0.2495,-0.323,1018.94,0.5286,0.08259999999999995,0.446,,,,318.0,5.98790684349012,2.0421300240506,2959,1.7897419092369886,0.7139933925686954,-1.0757485166682932,Methane,0
2220,,165,,Methane,0,0,0,0,0.2495,-0.323,1018.94,0.5286,0.08259999999999995,0.446,,,,318.0,7.02470652985215,2.18787367024284,2959,1.949433439237191,0.7829301453438822,-1.1665032938933089,Methane,0
2221,,166,,Methane,0,0,0,0,0.2495,-0.323,1018.94,0.5286,0.08259999999999995,0.446,,,,318.0,8.03958171550924,2.37503863929371,2959,2.084377056403331,0.8650137065305619,-1.219363349872769,Methane,0
2222,,167,,Methane,0,0,0,0,0.2495,-0.323,1018.94,0.5286,0.08259999999999995,0.446,,,,318.0,9.02191696133054,2.46549605313751,2959,2.1996568349237338,0.9023930258442221,-1.2972638090795117,Methane,0
2223,,168,,Methane,0,0,0,0,0.2495,-0.323,1018.94,0.5286,0.08259999999999995,0.446,,,,318.0,9.9277275571673,2.60424315990259,2959,2.2953316056610755,0.9571420993656149,-1.3381895062954605,Methane,0
2224,,181,CMS-2,Methane,0,0,0,0,0.2495,-0.323,558.84,0.3406,0.06659999999999999,0.274,,,,318.0,0.260666329907944,0.118285244690394,2960,-1.3445141190190284,-2.1346562436688177,-0.7901421246497893,Methane,0
2225,,182,,Methane,0,0,0,0,0.2495,-0.323,558.84,0.3406,0.06659999999999999,0.274,,,,318.0,0.707871860792991,0.298152099338796,2960,-0.345492189249167,-1.2101515222209878,-0.8646593329718207,Methane,0
2226,,183,,Methane,0,0,0,0,0.2495,-0.323,558.84,0.3406,0.06659999999999999,0.274,,,,318.0,1.02422400989165,0.408867812148947,2960,0.023935262352725147,-0.8943633728587977,-0.9182986352115229,Methane,0
2227,,184,,Methane,0,0,0,0,0.2495,-0.323,558.84,0.3406,0.06659999999999999,0.274,,,,318.0,2.0170088286074,0.713420840338668,2960,0.7016156360608592,-0.3376837937861478,-1.039299429847007,Methane,0
2228,,185,,Methane,0,0,0,0,0.2495,-0.323,558.84,0.3406,0.06659999999999999,0.274,,,,318.0,2.9227138732028,0.900510415645709,2960,1.072512593278506,-0.10479354791918224,-1.1773061411976882,Methane,0
2229,,186,,Methane,0,0,0,0,0.2495,-0.323,558.84,0.3406,0.06659999999999999,0.274,,,,318.0,4.00307606474814,1.09462668787743,2960,1.3870630817654854,0.09041338082770943,-1.296649700937776,Methane,0
2230,,187,,Methane,0,0,0,0,0.2495,-0.323,558.84,0.3406,0.06659999999999999,0.274,,,,318.0,4.98521528683549,1.27486297187059,2960,1.6064765894091548,0.24283869979207365,-1.363637889617081,Methane,0
2231,,188,,Methane,0,0,0,0,0.2495,-0.323,558.84,0.3406,0.06659999999999999,0.274,,,,318.0,5.98938456086913,1.36533546446315,2960,1.789988662419594,0.3114001599539749,-1.4785885024656191,Methane,0
2232,,189,,Methane,0,0,0,0,0.2495,-0.323,558.84,0.3406,0.06659999999999999,0.274,,,,318.0,6.99353875615401,1.46271402399028,2960,1.944986687961197,0.3802936306069822,-1.5646930573542148,Methane,0
2233,,190,,Methane,0,0,0,0,0.2495,-0.323,558.84,0.3406,0.06659999999999999,0.274,,,,318.0,7.99766279394135,1.57390471738655,2960,2.0791493482381584,0.4535596128303139,-1.6255897354078446,Methane,0
2234,,191,,Methane,0,0,0,0,0.2495,-0.323,558.84,0.3406,0.06659999999999999,0.274,,,,318.0,8.99094521136636,1.6505575367356,2960,2.1962179832643893,0.5011131318886646,-1.6951048513757248,Methane,0
2235,,192,,Methane,0,0,0,0,0.2495,-0.323,558.84,0.3406,0.06659999999999999,0.274,,,,318.0,9.95147658647285,1.7271877379615,2960,2.297720940810752,0.5464945008194178,-1.7512264399913342,Methane,0
2405,,22,,Methane,0,0,0,0,0.2495,-0.323,1044.0,0.5,0.04,0.46,,,,323.0,0.658204959423005,0.679681366078924,2976,-0.41823890767447613,-0.38613116992526964,0.0321077377492065,Methane,0
2406,,23,,Methane,0,0,0,0,0.2495,-0.323,1044.0,0.5,0.04,0.46,,,,323.0,0.987534031312773,0.982576194452343,2976,-0.012544320711780257,-0.017577386640252865,-0.005033065928472608,Methane,0
2407,,24,,Methane,0,0,0,0,0.2495,-0.323,1044.0,0.5,0.04,0.46,,,,323.0,2.05142962670071,1.51439936644826,2976,0.7185369289730567,0.41501890256123775,-0.3035180264118189,Methane,0
2408,,25,,Methane,0,0,0,0,0.2495,-0.323,1044.0,0.5,0.04,0.46,,,,323.0,4.25490260501697,2.23813025198183,2976,1.4480718722256407,0.8056408083667814,-0.6424310638588593,Methane,0
2409,,26,,Methane,0,0,0,0,0.2495,-0.323,1044.0,0.5,0.04,0.46,,,,323.0,6.86388494555556,2.84355962716523,2976,1.9262736000340406,1.0450566571827087,-0.8812169428513319,Methane,0
2410,,27,,Methane,0,0,0,0,0.2495,-0.323,1044.0,0.5,0.04,0.46,,,,323.0,9.95278951965857,3.19766881967001,2976,2.297852865613266,1.16242205047197,-1.1354308151412962,Methane,0
2411,,28,,Methane,0,0,0,0,0.2495,-0.323,1044.0,0.5,0.04,0.46,,,,323.0,15.101643586365,3.67701324317985,2976,2.7148035846766367,1.3021008039389341,-1.4127027807377026,Methane,0
2412,,29,,Methane,0,0,0,0,0.2495,-0.323,1044.0,0.5,0.04,0.46,,,,323.0,20.0678190389545,3.94210569845339,2976,2.9991174891882113,1.3717150217788154,-1.6274024674093959,Methane,0
2413,,30,,Methane,0,0,0,0,0.2495,-0.323,1044.0,0.5,0.04,0.46,,,,323.0,24.8872987153356,4.12594446452302,2976,3.214357581576015,1.4172949546755422,-1.7970626269004728,Methane,0
2414,,31,,Methane,0,0,0,0,0.2495,-0.323,1044.0,0.5,0.04,0.46,,,,323.0,30.0749906813966,4.27276939827314,2976,3.4036939520151948,1.4522621880333961,-1.9514317639817986,Methane,0
2415,,32,,Methane,0,0,0,0,0.2495,-0.323,1044.0,0.5,0.04,0.46,,,,323.0,34.7847091066263,4.35318016457389,2976,3.5491778967310736,1.470906650313237,-2.0782712464178363,Methane,0
2416,,33,,Methane,0,0,0,0,0.2495,-0.323,1044.0,0.5,0.04,0.46,,,,323.0,39.8255693411719,4.44091892191973,2976,3.684509151768548,1.4908613194262927,-2.1936478323422555,Methane,0
2671,,42,,Methane,0,0,0,0,0.2495,-0.323,776.0,0.5659,0.3764999999999999,0.1894,93.18,6.82,,308.0,0.0155354500581703,0.0293827160493826,2997,-4.164630765963248,-3.5273486669890595,0.6372820989741887,Methane,0
2672,,43,,Methane,0,0,0,0,0.2495,-0.323,776.0,0.5659,0.3764999999999999,0.1894,93.18,6.82,,308.0,0.0639704968768707,0.114074074074074,2997,-2.74933328820821,-2.1709072690188465,0.5784260191893638,Methane,0
2673,,44,,Methane,0,0,0,0,0.2495,-0.323,776.0,0.5659,0.3764999999999999,0.1894,93.18,6.82,,308.0,0.139832604791433,0.229876543209876,2997,-1.967309251829743,-1.4702128828235201,0.4970963690062229,Methane,0
2674,,45,,Methane,0,0,0,0,0.2495,-0.323,776.0,0.5659,0.3764999999999999,0.1894,93.18,6.82,,308.0,0.212044096551568,0.331851851851851,2997,-1.5509610233379307,-1.1030666390174926,0.44789438432043815,Methane,0
2675,,46,,Methane,0,0,0,0,0.2495,-0.323,776.0,0.5659,0.3764999999999999,0.1894,93.18,6.82,,308.0,0.285187444229835,0.407901234567901,2997,-1.254608615850669,-0.896730206019662,0.35787840983100705,Methane,0
2676,,47,,Methane,0,0,0,0,0.2495,-0.323,776.0,0.5659,0.3764999999999999,0.1894,93.18,6.82,,308.0,0.391245072458857,0.518518518518518,2997,-0.9384211315614428,-0.6567795363890714,0.2816415951723714,Methane,0
2677,,48,,Methane,0,0,0,0,0.2495,-0.323,776.0,0.5659,0.3764999999999999,0.1894,93.18,6.82,,308.0,0.563153852235889,0.663703703703703,2997,-0.5742024159970643,-0.4099194584575457,0.16428295753951866,Methane,0
2678,,49,,Methane,0,0,0,0,0.2495,-0.323,776.0,0.5659,0.3764999999999999,0.1894,93.18,6.82,,308.0,0.705814780929145,0.76395061728395,2997,-0.34840242586738374,-0.2692521289675742,0.07915029689980951,Methane,0
2679,,50,,Methane,0,0,0,0,0.2495,-0.323,776.0,0.5659,0.3764999999999999,0.1894,93.18,6.82,,308.0,0.87682897902477,0.878024691358024,2997,-0.131443312439516,-0.13008056346679045,0.0013627489727255637,Methane,0
2680,,51,,Methane,0,0,0,0,0.2495,-0.323,776.0,0.5659,0.3764999999999999,0.1894,93.18,6.82,,308.0,0.982010097929585,0.929876543209876,2997,-0.018153687656523733,-0.07270345088348769,-0.054549763226963956,Methane,0
2718,,109,,Methane,0,0,0,0,0.2495,-0.323,815.6,0.3001,0.11844947,0.18165053,,,,308.0,2.15486197578957,0.452694610778444,3002,0.7677266731470194,-0.7925375292312659,-1.5602642023782853,Methane,0
2719,,110,,Methane,0,0,0,0,0.2495,-0.323,815.6,0.3001,0.11844947,0.18165053,,,,308.0,7.49944459657044,1.46586826347305,3002,2.0148289640095394,0.38244773822141326,-1.632381225788126,Methane,0
2720,,111,,Methane,0,0,0,0,0.2495,-0.323,815.6,0.3001,0.11844947,0.18165053,,,,308.0,14.1824203189823,2.26347305389221,3002,2.6520031919396123,0.8169003832028302,-1.835102808736782,Methane,0
2721,,112,,Methane,0,0,0,0,0.2495,-0.323,815.6,0.3001,0.11844947,0.18165053,,,,308.0,20.5208909187664,2.9317365269461,3002,3.021443436453953,1.0755949187813585,-1.9458485176725946,Methane,0
2722,,113,,Methane,0,0,0,0,0.2495,-0.323,815.6,0.3001,0.11844947,0.18165053,,,,308.0,27.3778758272927,3.42754491017964,3002,3.3097352356707677,1.2318442352655405,-2.077891000405227,Methane,0
2723,,114,,Methane,0,0,0,0,0.2495,-0.323,815.6,0.3001,0.11844947,0.18165053,,,,308.0,34.2768647347238,4.16047904191616,3002,3.5344706290661785,1.4256302219501928,-2.1088404071159856,Methane,0
2724,,115,,Methane,0,0,0,0,0.2495,-0.323,815.6,0.3001,0.11844947,0.18165053,,,,308.0,40.0981643270835,4.72095808383233,3002,3.6913305558852434,1.5520117628618089,-2.1393187930234348,Methane,0
2732,,7,,Methane,0,0,0,0,0.2495,-0.323,1178.0,0.49,0.04,0.45,,,,323.0,1.67975567190226,0.925925925925925,3004,0.5186483494471945,-0.07696104113612928,-0.5956093905833237,Methane,0
2733,,8,,Methane,0,0,0,0,0.2495,-0.323,1178.0,0.49,0.04,0.45,,,,323.0,4.09249563699825,1.77640603566529,3004,1.4091549641656391,0.5745922421249772,-0.834562722040662,Methane,0
2734,,9,,Methane,0,0,0,0,0.2495,-0.323,1178.0,0.49,0.04,0.45,,,,323.0,7.66579406631762,2.49657064471879,3004,2.0367681033465117,0.9149180480621818,-1.1218500552843298,Methane,0
2735,,10,,Methane,0,0,0,0,0.2495,-0.323,1178.0,0.49,0.04,0.45,,,,323.0,12.2164048865619,3.08641975308642,3004,2.5027797113227064,1.1270117631898078,-1.3757679481328986,Methane,0
2736,,11,,Methane,0,0,0,0,0.2495,-0.323,1178.0,0.49,0.04,0.45,,,,323.0,16.7364746945898,3.559670781893,3004,2.8175904511627397,1.2696680635913296,-1.54792238757141,Methane,0
2737,,12,,Methane,0,0,0,0,0.2495,-0.323,1178.0,0.49,0.04,0.45,,,,323.0,22.4171029668411,4.06721536351166,3004,3.1098241928292403,1.4029585794231676,-1.7068656134060727,Methane,0
2738,,13,,Methane,0,0,0,0,0.2495,-0.323,1178.0,0.49,0.04,0.45,,,,323.0,28.4031413612565,4.41015089163237,3004,3.3464997503620286,1.483908904663061,-1.8625908456989677,Methane,0
2921,,66,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,0.8989999999999999,0.28125,3028,-0.10647224451051687,-1.2685113254635072,-1.1620390809529904,Methane,0
2922,,67,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,1.664,0.44,3028,0.5092243423990168,-0.8209805520698302,-1.3302048944688472,Methane,0
2923,,68,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,2.028,0.451875,3028,0.7070500857289368,-0.7943496860691078,-1.5013997717980447,Methane,0
2924,,69,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,2.485,0.553125,3028,0.910272659548592,-0.5921712632199432,-1.5024439227685353,Methane,0
2925,,70,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,4.387,0.8325,3028,1.478645622184077,-0.18332205712753813,-1.6619676793116152,Methane,0
2926,,71,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,5.012,0.926875,3028,1.6118350370338217,-0.07593656608994051,-1.6877716031237622,Methane,0
2927,,72,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,6.331,1.029375,3028,1.8454582015619896,0.02895182194976765,-1.8165063796122218,Methane,0
2928,,73,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,7.654,1.18625,3028,2.0352283870035106,0.17079707094200058,-1.86443131606151,Methane,0
2929,,74,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,9.23,1.289375,3028,2.222459048514761,0.2541576048433792,-1.9683014436713817,Methane,0
2930,,75,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,11.117,1.425,3028,2.408475468251478,0.3541718137206139,-2.054303654530864,Methane,0
2931,,76,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,13.33,1.53,3028,2.5900171341906173,0.4252677354043441,-2.1647493987862734,Methane,0
2932,,77,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,15.85,1.701875,3028,2.7631695003232895,0.5317305844458871,-2.231438915877402,Methane,0
2933,,78,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,18.924,1.805,3028,2.9404309577689016,0.5905605917848442,-2.3498703659840574,Methane,0
2934,,79,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,22.571,1.940625,3028,3.1166658964496197,0.6630100861397066,-2.453655810309913,Methane,0
2935,,80,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,338.0,26.815,1.98,3028,3.2889614324348884,0.6830968447064438,-2.6058645877284445,Methane,0
2936,,81,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,358.0,0.577,0.19375,3029,-0.5499130124740376,-1.6411866107486806,-1.0912735982746429,Methane,0
2937,,82,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,358.0,0.849,0.1925,3029,-0.16369609267078977,-1.647659125254298,-1.4839630325835083,Methane,0
2938,,83,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,358.0,1.275,0.256875,3029,0.2429461786103894,-1.3591656937316379,-1.6021118723420273,Methane,0
2939,,84,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,358.0,1.88,0.354375,3029,0.6312717768418578,-1.0373996045001206,-1.6686713813419782,Methane,0
2940,,85,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,358.0,2.793,0.4775,3029,1.0271162869630397,-0.7391911190613522,-1.7663074060243917,Methane,0
2941,,86,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,358.0,2.419,0.42375,3029,0.8833542316278902,-0.858611620287477,-1.7419658519153671,Methane,0
2942,,87,,Methane,0,0,0,0,0.2495,-0.323,801.0,0.485,0.157,0.328,,,,358.0,3.4,0.555625,3029,1.2237754316221157,-0.587661672713968,-1.8114371043360835,Methane,0
