,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,logP,logQ,logD,Label,cgroup
80,,140,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,323.0,3.521421107628,1.17647378962034,2759,1.258864631893452,0.1625216506713616,-1.0963429812220904,Methane,0
81,,141,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,323.0,5.5335684430512,1.83004615116684,2759,1.710832895499774,0.6043411857521829,-1.106491709747591,Methane,0
82,,142,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,323.0,7.91144200626959,2.14314481017067,2759,2.0683100668422023,0.7622742877831898,-1.3060357790590125,Methane,0
83,,143,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,323.0,12.9140543364681,2.66452237896203,2759,2.558316201758386,0.9800248216543249,-1.5782913801040612,Methane,0
84,,144,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,323.0,18.4130094043887,3.08097135144549,2759,2.91305744763218,1.1252449211115434,-1.7878125265206366,Methane,0
85,,145,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,323.0,23.7839602925809,3.36658611981888,2759,3.1690114161930953,1.2138992100866282,-1.9551122061064672,Methane,0
86,,146,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,323.0,28.4051724137931,3.60017197840473,2759,3.3465712558302427,1.2809816161001208,-2.065589639730122,Methane,0
87,,147,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,323.0,33.5259926854754,3.85971786833856,2759,3.512321039034374,1.3505940897014546,-2.1617269493329196,Methane,0
88,,148,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,323.0,38.2699843260188,4.01471612678509,2759,3.6446658898743913,1.3899666417322865,-2.2546992481421047,Methane,0
89,,149,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,323.0,43.7597962382445,4.06467694183211,2759,3.7787155017556384,1.4023342667375873,-2.376381235018051,Methane,0
90,,150,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,323.0,50.2520898641588,4.29744644723093,2759,3.917052135410866,1.4580209968198952,-2.459031138590971,Methane,0
91,,151,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,333.0,5.52703761755486,1.5682688958551,2760,1.7096519789714162,0.4499723969290455,-1.2596795820423707,Methane,0
92,,152,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,333.0,10.0300417972831,2.0636864332985,2760,2.3055847691917917,0.7244939142265209,-1.5810908549652707,Methane,0
93,,153,,Methane,0,0,0,0,0.2495,-0.323,1150.0,0.43,,,,,,333.0,15.032001044932,2.55888627655869,2760,2.710181331624999,0.9395721156112771,-1.770609216013722,Methane,0
