,0,1,2,3,4,5-group,6,5-second,5-third,5-fourth,5-no,5-LGBM
33,5,RF,0.774201104,0.021590691,0.62823461,0.025029225,{'n_estimators': 200},0.035035546,0.035035546,0.035090543,0.024566846,0.025244213
34,5,LGBM,0.763397502,0.022742898,0.599946147,0.028256823,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 20}",0.035237997,0.035237997,0.035237997,0.021516349,0.03244259
35,5,BGLGBM,0.765743651,0.022621225,0.587942022,0.027667037,{'n_estimators': 50},0.035472489,0.035472489,0.035472489,0.022478946,0.032577868
36,6,GBR,0.751822297,0.024249386,0.837951853,0.012730917,"{'learning_rate': 0.1, 'n_estimators': 200}",0.016999507,0.016999507,0.016999507,0.034575513,0.026934239
37,6,BG,0.750495072,0.024331319,0.834317059,0.012327753,{'n_estimators': 50},0.014169421,0.014169421,0.014177416,0.033624348,0.026173693
38,6,ETR,0.752781166,0.023898142,0.794447379,0.014117011,{'n_estimators': 180},0.017699892,0.017699892,0.017614418,0.027524175,0.028157254
39,6,RF,0.751503326,0.024158571,0.823311868,0.013001709,{'n_estimators': 150},0.014067032,0.014067032,0.0140808,0.032369748,0.02657368
40,6,LGBM,0.711469858,0.028080472,0.827524085,0.014037422,"{'learning_rate': 0.5, 'n_estimators': 50, 'num_leaves': 30}",0.020072217,0.020072217,0.020539886,0.036582261,0.023269382
41,6,BGLGBM,0.723952958,0.026926742,0.826834568,0.013359144,{'n_estimators': 10},0.017492378,0.017492378,0.017492378,0.030040378,0.023559693
42,7,GBR,0.755727185,0.022841314,0.722966627,0.022147632,"{'learning_rate': 0.1, 'n_estimators': 200}",0.026921654,0.026921654,0.026921682,0.023331778,0.021654001
43,7,BG,0.75356548,0.02367626,0.718048186,0.021538717,{'n_estimators': 100},0.026316389,0.026316389,0.026285068,0.02426296,0.023025045
44,7,ETR,0.777719974,0.020969783,0.590727986,0.031166626,{'n_estimators': 80},0.025850894,0.025850894,0.025850894,0.023368357,0.019673015
45,7,RF,0.75415998,0.023557189,0.719483744,0.021494333,{'n_estimators': 150},0.025668583,0.025668583,0.025630387,0.024428144,0.022964991
46,7,LGBM,0.745176023,0.024044187,0.761130131,0.020755227,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.031694729,0.031694729,0.031694729,0.029116133,0.020753619
47,7,BGLGBM,0.74025653,0.0244982,0.699231834,0.024446433,{'n_estimators': 30},0.028934924,0.028934924,0.028913315,0.02880155,0.019654066
48,8,GBR,0.792612282,0.019669157,0.553546821,0.034409333,"{'learning_rate': 0.1, 'n_estimators': 200}",0.018272458,0.018272458,0.018268694,0.039028824,0.017104175
49,8,BG,0.784839333,0.020403343,0.499536639,0.038543037,{'n_estimators': 100},0.016705414,0.016705414,0.01679,0.035623362,0.018791505
50,8,ETR,0.794027884,0.019561638,0.515543662,0.035759186,{'n_estimators': 180},0.015732664,0.015732664,0.015686616,0.034031447,0.016267734
51,8,RF,0.789676898,0.019968908,0.488590173,0.038311338,{'n_estimators': 180},0.016512002,0.016512002,0.01661125,0.035602914,0.018787532
52,8,LGBM,0.791164377,0.019879255,0.598570951,0.036954337,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 30}",0.018777127,0.018777127,0.018777127,0.034583443,0.020372561
53,8,BGLGBM,0.772975809,0.021563171,0.556786132,0.033123403,{'n_estimators': 50},0.018703654,0.018703654,0.018703654,0.035419735,0.020009339
54,9,GBR,0.730851522,0.024457199,0.827232735,0.013813699,"{'learning_rate': 0.1, 'n_estimators': 200}",0.018488836,0.018488836,0.018488836,0.015774919,0.016019453
55,9,BG,0.743910181,0.023198256,0.786628914,0.016137124,{'n_estimators': 100},0.022055835,0.022055835,0.021983984,0.017865747,0.017488107
56,9,ETR,0.749746545,0.022614558,0.788892467,0.016479081,{'n_estimators': 150},0.019343857,0.019343857,0.019375235,0.015467703,0.018248583
57,9,RF,0.747033026,0.022995228,0.776491187,0.016758685,{'n_estimators': 50},0.022099562,0.022099562,0.022111864,0.017768027,0.017471702
58,9,LGBM,0.733150529,0.024888132,0.776182317,0.018224899,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.023557197,0.023557197,0.023557197,0.018310351,0.019072798
59,9,BGLGBM,0.732338716,0.024963631,0.745142553,0.019832412,{'n_estimators': 30},0.024683889,0.024683889,0.024683889,0.017696682,0.01955094
