,0,1,2,3,4,5-group,6,5-second,5-third,5-fourth,5-no,5-LGBM
0,0,GBR,0.737142951,0.024887928,0.842326867,0.011631541,"{'learning_rate': 0.1, 'n_estimators': 200}",0.021099061,0.021099061,0.021099061,0.026141736,0.022179242
1,0,BG,0.74515955,0.023940849,0.776983839,0.014707039,{'n_estimators': 100},0.018418482,0.018418482,0.018338798,0.027516532,0.023107478
2,0,ETR,0.752134393,0.0232673,0.836598166,0.011492843,{'n_estimators': 180},0.01793321,0.01793321,0.017849472,0.027931942,0.02195197
3,0,RF,0.747680237,0.02381973,0.773836466,0.014905799,{'n_estimators': 180},0.019079696,0.019079696,0.019179338,0.027374871,0.02371169
4,0,LGBM,0.732186927,0.025572245,0.681171318,0.02058838,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 20}",0.020164319,0.020164319,0.020164319,0.031396121,0.028238653
5,0,BGLGBM,0.730211829,0.025668525,0.727644701,0.017788528,{'n_estimators': 30},0.01944725,0.01944725,0.01944725,0.032908765,0.027138009
6,1,GBR,0.783743311,0.020842019,0.721035068,0.019767926,"{'learning_rate': 0.5, 'n_estimators': 120}",0.023940764,0.023940764,0.023940764,0.020729045,0.029415321
7,1,BG,0.781659204,0.021031575,0.739826901,0.018018197,{'n_estimators': 100},0.02294586,0.02294586,0.023076981,0.024448575,0.032008517
8,1,ETR,0.783638239,0.020949859,0.697205429,0.019825245,{'n_estimators': 100},0.021030286,0.021030286,0.021030286,0.022404689,0.028739999
9,1,RF,0.785328553,0.020691812,0.737088529,0.018042296,{'n_estimators': 120},0.023075897,0.023075897,0.023233781,0.024050706,0.031381236
10,1,LGBM,0.748400028,0.023941605,0.705716572,0.02084868,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}",0.027238432,0.027238432,0.027238432,0.025593499,0.029434282
11,1,BGLGBM,0.749431101,0.023866121,0.716078872,0.0191921,{'n_estimators': 50},0.027946267,0.027946267,0.027946267,0.024114317,0.028379228
12,2,GBR,0.739834269,0.023994003,0.748216259,0.018097769,"{'learning_rate': 0.1, 'n_estimators': 200}",0.016151694,0.016151694,0.016141919,0.020466116,0.023759358
13,2,BG,0.74966003,0.023177101,0.617471379,0.025752151,{'n_estimators': 100},0.015400146,0.015400146,0.015513494,0.018874911,0.023860831
14,2,ETR,0.762408635,0.021904131,0.686647762,0.02237994,{'n_estimators': 180},0.014877704,0.014877704,0.014877704,0.018613571,0.022230031
15,2,RF,0.751591126,0.02297562,0.611396974,0.026037092,{'n_estimators': 100},0.015022554,0.015022554,0.01513777,0.019825772,0.023045524
16,2,LGBM,0.72921512,0.02515875,0.731214674,0.021163935,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.015925647,0.015925647,0.015522192,0.025369079,0.028417378
17,2,BGLGBM,0.733214621,0.024907825,0.736428807,0.019487031,{'n_estimators': 50},0.016662014,0.016662014,0.016662014,0.023086017,0.028497987
18,3,GBR,0.807183724,0.018549348,0.596935733,0.032077456,"{'learning_rate': 0.5, 'n_estimators': 200}",0.021115037,0.021115037,0.021120998,0.020312367,0.015526103
19,3,BG,0.787958375,0.020576124,0.537577514,0.031466408,{'n_estimators': 50},0.022947284,0.022947284,0.022948886,0.021294479,0.016950755
20,3,ETR,0.789768608,0.020351329,0.600932292,0.02739926,{'n_estimators': 200},0.022552046,0.022552046,0.022617787,0.019409418,0.016166097
21,3,RF,0.790806054,0.020239253,0.562336436,0.029764868,{'n_estimators': 120},0.022927116,0.022927116,0.022941265,0.021604686,0.017171828
22,3,LGBM,0.773073806,0.022036723,0.544057261,0.031564137,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}",0.026287628,0.026287628,0.026287628,0.024014975,0.019329553
23,3,BGLGBM,0.77571521,0.021725961,0.557420533,0.031194798,{'n_estimators': 50},0.023146305,0.023146305,0.023146305,0.020756044,0.01863219
24,4,GBR,0.747957581,0.022654848,0.651648675,0.023806483,"{'learning_rate': 0.1, 'n_estimators': 200}",0.018730406,0.018730406,0.018730406,0.017324394,0.020998322
25,4,BG,0.755438727,0.022245513,0.696321803,0.022380215,{'n_estimators': 50},0.017384793,0.017384793,0.017411592,0.017237668,0.018658894
26,4,ETR,0.751054125,0.022682731,0.644095968,0.024654262,{'n_estimators': 200},0.016591502,0.016591502,0.016591502,0.01673218,0.020366526
27,4,RF,0.758975901,0.021862499,0.693766768,0.022305962,{'n_estimators': 50},0.017580823,0.017580823,0.017600845,0.016833317,0.018797507
28,4,LGBM,0.725787106,0.025098072,0.65085234,0.023666988,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.017171554,0.017171554,0.017171554,0.019024626,0.025806014
29,4,BGLGBM,0.740478256,0.024079753,0.601796311,0.02641972,{'n_estimators': 50},0.019315875,0.019315875,0.019315875,0.018565476,0.023953126
30,5,GBR,0.794579123,0.019448761,0.578393415,0.032847965,"{'learning_rate': 0.5, 'n_estimators': 180}",0.036509529,0.036509529,0.036510441,0.022010646,0.023566171
31,5,BG,0.774601032,0.021566002,0.641355866,0.02437562,{'n_estimators': 100},0.036998631,0.036998631,0.037059469,0.024338413,0.025246495
32,5,ETR,0.770141948,0.022139107,0.660690346,0.02337233,{'n_estimators': 180},0.035677204,0.035677204,0.035676364,0.024772766,0.0269184
