,0,1,2,3,4,5/1st,6,,5-r2,5-r3,5-no,5-opt
15,2,GBR,0.755486556,0.023427645,0.750149366,0.019260348,"{'learning_rate': 0.1, 'n_estimators': 200}",,0.028073555,0.028073555,0.021208626,0.019007416
16,2,BG,0.755555636,0.023296793,0.767036274,0.016338236,{'n_estimators': 100},,0.023514702,0.023514702,0.024784972,0.018564524
17,2,ETR,0.774581543,0.021373506,0.781360316,0.016092227,{'n_estimators': 120},,0.027326364,0.027326364,0.023570833,0.015274321
18,2,RF,0.762009264,0.022694207,0.769753376,0.016204915,{'n_estimators': 200},,0.023697066,0.023697066,0.024777158,0.018062638
19,2,LGBM,0.737037435,0.025142158,0.812398669,0.01566235,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",,0.025830852,0.025830852,0.020217994,0.017188952
20,2,BGLGBM,0.736353459,0.025101661,0.774356146,0.016539223,{'n_estimators': 50},,0.023622798,0.023622798,0.025421414,0.017447918
21,3,DT,0.597003207,0.038757552,0.82146498,0.015563924,{'criterion': 'friedman_mse'},,0.02318241,0.02318241,0.038184321,0.03737938
22,3,GBR,0.756793058,0.023490863,0.803712656,0.014322123,"{'learning_rate': 0.1, 'n_estimators': 200}",,0.018079346,0.018079346,0.01742478,0.024170571
23,3,BG,0.766649799,0.022808328,0.787569145,0.014421904,{'n_estimators': 100},,0.013909289,0.013909289,0.018301585,0.024075573
24,3,ETR,0.783295338,0.021162892,0.793882687,0.015141805,{'n_estimators': 100},,0.01660711,0.01660711,0.017475299,0.022017254
25,3,RF,0.771613751,0.02227978,0.781517651,0.014688172,{'n_estimators': 180},,0.014465543,0.014465543,0.0188413,0.024007095
26,3,LGBM,0.753494811,0.023945965,0.819667192,0.014020917,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",,0.017759285,0.017759285,0.016897287,0.026587192
27,3,BGLGBM,0.751074451,0.024354464,0.733141132,0.018373049,{'n_estimators': 10},,0.018012275,0.018012275,0.016368664,0.024925368
28,4,DT,0.61726851,0.036410894,0.719305472,0.028323443,{'criterion': 'friedman_mse'},,0.020072244,0.020072244,0.037615077,0.037518871
29,4,GBR,0.73045032,0.025647361,0.790331471,0.015730293,"{'learning_rate': 0.1, 'n_estimators': 200}",,0.021466797,0.021466797,0.039692319,0.038656644
