,0,1,2,3,4,5,6
0,0,DT,0.5758867416785836,0.04044495923344109,0.7068864567687443,0.03008525843020312,{'criterion': 'friedman_mse'}
1,0,GBR,0.7627291576214514,0.022904432614851748,0.7558910659985054,0.017639958376263535,"{'learning_rate': 0.1, 'n_estimators': 200}"
2,0,BG,0.7531793350114053,0.023641886356613392,0.7206259047933342,0.021148885491642365,{'n_estimators': 100}
3,0,ETR,0.781472751269405,0.02076826353293714,0.6937116981709371,0.022979924355453426,{'n_estimators': 120}
4,0,RF,0.7584851252515198,0.023170920892578335,0.7122312496904041,0.02181949129968012,{'n_estimators': 150}
5,0,LGBM,0.7636929979022617,0.022699918551726154,0.8277962356768462,0.015745872458936994,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
6,0,BGLGBM,0.7588908005267992,0.023176550012706874,0.7276841605792146,0.020775023508425392,{'n_estimators': 50}
7,1,DT,0.6001363070415916,0.03775445044804571,0.7480567030261777,0.02742032597402598,{'criterion': 'poisson'}
8,1,GBR,0.7754472583426711,0.02127794831678889,0.7100946448341292,0.022996845053966538,"{'learning_rate': 0.1, 'n_estimators': 200}"
9,1,BG,0.7592446179128787,0.022942843116690308,0.7291573214295788,0.019251563149184768,{'n_estimators': 50}
10,1,ETR,0.7841351986731867,0.020616522412972835,0.7123268494334709,0.021783291850172252,{'n_estimators': 80}
11,1,RF,0.7637085297375712,0.02252758955801469,0.7343626598654048,0.018854344114421454,{'n_estimators': 50}
12,1,LGBM,0.754872647971158,0.023452655169777285,0.5439444878981758,0.03518842462307902,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 10}"
13,1,BGLGBM,0.7516553409017763,0.023733739169837842,0.6995733801222379,0.022105349296871673,{'n_estimators': 30}
14,2,DT,0.5857511401536276,0.03777622400035382,0.5254141256508305,0.04870542402597403,{'criterion': 'friedman_mse'}
15,2,GBR,0.7388418386533624,0.024024405901138222,0.6476270266420392,0.02679911360672982,"{'learning_rate': 0.1, 'n_estimators': 200}"
16,2,BG,0.7465403509429536,0.02341378087482952,0.6244228442884192,0.02734218924004309,{'n_estimators': 100}
17,2,ETR,0.7273030925210218,0.02532133708781561,0.6816420387991315,0.023894708887863415,{'n_estimators': 20}
18,2,RF,0.7474308297071789,0.02336503428467205,0.6363991442612893,0.0265585409352997,{'n_estimators': 120}
19,2,LGBM,0.7324067080989476,0.024924472342728026,0.7117244924144571,0.023309244724965723,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 20}"
20,2,BGLGBM,0.7208570868398259,0.026026234015437622,0.6418351061149244,0.026514456527559363,{'n_estimators': 50}
21,3,DT,0.6136636589331752,0.035313719556476324,0.8397825741095144,0.018413606883116884,{'criterion': 'friedman_mse'}
22,3,GBR,0.7372561502625747,0.024258379945437638,0.8542796449389545,0.013788140155339516,"{'learning_rate': 0.1, 'n_estimators': 180}"
23,3,BG,0.7454309375241295,0.02374464571378636,0.8390702485566549,0.014657658874595412,{'n_estimators': 100}
24,3,ETR,0.7499338145119698,0.023241508331366904,0.7957929584519208,0.017582916887758687,{'n_estimators': 180}
25,3,RF,0.7417614559992614,0.024103353596111623,0.8295881931325398,0.015323331882601036,{'n_estimators': 120}
26,3,LGBM,0.7113040341190586,0.027054198339814005,0.7976993827938725,0.01830942922922511,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}"
27,3,BGLGBM,0.7241873415687072,0.02602593932156681,0.6927317771272241,0.025872865704740386,{'n_estimators': 10}
28,4,DT,0.5654159360131163,0.041251336407037764,0.8501267507718164,0.017546437577523624,{'criterion': 'friedman_mse'}
29,4,GBR,0.7422234522210687,0.02417047108651349,0.7888258717038691,0.01853082323437585,"{'learning_rate': 0.1, 'n_estimators': 200}"
30,4,BG,0.755778117770482,0.022892929794819383,0.7685745112104904,0.01823867431828114,{'n_estimators': 100}
31,4,ETR,0.7535765886007713,0.023145232563991102,0.7662381634056192,0.01865303987745794,{'n_estimators': 150}
32,4,RF,0.7544587965780317,0.02300192064614143,0.7795064433893348,0.017583732666766196,{'n_estimators': 120}
33,4,LGBM,0.7508312107354058,0.02363175819009328,0.6562708272821245,0.02802903378536567,"{'learning_rate': 0.1, 'n_estimators': 180, 'num_leaves': 50}"
34,4,BGLGBM,0.7429620198778636,0.024133954955430862,0.568989160365682,0.030731508536648737,{'n_estimators': 10}
35,5,DT,0.5787627014880211,0.04123706837064012,0.3890167392839533,0.05982293357142856,{'criterion': 'friedman_mse'}
36,5,GBR,0.7522218498474597,0.02352239356346587,0.6023891949192064,0.027880329489618688,"{'learning_rate': 0.1, 'n_estimators': 200}"
37,5,BG,0.7540034065805762,0.023569629207019282,0.543133741982231,0.030230162024728096,{'n_estimators': 100}
38,5,ETR,0.7710457066573719,0.02179340969417709,0.5897358102945955,0.028139322508749887,{'n_estimators': 150}
39,5,RF,0.7607363355320361,0.02293042894649648,0.5620018241806901,0.029110816066415426,{'n_estimators': 200}
40,5,LGBM,0.7475345534337299,0.024425765355622797,0.5684220160026208,0.02972201121251011,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}"
41,5,BGLGBM,0.743294516212286,0.02470397569559484,0.5860154584026085,0.026952608634185613,{'n_estimators': 50}
42,6,DT,0.6380828275442586,0.03407397065653352,0.643663121751241,0.03599885890753896,{'criterion': 'friedman_mse'}
43,6,GBR,0.7535505372590968,0.023390445524207125,0.655415344854036,0.028986884778930667,"{'learning_rate': 0.5, 'n_estimators': 200}"
