,0,1,2,3,4,5
0,RF_total,0.907787814,1.650067242,0.903886453,1.84093998,{'n_estimators': 180}
1,LGBM_total,0.916272908,1.629690193,0.944443459,1.019758893,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 30}"
2,BGLGBM_total,0.918145485,1.621798345,0.924959342,1.364971392,{'n_estimators': 50}
3,RF_total,0.911877253,1.616304442,0.944124618,0.937209419,{'n_estimators': 200}
4,LGBM_total,0.939851397,1.128520929,0.95665508,0.734709926,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 20}"
5,BGLGBM_total,0.94450859,1.058260093,0.969383626,0.548370861,{'n_estimators': 50}
6,RF_total,0.895461105,1.904084852,0.938000555,1.309795933,{'n_estimators': 200}
7,LGBM_total,0.91836846,1.492294103,0.955411637,0.859597644,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 30}"
8,BGLGBM_total,0.915357814,1.542610228,0.954287486,0.897044053,{'n_estimators': 50}
9,RF_total,0.886283645,2.057796283,0.96568003,0.620301825,{'n_estimators': 150}
10,LGBM_total,0.892289979,1.87998225,0.973760807,0.487611555,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}"
11,BGLGBM_total,0.893059401,1.856486098,0.976432791,0.426361979,{'n_estimators': 50}
12,RF_total,0.873859061,2.270262707,0.933340803,0.721148013,{'n_estimators': 150}
13,LGBM_total,0.911997625,1.540009368,0.948185004,0.569580289,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 10}"
14,BGLGBM_total,0.912503925,1.55719579,0.960042658,0.465791503,{'n_estimators': 50}
15,RF_total,0.908300059,1.861282705,0.852293049,1.78759483,{'n_estimators': 180}
16,LGBM_total,0.937768762,1.291592857,0.922599526,1.012764041,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 20}"
17,BGLGBM_total,0.942954523,1.190653324,0.933609077,0.834989021,{'n_estimators': 50}
18,RF_total,0.880489337,2.338515204,0.924702385,0.981744731,{'n_estimators': 150}
19,LGBM_total,0.865464808,2.590752899,0.95649013,0.605470633,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
20,BGLGBM_total,0.886237001,2.207883161,0.959754246,0.538791127,{'n_estimators': 30}
21,RF_total,0.906213919,1.72579286,0.952711272,0.998519809,{'n_estimators': 50}
22,LGBM_total,0.926366609,1.421184174,0.969043579,0.679722989,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 20}"
23,BGLGBM_total,0.928105448,1.369978173,0.973896835,0.585333597,{'n_estimators': 10}
24,RF_total,0.89749445,1.788538531,0.941638319,1.186192051,{'n_estimators': 200}
25,LGBM_total,0.927564632,1.45871425,0.968061414,0.611749569,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 10}"
26,BGLGBM_total,0.93410832,1.255214553,0.96360938,0.713796304,{'n_estimators': 50}
27,RF_total,0.893885826,1.857462039,0.878881957,2.738846123,{'n_estimators': 200}
28,LGBM_total,0.878868703,2.052573606,0.939155341,1.249941698,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 20}"
29,BGLGBM_total,0.898207239,1.745119415,0.903135078,2.072462521,{'n_estimators': 10}
,,,,,0.480787496,
,,,,,0.325755417,
