,0,1,2,3,4,5,6
0,0,GBR,0.8152897313852374,0.018222624754798373,0.6284500824822743,0.02501175642073284,"{'learning_rate': 0.1, 'n_estimators': 200}"
1,0,BG,0.7840714781362255,0.02136914219589881,0.5686110161351623,0.031007711535009867,{'n_estimators': 50}
2,0,ETR,0.8010270916020701,0.019931378665852102,0.7002809325721193,0.017954739278744223,{'n_estimators': 150}
3,0,RF,0.7839373568120525,0.021361787991901186,0.5634474771847775,0.03119083269905806,{'n_estimators': 200}
4,0,LGBM,0.7023289368270667,0.02910066063820168,0.6131929342365319,0.026074701188143944,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 20}"
5,0,BGLGBM,0.7237973876022625,0.027198610822644083,0.5938028730727563,0.02640154284815394,{'n_estimators': 50}
6,1,GBR,0.7737876997025233,0.020120275918458403,0.7624547187609352,0.017260698672480902,"{'learning_rate': 0.1, 'n_estimators': 200}"
7,1,BG,0.7348349544195952,0.024013366059975984,0.703658624032502,0.023243833603239006,{'n_estimators': 100}
8,1,ETR,0.728330052592459,0.024314773072461642,0.8136205166005643,0.014255628178793691,{'n_estimators': 200}
9,1,RF,0.7459700096621034,0.022993824985547057,0.695756041819366,0.02410377298369412,{'n_estimators': 180}
10,1,LGBM,0.6449566986326286,0.03189782128408521,0.6843146770472252,0.024466360463271747,"{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 20}"
11,1,BGLGBM,0.665290373676571,0.029870802849339805,0.7151956345912096,0.020941595965953796,{'n_estimators': 50}
12,2,GBR,0.7550489803901945,0.022216096558747712,0.7719861697441266,0.017945018713846322,"{'learning_rate': 0.1, 'n_estimators': 200}"
13,2,BG,0.7191555876470873,0.025757330951031016,0.7888359402613364,0.016333237244706058,{'n_estimators': 100}
14,2,ETR,0.7570916719437515,0.022281180386046665,0.7846624931261893,0.01605935930176123,{'n_estimators': 80}
15,2,RF,0.7246457680070174,0.025246418378453584,0.7916219020906565,0.016031638422310476,{'n_estimators': 200}
16,2,LGBM,0.6571940950627824,0.03153317918490945,0.7554927712050667,0.017692119698157305,"{'learning_rate': 0.1, 'n_estimators': 150, 'num_leaves': 20}"
17,2,BGLGBM,0.6766271760757923,0.029752948934010776,0.7567889013106364,0.016800005897952133,{'n_estimators': 50}
18,3,GBR,0.7726098948033606,0.021744586884955553,0.8424959122686126,0.010339093933839161,"{'learning_rate': 0.1, 'n_estimators': 200}"
19,3,BG,0.7563299339499014,0.0232148102682947,0.7831096294018352,0.014117584815373382,{'n_estimators': 100}
20,3,ETR,0.7698090635771183,0.02185465697387682,0.8073781214528548,0.012548551841372046,{'n_estimators': 100}
21,3,RF,0.7616834350399824,0.022725456255322476,0.783546810890509,0.014155009134465787,{'n_estimators': 200}
22,3,LGBM,0.6982566476548696,0.028819095591740774,0.7523069534241974,0.016920957197288294,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 20}"
23,3,BGLGBM,0.7157587164050583,0.027196692564418097,0.7547875375636726,0.015934746101635512,{'n_estimators': 50}
24,4,GBR,0.7220187537996514,0.02453971195527528,0.6904375954263118,0.019434081349116852,"{'learning_rate': 0.1, 'n_estimators': 200}"
25,4,BG,0.7491671716601578,0.022144663405297436,0.6304186689095568,0.022758943576598217,{'n_estimators': 50}
26,4,ETR,0.759862069603507,0.021171273023820002,0.5484672952149945,0.02699406010019354,{'n_estimators': 120}
27,4,RF,0.7435261076719782,0.02267537421354694,0.642324137669362,0.02225896644202994,{'n_estimators': 50}
28,4,LGBM,0.6597352826901085,0.030149124689619423,0.3579824892253499,0.03569810897869345,"{'learning_rate': 0.1, 'n_estimators': 50, 'num_leaves': 20}"
29,4,BGLGBM,0.676479298212192,0.028638642714897754,0.5335852516812631,0.029227972984565566,{'n_estimators': 10}
30,5,GBR,0.7844354300394851,0.020429140773888167,0.4993141725008191,0.0316807977800041,"{'learning_rate': 0.1, 'n_estimators': 200}"
31,5,BG,0.8133677217290833,0.017817505372742466,0.40781807283339877,0.03464561719830245,{'n_estimators': 100}
32,5,ETR,0.7964506521673155,0.019584720351157166,0.6757484642300539,0.018726641912296057,{'n_estimators': 150}
33,5,RF,0.8146786813499854,0.01768691179095512,0.41547783219511847,0.03479176521770899,{'n_estimators': 120}
34,5,LGBM,0.7307337377294374,0.025658526436402623,0.637806646718192,0.023532826546174605,"{'learning_rate': 0.1, 'n_estimators': 180, 'num_leaves': 20}"
35,5,BGLGBM,0.7461331890526008,0.024115900749941903,0.5938208303602293,0.026190129653412282,{'n_estimators': 30}
36,6,GBR,0.7882744720888765,0.01923473619612681,0.681921404865754,0.026400192508593105,"{'learning_rate': 0.1, 'n_estimators': 200}"
37,6,BG,0.754099298077904,0.022408009638515382,0.6528553680430819,0.026737066914863314,{'n_estimators': 50}
38,6,ETR,0.7705793649399035,0.020990833018479246,0.7019320275968434,0.022591608301190308,{'n_estimators': 150}
39,6,RF,0.7579198132677404,0.02212580023438206,0.6647740193905132,0.026032354668564732,{'n_estimators': 50}
40,6,LGBM,0.715744188321594,0.02598778383220111,0.6512339331123378,0.02921285438054741,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 20}"
41,6,BGLGBM,0.7343849885606156,0.024270705081352303,0.6187035701813193,0.02846029742627827,{'n_estimators': 50}
42,7,GBR,0.780343271709,0.019437940164559252,0.6726746232053675,0.02669294251605773,"{'learning_rate': 0.1, 'n_estimators': 180}"
43,7,BG,0.750422995830436,0.022362426008313542,0.6803654852157572,0.02341949096397175,{'n_estimators': 100}
44,7,ETR,0.7704527681891585,0.021139359653610378,0.609991390071025,0.02867240227224025,{'n_estimators': 80}
45,7,RF,0.7496674568868803,0.022454845720592385,0.6678173862609817,0.024684660369835295,{'n_estimators': 150}
46,7,LGBM,0.6695886745375075,0.029974916633234695,0.5707772458925957,0.035421345382894376,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 20}"
47,7,BGLGBM,0.6938493094512526,0.028032985951170507,0.5904787770727191,0.030167175336353075,{'n_estimators': 50}
48,8,GBR,0.725419800138846,0.024959206722904432,0.6220367890246978,0.02840567147621414,"{'learning_rate': 0.1, 'n_estimators': 150}"
49,8,BG,0.7447124886875545,0.023082870944059135,0.44557051568656947,0.03987807783431894,{'n_estimators': 10}
50,8,ETR,0.7536084323954062,0.022344920852439228,0.5574424318785866,0.03329425839462914,{'n_estimators': 80}
51,8,RF,0.7455707218439326,0.02307638318104118,0.4959339040121483,0.03685039358747232,{'n_estimators': 80}
52,8,LGBM,0.7043245894337972,0.02680469358658933,0.5091111772816459,0.037970175770971525,"{'learning_rate': 0.1, 'n_estimators': 180, 'num_leaves': 20}"
53,8,BGLGBM,0.7237279100814993,0.02503167472357436,0.49243174383096155,0.03445316665553532,{'n_estimators': 50}
54,9,GBR,0.7366101257135161,0.022922405206002222,0.7968832076510426,0.016748517371057488,"{'learning_rate': 0.1, 'n_estimators': 180}"
55,9,BG,0.708208810080493,0.025661845960652664,0.7697286889517432,0.017559924575923303,{'n_estimators': 100}
56,9,ETR,0.7579192948303353,0.021725326398507206,0.7699938288416779,0.01717230892678274,{'n_estimators': 50}
57,9,RF,0.7135215434411479,0.02521133196788309,0.7654189809617677,0.017588852398790183,{'n_estimators': 200}
58,9,LGBM,0.6767819605566239,0.02870454696345378,0.6706646039960571,0.02251098496360643,"{'learning_rate': 0.05, 'n_estimators': 150, 'num_leaves': 10}"
59,9,BGLGBM,0.7155270908883097,0.02542326578548252,0.6687782095259462,0.022106075431370983,{'n_estimators': 10}
