,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model,,,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model
0,0.916798191,0.842083498,0.919578411,0.788769426,,,0.007684265,0.082024072,0.021948579,0.227222032
,0.916082427,0.849174169,0.919167521,0.794177917,,,0.0080361,0.084043718,0.021583184,0.228530284
,0.917499381,0.834353358,0.918820278,0.800252268,,,0.008217605,0.087603111,0.021360435,0.229697384
,0.92409138,0.768607515,0.930861906,0.690442672,,,0.006647735,0.074986603,0.016721015,0.185691793
,0.911536653,0.89587849,0.913895613,0.839444893,,,0.008804264,0.094857487,0.022257814,0.234405446
,0.8911979,1.096648288,0.891655039,1.0824126,,,0.010575257,0.119737379,0.02550013,0.28089166
,0.91203497,0.887609196,0.916460409,0.833498788,,,0.009349032,0.103618332,0.01917022,0.215556829
