,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model,test_r2_separa_model_m,test_mse_separa_model_m
0,0.92,0.57,0.94,0.47,0.93,0.47
1,0.89,0.78,0.90,0.67,0.90,0.67
2,0.93,0.55,0.94,0.40,0.94,0.40
3,0.93,0.50,0.94,0.38,0.94,0.38
