,Unnamed: 0,n,kf,R_f,Q10,Q,kl,R_l,Index,
110,110,2.612874119,2.459569978,0.95693483,5.93717016,8.552045551,-15671676.91,-2.78E-08,2861,0.773579496
111,111,2.971727874,2.071433166,0.948024504,4.495474018,6.667105282,-8646907.021,-4.35E-08,2862,0.652775492
112,112,3.258217974,1.767957618,0.956383092,3.584165762,5.401074435,-13646953.89,-4.10E-08,2863,0.554388087
113,113,2.928275766,1.475485037,0.975536211,3.239162242,4.015137229,-43552090.56,-2.09E-08,2864,0.510432701
114,114,2.311356674,0.69656114,0.981600201,1.88627748,2.634056465,-11526016.16,-4.00E-08,2865,0.27560558
115,115,2.152241355,0.649004942,0.982470416,1.891820419,2.673966422,-23183944.78,-1.83E-08,2866,0.276879909
116,116,1.994639078,0.443935073,0.9902645,1.408196596,1.998567313,-14053037.16,-3.47E-08,2867,0.14866329
117,117,1.950621972,0.345817268,0.982212689,1.125909986,1.75322349,-20669850.19,-1.79E-08,2868,0.051503671
118,118,2.088395133,0.747337666,0.98735981,2.25088579,6.08933244,0.061182384,0.998682681,2869,0.352353459
119,119,2.074071435,0.543189688,0.985931348,1.648522911,2.470782512,-24554224.74,-1.91E-08,2870,0.217094987
120,120,2.145085521,0.392812902,0.997470871,1.149125928,1.915816858,-4592299.939,-4.13E-08,2871,0.060367624
121,121,2.145240524,0.832204486,0.985871471,2.434323258,3.604403945,-9223293.911,-4.78E-08,2872,0.386378248
122,122,2.329182136,0.996320013,0.986133629,2.677528525,3.860910555,-7885923.81,-5.18E-08,2873,0.427734106
123,123,2.414838035,2.691021593,0.986790801,6.982703963,7.098917775,-53551264.12,-2.25E-08,2874,0.84402363
124,124,3.138064642,2.575360101,0.976498443,5.364209283,5.301837054,-100575357.9,-3.09E-08,2875,0.729505713
125,125,3.127107991,2.100321902,0.957062238,4.386015362,4.18955332,-51862369.92,-4.21E-08,2876,0.642070148
126,126,1.974803316,2.230165841,0.99385297,7.156764097,7.38974956,-44037207.96,-3.52E-08,2877,0.854716702
127,127,1.966338347,2.088999738,0.989946198,6.737485782,6.775389935,-42884819.05,-3.67E-08,2878,0.828497862
128,128,2.03694524,1.704009322,0.98343199,5.277195464,5.525747974,-54799200.72,-1.65E-08,2879,0.72240318
129,129,1.361135951,1.270539976,0.999396226,6.897136231,2.93511331,0.732872135,0.998641856,2880,0.838668804
130,130,1.253200002,0.902850422,0.999231028,5.669869113,2.513484126,0.536756077,0.999515386,2881,0.753573033
131,131,1.17798817,0.633578157,0.999037933,4.474094527,2.49400003,0.335501766,0.999678767,2882,0.650705155
132,132,2.145261458,2.044693159,0.99194878,5.9809723,8.950819594,-12924325.94,-4.04E-08,2883,0.776771791
133,133,2.100744457,1.467525316,0.991142446,4.391443774,6.400894146,-16566561.8,-3.08E-08,2884,0.642607327
134,134,2.064470001,1.13579584,0.990384528,3.464863233,5.076005928,-17238235.27,-3.17E-08,2885,0.539686097
135,135,1.942155716,0.844795261,0.990559331,2.764669632,4.172876253,-10299253.35,-4.69E-08,2886,0.441643242
136,136,1.817210554,0.629755442,0.99092587,2.235969594,3.49478389,-21331988.63,-2.11E-08,2887,0.349465894
137,137,1.895464374,1.423708661,0.998274177,4.797293936,8.076493855,0.152887091,0.988993527,2888,0.680996329
139,139,1.704721032,1.062059868,0.998087724,4.099729864,7.943869333,0.112490425,0.99532918,2890,0.612755241
140,140,1.5998904,0.894478122,0.998421077,3.772354847,8.133813966,0.090843355,0.996641796,2891,0.576612538
