,n,kf,R_f,Q,kl,`,Index
32,1.451670781,1.340026978,0.996858608,5.629205558,-47499649.31,-2.05E-08,2783
33,1.338066229,1.033499548,0.997030749,20.82766117,0.039964438,0.999687335,2784
34,1.33009874,1.113802208,0.995362737,1.902516092,1.06562527,0.994900737,2785
35,1.242609139,0.91648199,0.998070049,1.931488191,0.747222808,0.997284839,2786
36,1.131679171,0.716899669,0.9928836,2.122002983,0.448513961,0.995782187,2787
37,1.226447205,1.065850675,0.997415452,2.418409233,0.670309733,0.994906831,2788
38,1.134057133,0.805334532,0.999462927,2.352596101,0.452777019,0.998817084,2789
39,0.973971139,0.637232937,0.987301355,27.33806671,0.023071125,0.98697457,2790
40,1.558059288,1.305483482,0.995398583,2.242428966,1.286672794,0.999092089,2791
41,1.514436881,1.209150567,0.998161013,2.294513053,1.057079443,0.998132526,2792
42,1.518873738,1.016111718,0.991738941,1.837122954,1.155962147,0.999753867,2793
43,1.331329233,0.678142813,0.998422152,1.728948468,0.627868618,0.999672276,2794
44,3.0744167,1.485094557,0.974196817,3.170033659,-104285254.2,-1.40E-08,2795
45,2.880102946,2.254559555,0.97647778,5.094837234,-69403273.8,-2.13E-08,2796
46,2.668245932,2.862758826,0.971893095,7.109595904,-36752233.65,-3.38E-08,2797
47,2.495717964,2.328708399,0.957574849,6.444949435,-20434368.08,-3.94E-08,2798
48,2.440122909,2.464579105,0.979122095,7.028925531,-13814754.85,-5.40E-08,2799
49,2.163045049,2.22275049,0.988651783,8.506060577,-18177433.71,-2.49E-08,2800
50,2.153762344,1.841430162,0.989030493,6.0812374,-54855398.15,-1.93E-08,2801
51,1.908797761,1.348731718,0.994120458,5.829103914,-14358834.61,-4.63E-08,2802
52,2.888007138,2.021211648,0.988910711,5.12259605,-77146062.08,-7.41E-09,2803
53,2.250178649,1.529373589,0.98700818,5.073690933,-16662971.14,-3.80E-08,2804
54,2.623253719,1.590898037,0.982001821,4.502797942,-10419190.79,-4.85E-08,2805
55,3.572295459,1.54342302,0.976248963,3.238253366,-13910836.33,-5.01E-08,2806
56,3.523361317,1.422296966,0.975371,2.980308054,-24497555.31,-3.06E-08,2807
57,4.960151046,1.204955719,0.977680999,2.484500975,0.479424253,0.968571121,2808
58,2.446360681,1.718206058,0.969712571,7.733484243,0.185700289,0.998704614,2809
59,2.403822337,1.615298838,0.973130522,7.583868127,0.171947678,0.998124284,2810
60,2.217495683,1.324409462,0.982106462,7.43522266,0.128357776,0.997805526,2811
61,2.278063571,1.810409756,0.978582053,9.512115874,0.143738301,0.998050307,2812
62,2.224475763,1.600990392,0.98418509,9.224646858,0.116944529,0.998401056,2813
63,2.013609248,1.271387229,0.988608749,9.117263019,0.092946503,0.998399223,2814
64,1.487370608,1.58546543,0.996894416,5.284090844,-26260320.72,-4.21E-08,2815
65,1.414097487,1.146359201,0.997210711,14.96234428,0.064650237,0.999801111,2816
66,1.303896249,0.844819588,0.998263697,14.60925035,0.050864194,0.998241298,2817
67,1.169596876,0.487492289,0.999488969,17.59925629,0.024796586,0.999785917,2818
68,1.667882868,2.153569656,0.995106309,7.529166591,-45696143.31,-3.04E-08,2819
69,1.584922162,1.780569111,0.996308258,6.770833259,-43390756.34,-3.04E-08,2820
70,1.502556507,1.459564445,0.997019657,6.020833249,-33797338.13,-3.36E-08,2821
71,1.457723124,1.246585986,0.997068408,5.474999928,-32110895.8,-3.30E-08,2822
72,1.373638729,1.009947695,0.998004199,19.53774017,0.03995843,0.999612477,2823
73,1.354978611,0.885084929,0.998095533,4.4541666,-26847545.06,-3.43E-08,2824
74,1.321408174,0.762066594,0.998550336,19.17206658,0.030522954,0.999670711,2825
75,1.274816853,0.640426524,0.998640607,19.67096282,0.025543765,0.999820727,2826
76,1.791149412,1.496054396,0.994061915,5.093749963,-55558335.12,-2.41E-08,2827
77,1.723652231,1.302928087,0.995051004,4.726562463,-54598004.74,-2.34E-08,2828
78,1.647183597,1.089907119,0.995177804,4.226562485,-84107872.54,-1.40E-08,2829
79,1.566622727,0.90172803,0.995946225,3.78515621,-43692475.64,-2.53E-08,2830
80,1.488104994,0.741506276,0.997493003,11.69075296,0.044954099,0.999069342,2831
81,1.447696649,0.649170716,0.99699972,11.39342554,0.040880161,0.99959296,2832
82,1.373027575,0.524498779,0.997257103,11.60544684,0.03333276,0.999738022,2833
83,1.335254175,0.448707156,0.996844955,11.28726149,0.029886439,0.999777424,2834
84,2.546339411,2.159323941,0.941184665,6.048888842,-56836033.98,-2.87E-08,2835
85,1.810450108,0.988989519,0.991789647,4.403333301,-54163458.63,-2.22E-08,2836
86,1.658582205,0.689140447,0.99655626,3.567777728,-27948859.88,-3.99E-08,2837
