,n,kf,R_f,Q1,Q,kl,R_l,Index
796,1.2548164389701464,1.0632485476073008,0.998609590611639,1.0632485476073008,3.209737355875285,0.4824924898574747,0.9996129636266718,3559
797,1.4455365374725733,1.9179225145067105,0.9963762344596254,1.9179225145067105,3.8993136998767848,0.9181150425050985,0.9982611343306109,3560
798,1.467912852218063,1.7136779354171159,0.9949865605509846,1.7136779354171159,3.4448919840192866,0.9425010437436997,0.9983142267928861,3561
799,1.282427164625214,2.31630434931282,0.9977519580816028,2.31630434931282,6.556556614208185,0.5322073422718693,0.9981211775043096,3562
800,1.136596544162174,1.7245886535734813,0.9979473228993289,1.7245886535734813,8.645492555728593,0.24666258022286727,0.998298318740582,3563
801,1.2788302850819893,2.368553818813897,0.997127209332898,2.368553818813897,6.700544185022736,0.5327040389607546,0.998830750856409,3564
802,1.242680852886429,1.854602226031242,0.9950458855307751,1.854602226031242,6.313682076685468,0.41011201872542624,0.9923769219916933,3565
803,1.2065502451484242,0.7808805382770618,0.9971209090081411,0.7808805382770618,2.949424228563926,0.3558378694537953,0.9971429153369126,3566
804,1.3022428486772468,0.6640983582894014,0.9967004165999802,0.6640983582894014,1.9161431714803712,0.5219924919841435,0.9937164680663363,3567
805,1.1854809203447283,0.9653636991005231,0.9958937914841088,0.9653636991005231,4.086484428099126,0.30639511110571566,0.9943697027294969,3568
806,1.1542938098475994,0.6777451610695459,0.9988297017794728,0.6777451610695459,3.2785423176421564,0.2586104306026549,0.9983582682823522,3569
807,1.23332639343027,0.7841238895421271,0.99388410783303,0.7841238895421271,2.719143654546175,0.3998542835257426,0.9932021838601804,3570
808,1.0812205946724243,0.7731416183737899,0.9918746055393025,0.7731416183737899,8.014425374042316,0.10688780452893971,0.9908211218773623,3571
809,1.2775069591367054,0.9863442897383283,0.9989011237615095,0.9863442897383283,2.855625942985088,0.5138171943952637,0.9975604005260115,3572
810,1.3400403214188827,1.205895995676694,0.9992063524943746,1.205895995676694,2.921636844848579,0.6780274200078295,0.9988935456930501,3573
811,1.3585692203559356,1.86740486168348,0.9993073140307576,1.86740486168348,4.490341306054457,0.6871753257828258,0.9965045402845574,3574
812,1.2367086433192327,1.2952783876747829,0.99877994816907,1.2952783876747829,4.276457589534735,0.4259114400355598,0.9969737016957013,3575
813,1.2700881714419565,1.581426848777727,0.9985951979578519,1.581426848777727,4.535527641443433,0.5200542506035314,0.9987624475042738,3576
814,1.3033280628499133,0.9556712948966528,0.9978871928401235,0.9556712948966528,2.5428065601375236,0.584417337225035,0.9980152069818351,3577
