,MSE,Indexs
0,0.0037788921292017017,0
1,0.007614456425877321,1
2,0.00968403594885179,2
3,0.001904764880318815,3
4,0.0029014970772447742,4
5,0.004971076600219243,5
6,0.008811540631071703,6
7,0.007239622404367367,7
8,0.029596244350239716,8
9,0.0008820837428021813,9
10,0.0025266630557348206,10
11,0.00901765117769003,11
12,0.014953815772937806,12
13,0.029393160388291917,13
14,0.031377297019101406,14
15,0.011583567187848904,15
16,0.03476240055048355,16
17,0.03590522155715905,17
18,0.007980524882870434,18
19,0.002262849991239612,19
20,0.0027848724768248477,20
21,0.004101194484860872,21
22,0.005553428331178532,22
23,0.006530309995647427,23
24,0.007492544490603018,24
25,0.00016506453593011705,25
26,0.0016450125909852323,26
27,0.0006066224549794947,27
28,0.0010084701040933568,28
29,0.0015241545741726398,29
30,0.00028692887601712943,30
31,0.007672018407712037,31
32,0.01927186317415906,32
33,0.01481551126899062,33
34,0.0015454936614170596,34
35,0.004485274874125132,35
36,0.008598259532890708,36
37,0.0016214634333973701,37
38,0.005130351126778037,38
39,0.002403293805391833,39
40,0.019040770339688477,40
41,0.003340272094314515,47
42,0.0351176911417862,48
43,0.029540232331164165,49
44,0.05990424720786001,50
45,0.10864145007082182,51
46,0.005755862939759176,52
47,0.007396532522186336,53
48,0.0745387512605482,54
49,0.0028047981597236916,55
50,0.0032211224786535026,56
51,0.053037087099107906,57
52,0.007728786082807858,58
53,0.002282729044820657,59
54,0.05309842606786735,60
55,0.02276283886753408,61
56,0.029999767903451574,62
57,0.08016050422900371,63
58,0.006954659333951536,64
59,0.014782402637791264,65
60,0.007557573437022687,66
61,0.006235432126115823,67
62,0.020161842780896565,68
63,0.012559292539326755,69
64,0.0028529240345144,70
65,0.00488385563554265,71
66,0.0008008466845294435,72
67,0.006742340804655499,73
68,0.03168868407446726,74
69,0.0024113098361708686,75
70,0.0018398294975674597,76
71,0.001658304138369383,77
72,0.0008198836086917106,78
73,0.009455869477949864,79
74,0.005779647009304927,80
75,0.020959540249958903,81
76,0.022778463107344913,82
77,0.022756124080535404,83
78,0.04759026173754862,84
79,0.00920244024614686,85
80,0.004879543423901568,86
81,0.005406247528531714,87
82,0.08217497900713215,88
83,0.012465880658461896,89
84,0.005541269454945804,90
85,0.0026270964477235897,91
86,0.009607758778830142,92
87,0.0020388945949475898,93
88,0.0011967308970138853,94
89,0.004555899965678974,95
90,0.014845114025022822,96
91,0.014356671267348917,97
92,0.014107869520518276,98
93,0.012884204311509261,99
94,0.028583026068050823,100
95,0.03207678037772823,101
96,0.008799511135810878,102
97,0.01296369950238442,103
98,0.05266520612534644,104
99,0.01699802439429305,105
100,0.013083719298742745,106
101,0.03144149957435786,107
102,0.029950569303765388,108
103,0.0026254379367655818,109
104,0.011287684421295774,110
105,0.013075481674475446,111
106,0.006457736563834933,112
107,0.010415152943945417,113
108,0.006366443194498794,114
109,0.009449853281502753,115
110,0.011592333361946034,116
111,0.010807726451221173,117
112,0.016769950101921383,118
113,0.02120782951475719,119
114,0.020017209451412863,120
115,0.015578800734346131,121
116,0.01302376735863471,122
117,0.013336516635336484,123
118,0.01845781330926044,124
119,0.01792721263403044,125
120,0.03894248359141773,126
121,0.053563146407298375,127
122,0.005443486965301545,128
123,0.011537176435644185,129
124,0.01550216706369848,130
125,0.017211193205092328,131
126,0.04566363126933054,132
127,0.027362878421857053,133
128,0.04466506692216906,134
129,0.07128048483625826,135
130,0.019008391690950355,136
131,0.03906244594381694,137
132,0.06454948403944621,138
133,0.0013778613344734146,139
134,0.0024664295821050387,140
135,0.009315181437332249,141
136,0.009375724335447788,142
137,0.010483496146408575,143
138,0.005368864023459409,144
139,0.006478080990084662,145
140,0.006638607394998536,146
141,0.0019939293059517012,147
142,0.0018755229855101994,148
143,0.009508210088058603,149
144,0.0014459561641589917,150
145,0.002706502224426897,151
146,0.014393842698418058,152
147,0.026149807755142394,153
148,0.008061998537108818,154
149,0.003459409200168011,155
150,0.004288414684804431,156
151,0.0016997665031783515,157
152,0.01942117663383143,158
153,0.026638703321787957,159
154,0.013339828539104532,160
155,0.008214778067553642,161
156,0.01955616976753521,162
157,0.012337571815978832,163
158,0.008020563744013444,164
159,0.015616747095996315,165
160,0.006276608822067122,166
161,0.007321387808424844,167
162,0.009193104019919612,168
163,0.0044371355827928045,169
164,0.016583727241845897,170
165,0.007918297678486891,171
166,0.0016652197820441605,172
167,0.021358578887711265,173
168,0.013351094215464149,174
169,0.05482460165159841,175
170,0.035840651863342794,176
171,0.029711498603184436,177
172,0.02080408899403988,178
173,0.018755358578793766,179
174,0.05057063783916036,180
175,0.002672227530770413,181
176,0.021813261759439234,182
177,0.04204278468870131,183
178,0.011867240179426043,184
179,0.011555042740047513,185
180,0.030956990641698805,186
181,0.03329387508853636,187
182,0.029005265297367577,188
183,0.04516417220211883,189
184,0.0649399857589499,190
185,0.06641999022127265,191
186,0.07453448476030805,192
187,0.07581466614024858,193
188,0.07185340406730023,194
189,0.10527856850299606,195
190,0.03783677249183007,196
191,0.011407477944310499,197
192,0.04003999709203717,198
193,0.020862403773898332,199
194,0.06133845740538276,200
195,0.03288811363986859,201
196,0.06840720145097672,202
197,0.06676061299121885,203
198,0.00312537189019704,204
199,0.0008534123256392297,205
200,0.0008265592156624361,206
201,0.013384698930701306,207
202,0.004949835211955648,208
203,0.009838311068108533,209
204,0.004271104391623196,210
205,0.004859672376838989,211
206,0.009280864707393977,212
207,0.03376619564985585,213
208,0.04299956454842866,214
209,0.011908316384956144,215
210,0.009597757713311382,216
211,0.02867979662225816,217
212,0.03862365737002688,218
213,0.0062028678755034206,219
214,0.015450867538578798,220
215,0.033567575534751495,221
216,0.01653931212783981,222
217,0.005575177947928546,223
218,0.014514739832831358,224
219,0.018032233102460906,225
220,0.014983255748823478,226
221,0.01168442863260504,227
222,0.023354705239006263,228
223,0.038547002437548765,229
224,0.005195020235501085,230
225,0.00048367608319232184,231
226,0.0010197948487627403,232
227,0.010278883015633384,233
228,0.032894845250878775,234
229,0.0022128315138542,235
230,0.005123471481407923,236
231,0.02339587706135739,237
232,0.001947395551615493,238
233,0.007679220896613948,239
234,0.017002996986111373,240
235,0.002812039387682584,241
236,0.0028821423260094116,242
237,0.027671856788078365,243
238,0.03105614729204108,244
239,0.021865980237868232,245
240,0.023968079695973154,246
241,0.003703670839225857,247
242,0.0030928928887006915,248
243,0.0030560514137664206,249
244,0.009368513742104262,250
245,0.0060479530137024185,251
246,0.02307108784076824,252
247,0.0024405938797726376,253
248,0.006779506660864684,254
249,0.0010939286103734134,255
250,0.001470471752082622,256
251,0.007235967732497511,257
252,0.0069388634986776755,258
253,0.004928039327754416,259
254,0.0019243330228595331,260
255,0.00014839679854043088,261
256,0.0046034906255924745,262
257,0.0015365025551075297,263
258,0.0050469216215643506,264
259,0.00045529544817168773,265
260,0.007325870153897552,266
261,0.008553098452829406,267
262,0.003514731575752009,268
263,0.0005618714766145467,269
264,0.009640364529667572,270
265,0.008175826374243756,271
266,0.010049608547850123,272
267,0.009482395953580377,273
268,0.007610671793922246,274
269,0.007032121732473991,275
270,0.022062686132013704,276
271,0.007958839741503684,277
272,0.018410607465912682,278
273,0.06074831189050511,279
274,0.011938568828362375,280
275,0.011371573486239392,281
276,0.017924108959289736,282
277,0.035890332711497885,283
278,0.09044935852365893,284
279,0.07364097684549617,285
280,0.027264430619965713,286
281,0.07084431098628537,287
282,0.10691012888761849,288
283,0.0019349691155275508,289
284,0.0022109919298503975,290
285,0.0029010398704780796,291
286,0.0034841794786452007,292
287,0.016731669742021876,293
288,0.022925595083194698,294
289,0.040677827198351696,295
290,0.0350783064876886,296
291,0.009305231342400643,297
292,0.03592468419709362,298
293,0.033111816904763065,299
294,0.047394650185867894,300
295,0.014730469397462559,301
296,0.023159989182585203,302
297,0.033331114818593285,303
298,0.047453909653596416,304
299,0.010006679750611789,305
300,0.013526630912538312,306
301,0.02414651889417942,307
302,0.01215685307174316,308
303,0.017785005838115143,309
304,0.02682926294576211,310
305,0.013950349694291125,311
306,0.01912154439417529,312
307,0.03638055457707914,313
308,0.029409395859133266,314
309,0.035618321628857794,315
310,0.052979357041658896,316
311,0.0005472269798901958,317
312,0.008857596619993498,318
313,0.007946329421716426,319
314,0.005436448598400113,320
315,0.01235830730200396,321
316,0.008074563507630089,322
317,0.00037754375943910767,323
318,0.016525080256323002,324
319,0.017107300427976594,325
320,0.005395410200382498,326
321,0.01426075284769873,327
322,0.045210357731723376,328
323,0.006065552581157434,329
324,0.05404295459174507,330
325,0.03547479613588559,331
326,0.0071385795406217,332
327,0.03948551067691931,333
328,0.032735158035740675,334
329,0.0001689879415769641,335
330,0.0002707606463209412,336
331,0.005265611893474373,337
332,0.004130668012761399,338
333,0.008151535760339801,339
334,0.0035783512373853098,340
335,0.018473682922861594,341
336,0.033976602886524494,342
337,0.013483741648200938,343
338,0.0034097043152074963,344
339,0.011020123184864875,345
340,0.030900614578243297,346
341,0.004343270866462576,347
342,0.00984136533556889,348
343,0.018138778839822386,349
344,0.025470416280595765,350
345,0.005865649364201208,351
346,0.0023811953697026804,352
347,0.030954463342547367,353
348,0.04535468436757542,354
349,0.01443152133217232,355
350,0.017964410367280224,356
351,0.02314115598701841,357
352,0.04405578023592139,358
353,0.005507098091446803,359
354,0.01310454646207145,360
355,0.006592015953040577,361
356,0.020863741988834825,362
357,0.0010826275429321487,363
358,0.005418683364779176,364
359,0.0006280804466039818,365
360,0.016910065044493137,366
361,0.0004205724209625959,367
362,0.005730780284228652,368
363,0.027970451181991925,369
364,0.022328877963327845,370
365,0.021349693538481193,371
366,0.020918366063964036,372
367,0.017921701672151933,373
368,0.009480027193831007,374
369,0.012247596914402014,375
370,0.006537136785120061,376
371,0.0018733373054380612,377
372,0.016038831849603655,378
373,0.01149344399353554,379
374,0.01868852591785199,380
375,0.004843755684046556,381
376,0.009354910562261228,382
377,0.0009409421026140803,383
378,0.0031212651283486297,384
379,0.01817868818288583,385
380,0.027386122421641262,386
381,0.0613685982363976,387
382,0.005149896269647593,388
383,0.0009574279858785437,389
384,0.0008313245487664853,390
385,0.008301900746496322,391
386,0.01058658133701166,392
387,0.048934675021647896,393
388,0.0031827737305893653,394
389,0.010120594377273676,395
390,0.040158585081227376,396
391,0.008631268974522665,397
392,0.018290763484573428,398
393,0.02666151751777954,399
394,0.009369876616851748,400
395,0.01248477304081663,401
396,0.032094331583152634,402
397,0.0005741033256743627,403
398,0.0020127130084083293,404
399,0.0205571992308233,405
400,0.05170120092747254,406
401,0.026003159740455684,407
402,0.04189579799744375,408
403,0.008616954219806412,409
404,0.015052737814369471,410
405,0.008052610703659018,411
406,0.008768626936336234,412
407,0.0017827826593498437,413
