,group,r2,mse,
0,0,-46.52175366,0.104419734,del
1,1,-34.70619879,0.29036502,
2,2,0.320611035,0.094028944,
3,3,0.886103077,0.592006356,
4,4,0.978184597,0.071022555,
5,5,0.575936212,1.041369767,
6,6,0.956172321,0.111729034,
7,7,0.697550402,0.185581548,
8,8,-1.141400422,2.19408404,
9,9,0.627144964,0.356514052,
10,10,0.432624331,0.354995407,
11,11,0.891638739,0.203473735,
12,12,0.317071287,1.395464078,
13,13,0.955073383,0.074980576,
14,14,0.74567608,0.298664911,
15,15,0.90175393,1.511431872,
16,16,0.978316437,0.231458293,
17,17,0.938590083,0.550140353,
18,18,0.861509194,0.369584965,
19,19,0.601096315,0.82308529,
20,20,0.980731044,0.051999831,
21,21,-1.770124694,2.824973243,
22,22,-3.020748058,3.404367585,
23,23,-2.667699653,2.661359256,
24,24,-3.310519002,2.355106059,
25,25,-5.382505786,2.928849201,
26,26,-2.009146779,1.319633922,
27,27,-11.80613941,9.084129961,
28,28,-20.62434802,7.250287562,
29,29,-16.98938576,7.836260614,
30,30,-13.41236147,4.643248506,
31,31,-13.50120819,4.58531752,
32,32,-16.61343426,2.626869277,
33,33,0.922584867,0.617153288,
34,34,0.989216831,0.084949371,
35,35,0.984350923,0.000627197,
36,36,0.907474282,0.002510845,
37,37,0.937496218,0.001038483,
38,38,0.97990839,0.000869497,
39,39,0.602370206,0.006540525,
40,40,0.458826211,0.006949762,
41,41,0.954016346,0.00747917,
42,42,0.459773657,0.063801782,
43,43,0.897561943,0.009307321,
44,44,-9.024153541,0.441684346,
45,59,0.998254223,0.009613152,
46,60,0.99484418,0.026700359,
47,61,0.999088036,0.003669362,
48,62,0.99905906,0.007162398,
49,63,0.992482663,0.046265557,
50,64,0.996990219,0.017149882,
51,65,-0.859079343,8.829786643,
52,66,-0.134865491,3.422727722,
53,67,-0.124392791,2.471731591,
54,68,-0.306361272,1.438471591,
55,69,0.991929101,0.117359562,
56,70,0.992215529,0.095626014,
57,71,0.979009754,0.217507779,
58,72,0.98357901,0.142835243,
59,73,0.997561799,0.015879842,
60,74,0.942623963,0.360855431,
61,75,0.993671403,0.033363134,
62,76,0.924517835,0.340961851,
63,77,0.983283444,0.098062841,
64,78,0.987032913,0.067392604,
65,79,0.751545178,1.097043896,
66,80,0.887112921,0.434018229,
67,81,0.888251855,0.36208336,
68,82,0.975477015,0.069922837,
69,83,0.95979233,0.098408664,
70,84,0.979361012,0.042724117,
71,85,0.707243941,1.689842912,
72,86,0.603108001,1.808822054,
73,87,0.777816959,0.73018125,
74,88,0.891275664,0.287615601,
75,89,-0.506996915,3.026853537,
76,90,-1.838406954,3.038027559,
77,91,0.953533716,0.268186799,
78,92,0.763194817,0.971555053,
79,93,0.150412336,2.781760862,
80,94,0.714487951,0.300896503,
81,95,0.932702674,0.106897738,
82,96,0.844044623,0.173759139,
83,97,0.948598183,0.042289482,
84,98,0.899456534,0.404449252,
85,99,0.149634928,2.217123485,
86,100,-0.386634679,2.170388157,
87,101,0.78643427,0.597571668,
88,102,0.90539822,0.432876642,
89,103,0.387802115,1.396218983,
90,104,0.812934059,0.513064698,
91,105,0.788696693,1.932349017,
92,106,0.917686451,0.727501838,
93,107,0.952125917,0.400236765,
94,108,0.960849682,0.302281188,
95,109,0.927031428,1.356487639,
96,110,0.983950929,0.206441476,
97,111,0.896642273,1.363700354,
98,112,0.528902872,2.073600504,
99,113,-1.610612442,6.015698762,
100,114,-1.128881099,3.48634044,
101,115,0.90815477,0.068487764,
102,116,0.911606434,0.082595448,
103,117,-0.77369032,1.212068976,
104,118,-0.257142156,0.45170515,
105,119,0.984313183,0.033719025,
106,120,0.710767251,0.217389182,
107,121,-0.056440641,0.155660475,
108,122,0.945800561,0.079146404,
109,123,0.829299192,0.222659241,
110,124,0.740318536,2.446118046,
111,125,0.640119092,1.301548612,
112,126,0.417107261,1.49166989,
113,127,0.839506,2.334724444,
114,128,0.834603029,2.317191167,
115,129,0.976472731,0.16130085,
116,130,0.580098981,0.068275491,
117,131,0.72015077,0.021062262,
118,132,0.496621981,0.022634148,
119,133,0.515987192,4.615877046,
120,134,0.811020872,0.972236358,
121,135,0.818683621,0.624401254,
122,136,0.95811523,0.105235064,
123,137,0.835823864,0.319727063,
124,138,0.868360632,0.272416419,
125,139,0.910194693,0.214875325,
126,140,0.989598083,0.022493318,
127,141,0.800821003,0.410228549,
128,142,0.9615388,0.070254146,
129,143,0.977379412,0.033502393,
130,144,0.853033678,1.30676266,
131,145,0.954434907,0.213914185,
132,146,0.71207156,0.648948155,
133,147,0.859504613,1.395848796,
134,148,0.974143194,0.244721498,
135,149,0.968192878,0.237124659,
136,150,0.341526101,2.804224268,
137,151,-0.274978681,4.06171709,
138,152,0.823457811,0.98658507,
139,153,0.987016712,0.11467862,
140,154,0.891714286,0.718965457,
141,155,0.991658131,0.126137429,
142,156,0.969609432,0.316259022,
143,157,0.993689341,0.03907437,
144,158,0.983268938,0.083861581,
145,159,0.966318526,0.205730165,
146,160,0.860230099,0.59857881,
147,161,0.979532189,0.064216994,
148,162,0.99098419,0.023551544,
149,163,0.967847257,0.313726444,
150,164,0.914902293,0.739941133,
151,165,0.848635694,1.167553218,
152,166,0.399746582,1.350497598,
153,167,0.95059457,0.208971333,
154,168,0.983423363,0.067113003,
155,169,0.502508781,0.851493393,
156,170,0.983875846,0.08600973,
157,171,0.936212186,0.213315593,
158,172,0.958437374,0.113789221,
159,173,-8.492751019,7.902908686,
160,174,-1.997009605,5.642588174,
161,175,-8.296339264,2.916115425,
162,178,0.825522596,3.094418608,
163,179,0.574375654,4.078215093,
164,180,0.857499062,1.071510505,
165,181,0.241863108,2.047949474,
166,182,0.827509579,1.547225363,
167,183,0.953607169,0.217273815,
168,184,0.912131718,0.685909013,
169,185,0.616171285,2.745396631,
170,186,0.917584439,0.445381678,
171,187,0.812499877,0.741440349,
172,188,0.779759261,1.572194039,
173,189,0.6863756,1.727599147,
174,190,-0.274027956,0.834815078,
175,191,-0.141778541,7.356347003,
176,192,0.71123927,0.885857265,
177,193,0.693872645,0.723060022,
178,194,0.775589591,0.058107366,
179,195,0.914236315,0.017787877,
180,196,0.968219761,0.004441675,
181,197,0.941291132,0.006108376,
182,198,0.853706369,0.019378446,
183,199,-10.5752219,0.103461617,
184,200,-0.35849683,0.121257486,
185,201,0.536270014,0.060984721,
186,202,0.631297314,0.031198738,
187,203,0.045580472,0.114827867,
188,204,-0.892656619,0.104852217,
189,205,0.855069125,0.132876725,
190,206,0.931400609,0.032153665,
191,207,0.967391525,0.014314579,
192,208,0.733998197,0.21123152,
193,209,0.789398145,0.081733503,
194,210,0.950269939,0.017255546,
195,211,0.804740119,0.128166701,
196,212,0.803599946,0.055582731,
197,213,0.744315044,0.07067733,
198,214,0.663166726,0.4078598,
199,215,0.741449129,0.177188738,
200,216,0.10699802,0.534447678,
201,217,0.777825186,0.086914919,
202,218,0.799066224,0.057468576,
203,219,0.230612897,0.172056776,
204,220,0.796120864,1.434816948,
205,221,0.986548248,0.077719024,
206,222,0.890844124,0.605482917,
207,223,0.547274911,0.074411243,
208,224,0.108328601,0.079550235,
209,225,-0.526633491,0.081438943,
210,226,0.901903007,0.135875393,
211,227,0.90278657,0.136034066,
212,228,0.878543132,0.206879938,
213,229,0.934120685,0.699714496,
214,230,0.953846145,0.31324562,
215,231,0.974140885,0.201293179,
216,233,0.210969184,6.949866452,
217,234,0.915290843,1.155158028,
218,235,0.965611622,0.369946791,
219,236,0.954122551,0.416675388,
220,237,0.889640691,0.836019785,
221,238,0.924414079,0.630476388,
222,239,0.878375604,0.218469402,
223,240,0.906388687,0.180464044,
224,241,0.932410894,0.147388851,
225,242,0.967942815,0.149461638,
226,243,0.91796328,0.289542792,
227,244,0.924779937,0.187359674,
228,245,0.953845588,0.059381077,
229,246,0.898191208,0.012639407,
230,247,0.68891333,0.035215058,
231,248,0.692931302,0.0264462,
232,249,0.679027029,0.050623559,
233,250,-0.203071862,0.108623645,
234,251,0.669996947,5.722961257,
235,252,0.202044864,12.65120882,
236,254,0.588315039,1.910168619,
237,255,0.845239184,0.477164735,
238,256,-0.480347281,2.860300277,
239,257,0.89770508,0.143855349,
240,258,0.982025222,0.024227384,
241,259,-0.091142102,1.203329915,
242,260,0.319253097,0.69285536,
243,261,0.580022126,0.234582155,
244,262,0.012944004,0.601874021,
245,263,0.813838155,0.025210212,
246,264,0.71594148,0.056058061,
247,265,-3.17937232,0.075831094,
248,266,0.968775207,0.004489276,
249,267,0.498932053,0.090342963,
250,268,-4.551267739,0.127194407,
251,269,-7.688111423,15.04508798,
252,270,-0.87827724,8.50233503,
253,271,0.796678626,0.354023095,
254,272,0.943856804,0.659274629,
255,273,0.769777995,0.91729431,
256,274,0.895505353,0.456105167,
257,275,0.340027178,1.326410728,
258,276,0.852209276,0.228730772,
259,277,-1.671915757,0.884997431,
260,278,-1.524176216,2.657835817,
261,279,-3.460753728,1.484641677,
262,280,-0.39716896,0.427712738,
263,281,-1.023473924,1.001950453,
264,282,0.210569061,0.239720649,
265,283,0.774815118,0.09609293,
266,284,0.682953268,1.518950305,
267,285,0.880726251,0.609597977,
268,286,0.629693432,0.664892794,
269,287,0.167932138,1.204340819,
270,288,0.975768904,0.023904205,
271,289,0.990416385,0.008118906,
272,290,0.951869698,0.036275486,
273,291,0.981654019,0.012095694,
274,292,0.973361614,0.014739005,
275,293,0.875079802,0.049439135,
276,294,0.871674632,0.045594553,
277,295,0.623629373,0.135428387,
278,296,0.911751431,0.010969017,
279,297,0.791042569,0.09951243,
280,298,0.537949946,0.207550758,
281,299,0.639600156,0.060424324,
282,300,0.54406492,0.108806053,
283,301,0.674227022,0.083057457,
284,302,-1.951463575,0.182622229,
285,303,-0.872664161,2.754782008,
286,304,0.800743998,0.271150898,
287,305,-7.338814998,6.544668594,
288,306,-25.90054067,10.82703325,del
289,307,0.459137597,0.297578705,
290,308,0.745636351,0.081946007,
291,309,0.640222335,0.148774016,
292,310,0.6765325,0.175150096,
293,311,0.887108844,0.12164857,
294,312,0.973771358,0.028370722,
295,313,0.801525952,0.315834405,
296,314,0.589869701,0.139683972,
297,315,0.513410354,0.157467429,
298,316,-0.393226478,0.342396027,
299,317,0.811450974,0.132220542,
300,318,-0.437353394,1.092855154,
301,319,0.473110328,0.503207325,
302,320,-0.108630191,1.106684807,
303,321,0.963208537,0.015722343,
304,322,0.312518308,0.184310417,
305,323,0.168664302,0.519645076,
306,324,0.100822704,0.538049738,
307,325,0.998852106,0.006320901,
308,326,0.995928184,0.021086646,
309,327,0.999366715,0.002548074,
310,328,0.998990215,0.007686441,
311,329,0.994662275,0.032851101,
312,330,0.997736812,0.012895757,
313,333,-0.046874475,1.258157421,
314,334,0.674567309,0.383798688,
315,335,0.61438785,0.426598857,
316,336,-1.121051012,4.401504792,
317,337,0.727083784,0.629569815,
318,338,0.841155722,0.317133525,
319,339,0.680724994,0.431861491,
320,340,0.736195681,0.103784014,
321,341,0.419865157,0.15049918,
322,342,-2.261473476,0.600292748,
323,343,0.539475517,0.087309646,
324,344,0.846401274,0.01480758,
325,345,0.677508096,0.025507376,
326,346,0.857357696,0.013534395,
327,347,-2.594160923,0.157713375,
328,348,-0.657533285,0.05807341,
329,349,-4.132198363,14.76184832,
330,350,-3.41903236,4.732896521,
331,351,-3.249925453,6.209894621,
332,352,-5.379440534,12.01473039,
333,353,0.807134266,1.652906754,
334,354,0.363364521,5.858541669,
335,355,-2.443013859,2.250589775,
336,356,0.755576126,1.382951606,
337,357,0.678321944,1.933126164,
338,358,0.826219406,0.495380552,
339,361,0.453714119,6.563630659,
340,362,0.912061344,0.506000126,
341,363,0.923554578,0.213657645,
342,364,-0.190647142,1.881516645,
343,365,0.631961311,0.033389098,
