,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,CO2,ETR_separate,0.91913280548111,0.9611668449977554,-1,-1,0.9072545504784336,0.9023453970252999,{'n_estimators': 200},0.03020721122725113
1,CO2,LGBM_separate,0.9190664683711678,0.94242526610177,-1,-1,0.9002244357797218,1.0868222945459711,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 20}",0.03020721122725113
