,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,logP,logQ,logD,Label,Unnamed: 25,K,n,R2
284,,174,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2866,1.6,,,91.18,8.05,0.77,288,0.015503876,0.34073107,2349,-4.166665224,-1.076661762,3.090003461,E&E,,6.905004987,0.588757867,0.997582062
296,,186,C800-4,Ethane,0,0,0,0,0.3904,0.492,3111,1.92,,,91.62,7.67,0.7,288,0.008341737,0.304987535,2350,-4.786483819,-1.187484373,3.598999446,E&E,,7.613813767,0.62167975,0.998538647
305,,195,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3111,1.92,,,91.62,7.67,0.7,288,0.011142936,0.20338805,2351,-4.496949539,-1.592639548,2.904309991,E&E,,6.383013404,0.661183831,0.998609637
316,,206,C800-5,Ethane,0,0,0,0,0.3904,0.492,3067,2.1,,,91.88,7.52,0.61,288,0.012087308,0.272864629,2352,-4.415599285,-1.298779473,3.116819812,E&E,,5.879094348,0.631012629,0.998581359
326,,216,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3067,2.1,,,91.88,7.52,0.61,288,0.012097899,0.170592022,2353,-4.414723501,-1.768480412,2.646243089,E&E,,4.803448253,0.677723417,0.999201526
336,,227,C600-3,Ethane,0,0,0,0,0.3904,0.492,1971,0.95,,,88.6,10.08,1.31,308,0.0544867,1.274545933,2354,-2.909798636,0.242589984,3.15238862,E&E,,5.637240233,0.474952685,0.996929101
345,,236,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1971,0.95,,,88.6,10.08,1.31,308,0.016240719,0.32486465,2355,-4.120233656,-1.124346646,2.99588701,E&E,,4.864065634,0.541490903,0.996247834
356,,247,C700-3,Ethane,0,0,0,0,0.3904,0.492,2546,1.28,,,89.41,9.72,0.88,308,0.008279669,0.339232406,2356,-4.79395231,-1.081069842,3.712882468,E&E,,6.320092457,0.564246246,0.998759862
367,,258,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2546,1.28,,,89.41,9.72,0.88,308,0.011039558,0.137370441,2357,-4.506270237,-1.985074056,2.521196181,E&E,,5.094437024,0.630831752,0.996381882
379,,270,C800-3,Ethane,0,0,0,0,0.3904,0.492,2866,1.6,,,91.18,8.05,0.77,308,0.014759537,0.345268542,2358,-4.21586582,-1.063432782,3.152433038,E&E,,6.154225549,0.595971606,0.998159746
389,,280,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2866,1.6,,,91.18,8.05,0.77,308,0.017424391,0.199488491,2359,-4.049884246,-1.611998733,2.437885513,E&E,,4.849393485,0.647543521,0.997651999
398,,289,C800-4,Ethane,0,0,0,0,0.3904,0.492,3111,1.92,,,91.62,7.67,0.7,308,0.012100259,0.258044047,2360,-4.414528398,-1.354624985,3.059903413,E&E,,5.319668391,0.658507915,0.999383354
408,,299,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3111,1.92,,,91.62,7.67,0.7,308,0.011235955,0.151728061,2361,-4.48863637,-1.88566543,2.60297094,E&E,,4.274730085,0.68189727,0.999044367
