,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,logP,logQ,logD,Label,Unnamed: 25,K,n,R2
1331,,54,HPC800-1.5,Propane,0,0,0,0,0.5312,1.05,2626,1.688,1.04,0.648,,6.29,1.73,298,0.012896825,1.508042895,2443,-4.350774091,0.410812714,4.761586806,E&E,,9.250914104,0.337078203,0.986848206
1341,,64,,Ethane,0,0,0,0,0.3904,0.492,2626,1.688,1.04,0.648,,6.29,1.73,298,0.021825397,0.434316354,2444,-3.824680995,-0.833982084,2.990698911,E&E,,5.739287565,0.618937263,0.998794709
1350,,80,HPC800,Propane,0,0,0,0,0.5312,1.05,3588,2.605,1.983,0.622,,3.51,,288,0.005070363,1.078379,2445,-5.284342777,0.075458988,5.359801764,E&E,,13.86170028,0.410385307,0.990561067
1363,,93,,Ehtane,0,0,0,0,0.3904,0.492,3588,2.605,1.983,0.622,,3.51,,288,0.017772174,0.413652203,2446,-4.03012133,-0.882729747,3.147391583,E&E,,7.482024362,0.652780715,0.998256519
1373,,113,,Propane,0,0,0,0,0.5312,1.05,3588,2.605,1.983,0.622,,3.51,,298,0.011887613,0.909030695,2447,-4.432258339,-0.095376417,4.336881922,E&E,,11.47859237,0.437008252,0.987300107
1388,,128,,Ethane,0,0,0,0,0.3904,0.492,3588,2.605,1.983,0.622,,3.51,,298,0.01375656,0.369412266,2448,-4.286239489,-0.995842006,3.290397483,E&E,,6.603741318,0.672629983,0.997603548
1397,,144,HPC800-0.5,Propane,0,0,0,0,0.5312,1.05,3328,2.347,1.674,0.673,,4.68,0.77,288,0.021276864,2.238048601,2449,-3.850134974,0.805604326,4.6557393,E&E,,15.36141422,0.430982227,0.991573933
1405,,152,,Ethane,0,0,0,0,0.3904,0.492,3328,2.347,1.674,0.673,,4.68,0.77,288,0.019156755,0.627214294,2450,-3.955099894,-0.46646702,3.488632873,E&E,,10.48292309,0.588677416,0.996835852
1413,,167,HPC800-1,Propane,0,0,0,0,0.5312,1.05,3131,2.202,1.565,0.637,,5.63,1.72,288,0.013371538,2.639434709,2451,-4.314626881,0.970564769,5.28519165,E&E,,14.4157381,0.346865001,0.995664493
1422,,176,,Ethane,0,0,0,0,0.3904,0.492,3131,2.202,1.565,0.637,,5.63,1.72,288,0.025787966,1.556006282,2452,-3.657847345,0.442122463,4.099969808,E&E,,8.535159529,0.527968882,0.995910161
1430,12,45,BDH-activatedcarbon,Ethane,0,0,0,0,0.3904,0.492,1220,0.534,0.055,0.479,,,,313,0.042735043,0.493167329,2453,-3.152736022,-0.706906754,2.445829269,E&E,,1.936743072,0.332045379,0.970385197
1440,,55,,Ethane,0,0,0,0,0.3904,0.492,1220,0.534,0.055,0.479,,,,323,0.145299145,0.48491064,2454,-1.928960591,-0.723790653,1.205169938,E&E,,1.680337476,0.359679562,0.939357846
1455,,70,,Ethane,0,0,0,0,0.3904,0.492,1220,0.534,0.055,0.479,,,,333,0.226495726,0.484827899,2455,-1.485029202,-0.723961299,0.761067902,E&E,,1.414728602,0.414171052,0.945240264
1469,13,0,MC-S-Ag-3,Propylene,0.1,0.08,0,0.07,0.4883,0.946,1193,0.58,0.15,0.43,,,,298,0.016320749,1.204634321,2456,-4.115318026,0.186176053,4.301494079,E&E,,5.645858509,0.29212749,0.974404019
1484,,15,,Propane,0,0,0,0,0.5312,1.05,1193,0.58,0.15,0.43,,,,298,0.013420118,0.863836854,2457,-4.311000331,-0.146371355,4.164628976,E&E,,4.949183402,0.310666967,0.977611245
1497,,28,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1193,0.58,0.15,0.43,,,,298,0.012394744,0.380357023,2458,-4.390482762,-0.966644933,3.423837829,E&E,,3.393413151,0.467607063,0.999356493
1510,,41,,Ethane,0,0,0,0,0.3904,0.492,1193,0.58,0.15,0.43,,,,298,0.019949672,0.150446191,2459,-3.914542602,-1.894149794,2.020392808,E&E,,2.63412275,0.612752048,0.998140703
1522,14,0,Norit-GAC,Ethane,0,0,0,0,0.3904,0.492,1300,0.622,,,,,,298,0.013389063,0.511764706,2460,-4.313317111,-0.669890318,3.643426792,E&E,,4.48383364,0.442510664,0.993795652
1537,,15,,Propane,0,0,0,0,0.5312,1.05,1300,0.622,,,,,,298,0.010667356,1.332352941,2461,-4.540567014,0.286946508,4.827513522,E&E,,5.879189078,0.235714752,0.953840627
1553,,10,ANPC_1-800,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2836,1.35,0.827,0.523,92.19,5.88,1.93,298,0.023566308,0.611825217,2462,-3.747937213,-0.49130863,3.256628583,E&E,,5.872911546,0.57123726,0.997501682
1567,,24,,Ethane,0,0,0,0,0.3904,0.492,2836,1.35,0.827,0.523,92.19,5.88,1.93,298,0.011322374,0.428198559,2463,-4.48097454,-0.848168269,3.632806271,E&E,,7.048794048,0.546400659,0.996793362
1580,,37,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,2836,1.35,0.827,0.523,92.19,5.88,1.93,298,0.031286326,3.088376351,2464,-3.464574141,1.1276455,4.592219641,E&E,,10.25549649,0.313209089,0.988882579
1592,,49,,Propane,0,0,0,0,0.5312,1.05,2836,1.35,0.827,0.523,92.19,5.88,1.93,298,0.046359656,3.363766007,2465,-3.071325691,1.213061182,4.284386873,E&E,,10.05353322,0.28864956,0.975153142
1607,,74,ANPC-2-700,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2729,1.5,1.3,0.2,85.16,9.52,5.32,298,0.049701474,0.692192609,2466,-3.001720683,-0.367891026,2.633829657,E&E,,4.778304974,0.573422836,0.997137161
1618,,85,,Ethane,0,0,0,0,0.3904,0.492,2729,1.5,1.3,0.2,85.16,9.52,5.32,298,0.023985199,0.490141474,2467,-3.730318362,-0.713061207,3.017257155,E&E,,5.035481232,0.556441823,0.997694546
1632,,99,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,2729,1.5,1.3,0.2,85.16,9.52,5.32,298,0.015317054,1.772129448,2468,-4.178788432,0.572181901,4.750970334,E&E,,9.397624131,0.333273871,0.988375807
1646,,113,,Propane,0,0,0,0,0.5312,1.05,2729,1.5,1.3,0.2,85.16,9.52,5.32,298,0.014399413,1.556029794,2469,-4.240567834,0.442137573,4.682705407,E&E,,9.091906344,0.339368847,0.987323646
1660,,138,ANPC-2-800,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3177,2.18,2.14,0.04,94.94,3.63,1.42,298,0.027312864,0.328963051,2470,-3.600397476,-1.111809841,2.488587636,E&E,,4.982113332,0.676440921,0.998750236
1675,,153,,Ethane,0,0,0,0,0.3904,0.492,3177,2.18,2.14,0.04,94.94,3.63,1.42,298,0.04054332,0.686531585,2471,-3.205384259,-0.376103046,2.829281213,E&E,,6.317727634,0.663827125,0.999177439
1691,,169,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,3177,2.18,2.14,0.04,94.94,3.63,1.42,298,0.029204578,2.116805721,2472,-3.533429805,0.749908217,4.283338022,E&E,,11.66936696,0.41253047,0.990763843
1709,,187,,Propane,0,0,0,0,0.5312,1.05,3177,2.18,2.14,0.04,94.94,3.63,1.42,298,0.014190477,1.444576877,2473,-4.255184202,0.36781646,4.623000662,E&E,,11.95149501,0.401985374,0.990744879
1728,,217,ANPC-1-600,Ethane,0,0,0,0,0.3904,0.492,1473,0.637,0.173,0.464,82.47,10.26,7.27,298,0.019608805,0.358238579,2474,-3.931776568,-1.026556093,2.905220475,E&E,,3.911093094,0.441382666,0.983774652
1742,,231,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,1473,0.637,0.173,0.464,82.47,10.26,7.27,298,0.052609337,2.719177345,2475,-2.944861665,1.000329388,3.945191053,E&E,,5.348958541,0.197611536,0.974067936
1753,,242,,Propane,0,0,0,0,0.5312,1.05,1473,0.637,0.173,0.464,82.47,10.26,7.27,298,0.013209709,0.996834481,2476,-4.326803168,-0.003170539,4.323632629,E&E,,4.964390082,0.237171587,0.906971439
1765,,263,ANPC-1-700,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2266,1.03,0.384,0.646,85.78,9.82,4.4,298,0.049230769,0.936648143,2477,-3.01123646,-0.065447582,2.945788878,E&E,,5.259185708,0.515129696,0.996546289
1777,,275,,Ethane,0,0,0,0,0.3904,0.492,2266,1.03,0.384,0.646,85.78,9.82,4.4,298,0.015384615,0.405186702,2478,-4.17438727,-0.903407326,3.270979944,E&E,,5.845131573,0.517752106,0.994298597
1790,,288,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,2266,1.03,0.384,0.646,85.78,9.82,4.4,298,0.048205128,3.154671606,2479,-3.032289869,1.148884404,4.181174273,E&E,,8.643860529,0.273664983,0.974074496
1802,,300,,Propane,0,0,0,0,0.5312,1.05,2266,1.03,0.384,0.646,85.78,9.82,4.4,298,0.013333333,1.292437685,2480,-4.317488114,0.256530113,4.574018227,E&E,,8.341134474,0.284668796,0.947847401
1818,,326,ANPC-2-600,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1502,0.76,0.37,0.39,82.96,8.67,8.3,298,0.014068677,0.266235584,2481,-4.263804419,-1.323373708,2.940430712,E&E,,3.071498722,0.429527638,0.991405532
1833,,341,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,1502,0.76,0.37,0.39,82.96,8.67,8.3,298,0.011254122,1.207534158,2482,-4.487020775,0.188580394,4.675601169,E&E,,4.940596441,0.251303416,0.976799045
1846,,354,,Propane,0,0,0,0,0.5312,1.05,1502,0.76,0.37,0.39,82.96,8.67,8.3,298,0.015215803,0.996128451,2483,-4.185420719,-0.003879063,4.181541656,E&E,,4.547377966,0.267540729,0.961824989
1859,,378,ANPC-1-600,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1473,0.637,0.173,0.464,82.47,10.26,7.27,273,0.013048013,0.876733029,2484,-4.339119454,-0.131552747,4.207566707,E&E,,4.949804496,0.34172033,0.990738251
1873,,392,,Ethane,0,0,0,0,0.3904,0.492,1473,0.637,0.173,0.464,82.47,10.26,7.27,273,0.012099004,0.954695991,2485,-4.414632168,-0.046362323,4.368269844,E&E,,5.056054195,0.317089238,0.989148816
1889,,408,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,1473,0.637,0.173,0.464,82.47,10.26,7.27,273,0.009996073,2.854838285,2486,-4.605562917,1.049015199,5.654578116,E&E,,6.079985901,0.137123789,0.972000166
1905,,424,,Propane,0,0,0,0,0.5312,1.05,1473,0.637,0.173,0.464,82.47,10.26,7.27,273,0.012853403,2.533251368,2487,-4.354146697,0.929503603,5.283650301,E&E,,5.411490905,0.136177135,0.945859808
1921,,450,ANPC_2-600,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1502,0.76,0.37,0.39,82.96,8.67,8.3,273,0.013658537,0.849297573,2488,-4.293390562,-0.163345655,4.130044907,E&E,,4.904340401,0.347160656,0.99162572
1933,,462,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,1502,0.76,0.37,0.39,82.96,8.67,8.3,273,0.011707317,2.360153257,2489,-4.447541242,0.858726556,5.306267798,E&E,,5.802245741,0.18208415,0.99007626
1944,,473,,Propane,0,0,0,0,0.5312,1.05,1502,0.76,0.37,0.39,82.96,8.67,8.3,273,0.012682927,2.083014049,2490,-4.367498534,0.733815907,5.101314441,E&E,,5.195843314,0.177170103,0.981211768
1957,,496,ANPC-1-700,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2266,1.03,0.384,0.646,85.78,9.82,4.4,273,0.018784073,0.80857656,2491,-3.974745927,-0.212479911,3.762266016,E&E,,7.26267958,0.448262482,0.99063835
1970,,509,,Ethane,0,0,0,0,0.3904,0.492,2266,1.03,0.384,0.646,85.78,9.82,4.4,273,0.015087123,0.985426977,2492,-4.193913692,-0.014680252,4.17923344,E&E,,8.023869764,0.410568976,0.988311908
1985,,524,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,2266,1.03,0.384,0.646,85.78,9.82,4.4,273,0.034309895,4.856970511,2493,-3.372321484,1.580414892,4.952736376,E&E,,10.29365927,0.196521194,0.98154957
1999,,538,,Propane,0,0,0,0,0.5312,1.05,2266,1.03,0.384,0.646,85.78,9.82,4.4,273,0.015448135,3.311791399,2494,-4.170266975,1.197489251,5.367756226,E&E,,9.610161259,0.19396707,0.950911042
2013,,560,ANPC-2-700,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2729,1.5,1.3,0.2,85.16,9.52,5.32,273,0.005543057,0.219923503,2495,-5.195209073,-1.514475505,3.680733568,E&E,,6.746291558,0.498312776,0.996680769
2025,,572,,Ethane,0,0,0,0,0.3904,0.492,2729,1.5,1.3,0.2,85.16,9.52,5.32,273,0.01383119,0.628705341,2496,-4.280829059,-0.464092588,3.816736471,E&E,,6.975972848,0.501220402,0.995288425
2039,,586,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,2729,1.5,1.3,0.2,85.16,9.52,5.32,273,0.012168273,2.877748533,2497,-4.408923266,1.057008229,5.465931495,E&E,,11.88593249,0.280168387,0.993334762
2053,,600,,Propane,0,0,0,0,0.5312,1.05,2729,1.5,1.3,0.2,85.16,9.52,5.32,273,0.014906135,2.688976771,2498,-4.205982422,0.989160739,5.195143161,E&E,,11.53025601,0.278672016,0.986191488
2070,,626,ANPC-1-800,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2836,1.35,0.827,0.523,92.19,5.88,1.93,273,0.017275251,0.786516854,2499,-4.058480376,-0.240141128,3.818339249,E&E,,8.28226661,0.496097909,0.994836731
2080,,636,,Ethane,0,0,0,0,0.3904,0.492,2836,1.35,0.827,0.523,92.19,5.88,1.93,273,0.010602187,1.066167291,2500,-4.546694975,0.064070247,4.610765222,E&E,,9.73468046,0.43771145,0.992185246
2093,,649,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,2836,1.35,0.827,0.523,92.19,5.88,1.93,273,0.001065828,1.415730337,2501,-6.844003011,0.347645537,7.191648548,E&E,,12.57700133,0.250725531,0.976009777
2105,,661,,Propane,0,0,0,0,0.5312,1.05,2836,1.35,0.827,0.523,92.19,5.88,1.93,273,0.011722918,3.47815231,2502,-4.446209545,1.246501207,5.692710752,E&E,4825,12.07441567,0.219955148,0.972592516
2120,,685,ANPC-2-800,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3177,2.18,2.14,0.04,94.94,3.63,1.42,273,0.007935026,0.134171013,2503,-4.836468647,-2.008640076,2.827828571,E&E,4826,7.491817105,0.600772006,0.997583343
2132,,697,,Ethane,0,0,0,0,0.3904,0.492,3177,2.18,2.14,0.04,94.94,3.63,1.42,273,0.014883088,0.605263343,2504,-4.207529776,-0.502091639,3.705438137,E&E,4827,9.336772939,0.560607516,0.996362803
2145,,710,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,3177,2.18,2.14,0.04,94.94,3.63,1.42,273,0.015648231,2.49023916,2505,-4.157397423,0.912378754,5.069776177,E&E,4828,15.51874944,0.3525532,0.990359148
2160,,725,,Propane,0,0,0,0,0.5312,1.05,3177,2.18,2.14,0.04,94.94,3.63,1.42,273,0.010612325,2.737196487,2506,-4.545739206,1.006934217,5.552673423,E&E,4829,15.73853182,0.33062078,0.994875312
2174,,748,ANPC-1-600,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1473,0.637,0.173,0.464,82.47,10.26,7.27,323,0.016083254,0.155666252,2507,-4.129976642,-1.860040977,2.269935665,E&E,4830,2.757546323,0.554738693,0.993858581
2187,,761,,Ethane,0,0,0,0,0.3904,0.492,1473,0.637,0.173,0.464,82.47,10.26,7.27,323,0.013245033,0.242839352,2508,-4.324132656,-1.415355155,2.908777501,E&E,4831,2.931097431,0.492456685,0.994263752
2200,,774,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,1473,0.637,0.173,0.464,82.47,10.26,7.27,323,0.013245033,1.151930262,2509,-4.324132656,0.141439024,4.46557168,E&E,4832,4.623449527,0.27282555,0.978397038
2213,,787,,Propane,0,0,0,0,0.5312,1.05,1473,0.637,0.173,0.464,82.47,10.26,7.27,323,0.016083254,1.052303861,2510,-4.129976642,0.050981913,4.180958555,E&E,4833,4.176916815,0.257209228,0.967781782
2229,,811,ANPC-2-600,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1502,0.76,0.37,0.39,82.96,8.67,8.3,323,0.014974479,0.158884488,2511,-4.201407956,-1.839577834,2.361830122,E&E,4834,2.554823929,0.551026851,0.994497626
2243,,825,,Ethane,0,0,0,0,0.3904,0.492,1502,0.76,0.37,0.39,82.96,8.67,8.3,323,0.017790124,0.250744494,2512,-4.029111802,-1.38332081,2.645790992,E&E,4835,2.676262983,0.506542443,0.99586539
2256,,838,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,1502,0.76,0.37,0.39,82.96,8.67,8.3,323,0.016075358,1.059599545,2513,-4.130467723,0.057891049,4.188358772,E&E,4836,4.482570156,0.287641687,0.985496845
2270,,852,,Propane,0,0,0,0,0.5312,1.05,1502,0.76,0.37,0.39,82.96,8.67,8.3,323,0.015118519,0.930940663,2514,-4.191834869,-0.071559738,4.120275131,E&E,4837,4.081623935,0.287695737,0.983365949
2284,,876,ANPC-1-700,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2266,1.03,0.384,0.646,85.78,9.82,4.4,323,0.017560074,0.197690664,2515,-4.04212748,-1.621051772,2.421075708,E&E,4838,3.729260573,0.627437652,0.99808532
2295,,887,,Ethane,0,0,0,0,0.3904,0.492,2266,1.03,0.384,0.646,85.78,9.82,4.4,323,0.012939002,0.311928367,2516,-4.34750913,-1.164981709,3.182527421,E&E,4839,4.389758552,0.575270884,0.997559403
2307,,899,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,2266,1.03,0.384,0.646,85.78,9.82,4.4,323,0.028650647,1.984818878,2517,-3.552579255,0.685527665,4.23810692,E&E,4840,7.719807243,0.332575591,0.987473089
2319,,911,,Propane,0,0,0,0,0.5312,1.05,2266,1.03,0.384,0.646,85.78,9.82,4.4,323,0.013863216,1.205444463,2518,-4.278516258,0.186848348,4.465364606,E&E,4841,7.520442741,0.337795929,0.98162088
2332,,932,ANPC-2-700,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2729,1.5,1.3,0.2,85.16,9.52,5.32,323,0.046072032,0.334232966,2519,-3.0775492,-1.095917026,1.981632174,E&E,4842,3.095559556,0.65914608,0.99798449
2342,,942,,Ethane,0,0,0,0,0.3904,0.492,2729,1.5,1.3,0.2,85.16,9.52,5.32,323,0.017444491,0.141769767,2520,-4.048731357,-1.953550896,2.095180461,E&E,4843,3.502527804,0.659783851,0.998125984
2354,,954,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,2729,1.5,1.3,0.2,85.16,9.52,5.32,323,0.016583802,0.689604586,2521,-4.09932885,-0.37163691,3.72769194,E&E,4844,7.143211734,0.437267293,0.986221043
2369,,969,,Propane,0,0,0,0,0.5312,1.05,2729,1.5,1.3,0.2,85.16,9.52,5.32,323,0.01356991,0.851954002,2522,-4.299900468,-0.160222742,4.139677726,E&E,4845,6.939369561,0.406307752,0.991459343
2384,,992,ANPC-1-800,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2836,1.35,0.827,0.523,92.19,5.88,1.93,323,0.036303297,0.299032585,2523,-3.315846704,-1.207202733,2.108643971,E&E,4846,4.052553092,0.697678774,0.998139264
2394,,1002,,Ethane,0,0,0,0,0.3904,0.492,2836,1.35,0.827,0.523,92.19,5.88,1.93,323,0.010848781,0.298740377,2524,-4.523702511,-1.208180387,3.315522124,E&E,4847,5.064427995,0.609831763,0.998729521
2405,,1013,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,2836,1.35,0.827,0.523,92.19,5.88,1.93,323,0.017124284,1.171261397,2525,-4.067257682,0.158081285,4.225338967,E&E,4848,9.231137047,0.395157892,0.986760427
2419,,1027,,Propane,0,0,0,0,0.5312,1.05,2836,1.35,0.827,0.523,92.19,5.88,1.93,323,0.014379622,1.343423767,2526,-4.241943245,0.295221405,4.53716465,E&E,4849,9.257792941,0.358743674,0.984213026
2436,,1052,ANPC-2-800,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3177,2.18,2.14,0.04,94.94,3.63,1.42,323,0.021555079,0.110204082,2527,-3.83714379,-2.205421345,1.631722445,E&E,4850,3.098730162,0.755547649,0.99832392
2446,,1062,,Ethane,0,0,0,0,0.3904,0.492,3177,2.18,2.14,0.04,94.94,3.63,1.42,323,0.012716215,0.171428571,2528,-4.364877325,-1.763588592,2.601288733,E&E,4851,3.858994695,0.743185048,0.998434873
2459,,1075,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,3177,2.18,2.14,0.04,94.94,3.63,1.42,323,0.010712116,0.551020408,2529,-4.536379837,-0.595983432,3.940396405,E&E,4852,8.484306192,0.509850745,0.994933304
2473,,1089,,Propane,0,0,0,0,0.5312,1.05,3177,2.18,2.14,0.04,94.94,3.63,1.42,323,0.010690753,0.746938776,2530,-4.538376094,-0.291772058,4.246604037,E&E,4853,8.795151885,0.472910856,0.99513519
2487,15,0,FAU-ZTC,Ethane,0,0,0,0,0.3904,0.492,2700,,,1.1,94.8,3.7,,303,0.284976959,1.797235023,2531,-1.255346949,0.586249386,1.841596335,E&E,4854,5.043460697,0.424670366,0.958386537
2494,,7,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2700,,,1.1,94.8,3.7,,303,0.203317972,1.175115207,2532,-1.592984159,0.161366192,1.754350351,E&E,4855,4.095213356,0.481284674,0.98422387
2501,,14,EMT-ZTC,Ethane,0,0,0,0,0.3904,0.492,2980,,,1.3,93.8,4.3,,303,0.194794322,1.952129342,2533,-1.635811037,0.668920747,2.304731784,E&E,4856,5.96752532,0.423885101,0.968001139
2508,,21,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2980,,,1.3,93.8,4.3,,303,0.396286443,1.392584048,2534,-0.925617989,0.331161049,1.256779038,E&E,4857,4.261668811,0.503788696,0.961957776
2515,,28,BETA-ZTC,Ethane,0,0,0,0,0.3904,0.492,3200,,,1.4,91.1,3.6,,303,0.2,1.995412844,2535,-1.609437912,0.690850968,2.300288881,E&E,4858,6.637756896,0.350497809,0.926170877
2523,,36,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3200,,,1.4,91.1,3.6,,303,0.2,1.032110092,2536,-1.609437912,0.031605339,1.641043252,E&E,4859,4.409155469,0.447464899,0.959430744
2530,,43,FAU-ZTC,Ethane,0,0,0,0,0.3904,0.492,2700,,,1.1,94.8,3.7,,323,1.06557377,3.091581125,2537,0.063513406,1.128682651,1.065169245,E&E,4860,3.414390439,0.521982231,0.987194832
2537,,50,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2700,,,1.1,94.8,3.7,,323,0.245901639,0.422284357,2538,-1.402823663,-0.862076359,0.540747304,E&E,4861,2.615632927,0.571106261,0.983602759
2545,,58,EMT-ZTC,Ethane,0,0,0,0,0.3904,0.492,2980,,,1.3,93.8,4.3,,323,0.994522752,3.925233645,2539,-0.005492303,1.367425877,1.37291818,E&E,4862,4.674694564,0.431232759,0.975193433
2552,,65,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2980,,,1.3,93.8,4.3,,323,0.99088402,2.593457944,2540,-0.009157785,0.952992099,0.962149883,E&E,4863,3.213009662,0.54971285,0.986155189
2559,,72,BETA-ZTC,Ethane,0,0,0,0,0.3904,0.492,3200,,,1.4,91.1,3.6,,323,1.049486747,4.485981308,2541,0.048301233,1.500957269,1.452656037,E&E,4864,5.264728709,0.393477601,0.968736872
2566,,79,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3200,,,1.4,91.1,3.6,,323,0.623180634,1.471962617,2542,-0.47291886,0.386596624,0.859515483,E&E,4865,3.129687484,0.537376523,0.970494578
2574,,87,FAU-ZTC,Ethane,0,0,0,0,0.3904,0.492,2700,,,1.1,94.8,3.7,,283,0.019662921,0.416639605,2543,-3.929020582,-0.875533687,3.053486895,E&E,4866,5.871765944,0.729908308,0.999279748
2583,,96,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2700,,,1.1,94.8,3.7,,283,0.025280899,0.231798402,2544,-3.677706154,-1.461887241,2.215818913,E&E,4867,4.129756657,0.778852709,0.999584437
2593,,106,,Ethane,0,0,0,0,0.3904,0.492,2700,,,1.1,94.8,3.7,,273,0.028089888,0.324637681,2545,-3.572345638,-1.125045546,2.447300092,E&E,4868,7.449513865,0.889515238,0.998445609
2602,,115,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2700,,,1.1,94.8,3.7,,273,0.028089888,0.185507246,2546,-3.572345638,-1.684661334,1.887684304,E&E,4869,4.931072871,0.936161449,0.999513086
2611,,124,EMT-ZTC,Ethane,0,0,0,0,0.3904,0.492,2980,,,1.3,93.8,4.3,,283,0.035616438,0.608962155,2547,-3.334947996,-0.495999157,2.838948839,E&E,4870,8.928151141,0.700281439,0.997718706
2620,,133,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2980,,,1.3,93.8,4.3,,283,0.032876712,0.405665196,2548,-3.414990704,-0.9022271,2.512763604,E&E,4871,6.322901541,0.7334536,0.998830859
2629,,142,,Ethane,0,0,0,0,0.3904,0.492,2980,,,1.3,93.8,4.3,,273,0.035944966,0.576271186,2549,-3.325766237,-0.551176919,2.774589318,E&E,4872,11.21993263,0.712427916,0.986037972
2638,,151,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2980,,,1.3,93.8,4.3,,273,0.049680161,0.406779661,2550,-3.002149608,-0.899483614,2.102665995,E&E,4873,8.141852222,0.870469867,0.998321213
2647,,160,BETA-ZTC,Ethane,0,0,0,0,0.3904,0.492,3200,,,1.4,91.1,3.6,,283,0.019178082,0.612549963,2551,-3.953987205,-0.490124767,3.463862437,E&E,4874,10.90937145,0.645294747,0.994573497
2656,,169,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3200,,,1.4,91.1,3.6,,283,0.02739726,0.408863363,2552,-3.597312261,-0.894374255,2.702938006,E&E,4875,7.877850691,0.709216787,0.996682221
2665,,178,,Ethane,0,0,0,0,0.3904,0.492,3200,,,1.4,91.1,3.6,,273,0.035714286,0.774193548,2553,-3.33220451,-0.255933374,3.076271136,E&E,4876,12.59521371,0.629537855,0.974915041
2674,,187,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3200,,,1.4,91.1,3.6,,273,0.03021978,0.316715543,2554,-3.499258595,-1.14975125,2.349507345,E&E,4877,10.21789124,0.764146884,0.992888042
2683,16,0,CAC,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,641,0.26,0.001,0.26,82.14,16.87,0.99,298,0.022340909,0.312,2555,-3.801335793,-1.164752091,2.636583702,E&E,4878,2.800435465,0.432246895,0.983115712
2692,,9,,Ethane,0,0,0,0,0.3904,0.492,641,0.26,0.001,0.26,82.14,16.87,0.99,298,0.005340909,0.216,2556,-5.232359399,-1.532476871,3.699882527,E&E,4879,2.947515659,0.385314879,0.988391724
2702,,19,CAC-800-3,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2063,0.91,0.24,0.67,88.05,9.92,2.02,298,0.011045455,0.168,2557,-4.505736289,-1.7837913,2.721944989,E&E,4880,5.173687246,0.48324869,0.988995092
2712,,29,,Ethane,0,0,0,0,0.3904,0.492,2063,0.91,0.24,0.67,88.05,9.92,2.02,298,0.033409091,0.936,2558,-3.398927233,-0.066139803,3.332787431,E&E,4881,6.421512576,0.499384903,0.996816471
