,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,logP,logQ,logD,Label,K,n,R2
0,1,26,,Methane,0,0,0,0,0.2495,-0.323,514,3,,,,,,278,0.053414953,0.018736999,2751,-2.929664551,-3.977255165,-1.047590615,Methane,0.300329749,0.886402535,0.999612756
8,,43,,Methane,0,0,0,0,0.2495,-0.323,514,3,,,,,,263,0.036125293,0.053571429,2752,-3.320762009,-2.926739402,0.394022607,Methane,1.16793129,0.992311828,0.999018462
16,2,0,Norit R1 Extra,Methane,0,0,0,0,0.2495,-0.323,1450,0.47,,,,,,273,0.975609756,1.415492958,2753,-0.024692613,0.34747785,0.372170463,Methane,2.154664307,0.344800594,0.974428921
28,,12,,Methane,0,0,0,0,0.2495,-0.323,1450,0.47,,,,,,283,1.219512195,1.669014085,2754,0.198450939,0.512233084,0.313782145,Methane,1.790606362,0.378967455,0.979354959
37,,21,,Methane,0,0,0,0,0.2495,-0.323,1450,0.47,,,,,,298,1.219512195,1.035211268,2755,0.198450939,0.034605529,-0.16384541,Methane,1.372534946,0.41957616,0.982613059
47,,31,,Methane,0,0,0,0,0.2495,-0.323,1450,0.47,,,,,,323,1.585365854,0.676056338,2756,0.460815203,-0.391478866,-0.852294069,Methane,1.085043231,0.42836308,0.968819133
58,,118,BPL,Methane,0,0,0,0,0.2495,-0.323,1150,0.43,,,,,,273,5.808516196,2.8508686,2757,1.75932515,1.04762372,-0.711701431,Methane,2.030657753,0.254221946,0.936063929
68,,128,,Methane,0,0,0,0,0.2495,-0.323,1150,0.43,,,,,,298,2.906217346,1.517056339,2758,1.066852354,0.416771838,-0.650080516,Methane,1.280856593,0.333328457,0.970884519
80,,140,,Methane,0,0,0,0,0.2495,-0.323,1150,0.43,,,,,,323,3.521421108,1.17647379,2759,1.258864632,0.162521651,-1.096342981,Methane,0.910190914,0.404751678,0.97955233
91,,151,,Methane,0,0,0,0,0.2495,-0.323,1150,0.43,,,,,,333,5.527037618,1.568268896,2760,1.709651979,0.449972397,-1.259679582,Methane,0.817440084,0.41414309,0.99267649
101,,193,A10,Methane,0,0,0,0,0.2495,-0.323,1200,0.53,,,,,,273,1.824332764,2.313829787,2761,0.601214312,0.838904068,0.237689757,Methane,2.531110008,0.246924738,0.919565613
110,,202,,Methane,0,0,0,0,0.2495,-0.323,1200,0.53,,,,,,298,1.375275846,1.436170213,2762,0.318654326,0.361979996,0.04332567,Methane,1.711708663,0.312653683,0.958344931
120,,212,,Methane,0,0,0,0,0.2495,-0.323,1200,0.53,,,,,,323,1.382770538,1.117021277,2763,0.324089122,0.110665568,-0.213423555,Methane,1.226094393,0.37358952,0.977595743
131,,223,,Methane,0,0,0,0,0.2495,-0.323,1200,0.53,,,,,,333,1.274722072,0.718085106,2764,0.242728172,-0.331167184,-0.573895356,Methane,1.049084585,0.384163921,0.94889589
140,,263,MaxSorb,Methane,0,0,0,0,0.2495,-0.323,3250,1.79,,,,,,273,1.615677252,2.712765957,2765,0.47975422,0.997968763,0.518214543,Methane,3.01558258,0.432931107,0.978215089
150,,273,,Methane,0,0,0,0,0.2495,-0.323,3250,1.79,,,,,,298,2.470784546,2.313829787,2766,0.90453573,0.838904068,-0.065631662,Methane,1.814749984,0.50434259,0.990801883
161,,284,,Methane,0,0,0,0,0.2495,-0.323,3250,1.79,,,,,,323,2.467652285,1.436170213,2767,0.903267207,0.361979996,-0.541287211,Methane,1.1797618,0.577987987,0.986301053
171,,325,Carbon A,Methane,0,0,0,0,0.2495,-0.323,1207,0.54,,,,,,273,1.202518321,1.841421969,2768,0.184417959,0.610538082,0.426120124,Methane,2.474439282,0.288197997,0.938840928
181,,335,,Methane,0,0,0,0,0.2495,-0.323,1207,0.54,,,,,,298,1.877211802,1.420014236,2769,0.629787592,0.350666897,-0.279120695,Methane,1.771679285,0.325959526,0.933740598
194,,348,,Methane,0,0,0,0,0.2495,-0.323,1207,0.54,,,,,,323,0.755396044,0.315341507,2770,-0.280513106,-1.154099078,-0.873585972,Methane,1.093191359,0.435012209,0.958961073
207,3,0,CAQF-30,Methane,0,0,0,0,0.2495,-0.323,2114,1.307,0.165,1.142,,,,283,0.768545925,0.290183632,2771,-0.263254959,-1.237241343,-0.973986385,Methane,0.588721624,0.441039555,0.981300482
218,,11,,Methane,0,0,0,0,0.2495,-0.323,2114,1.307,0.165,1.142,,,,293,1.22199175,0.408070732,2772,0.200482109,-0.896314756,-1.096796865,Methane,0.513779117,0.455441397,0.983820822
228,,21,,Methane,0,0,0,0,0.2495,-0.323,2114,1.307,0.165,1.142,,,,303,2.268347822,0.399002494,2773,0.819051735,-0.918787612,-1.737839347,Methane,0.475122828,0.447670304,0.966657851
239,,32,,Methane,0,0,0,0,0.2495,-0.323,2114,1.307,0.165,1.142,,,,313,2.420863729,0.471548402,2774,0.884124389,-0.751733527,-1.635857917,Methane,0.43258127,0.453725972,0.976698581
252,,45,,Methane,0,0,0,0,0.2495,-0.323,2114,1.307,0.165,1.142,,,,333,1.668725383,0.36272954,2775,0.512060091,-1.014097792,-1.526157883,Methane,0.315359759,0.505063341,0.988768302
263,,56,,Methane,0,0,0,0,0.2495,-0.323,2114,1.307,0.165,1.142,,,,353,0.159973897,0.036272954,2776,-1.832744621,-3.316682885,-1.483938264,Methane,0.210511375,0.574833996,0.98953685
275,4,0,Maxsorb II,Methane,0,0,0,0,0.2495,-0.323,2768,1.38,,,,,,281,1.116912015,0.610204887,2777,0.110567748,-0.493960498,-0.604528247,Methane,0.65041001,0.630509171,0.995283385
285,,10,,Methane,0,0,0,0,0.2495,-0.323,2768,1.38,,,,,,288,2.030457065,0.848582937,2778,0.708260923,-0.164187453,-0.872448376,Methane,0.606021524,0.60796287,0.992081304
292,,17,,Methane,0,0,0,0,0.2495,-0.323,2768,1.38,,,,,,298,1.720879778,0.625393909,2779,0.542835659,-0.469373573,-1.012209232,Methane,0.456994145,0.68415524,0.99665347
302,,27,,Methane,0,0,0,0,0.2495,-0.323,2768,1.38,,,,,,307,1.514202866,0.498903533,2780,0.41488914,-0.695342522,-1.110231662,Methane,0.408485627,0.678626186,0.997339537
311,,36,,Methane,0,0,0,0,0.2495,-0.323,2768,1.38,,,,,,313,1.203457364,0.36492374,2781,0.185198551,-1.008066878,-1.193265428,Methane,0.341502399,0.719682677,0.996078834
319,,44,,Methane,0,0,0,0,0.2495,-0.323,2768,1.38,,,,,,343,1.039420342,0.16411446,2782,0.038663195,-1.807191168,-1.845854363,Methane,0.202941725,0.790678276,0.996087661
328,,39,ACB-5,Methane,0,0,0,0,0.2495,-0.323,3537,2.56,1.53,1.03,,,,298,0.993995717,1.163487243,2783,-0.006022381,0.151421739,0.15744412,Methane,1.34002705,0.688861402,0.99676729
337,,48,ACB-2,Methane,0,0,0,0,0.2495,-0.323,2986,3.18,2.25,0.93,,,,298,0.037929152,0.102730619,2784,-3.272035274,-2.275645066,0.996390208,Methane,1.033499365,0.747347234,0.996950172
348,5,27,MAC,Methane,0,0,0,0,0.2495,-0.323,671.17,0.333,0.066,0.267,,,,298,0.059288538,0.139731142,2785,-2.825339288,-1.968035118,0.85730417,Methane,1.113802215,0.751823891,0.995315738
