,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2,Excluded,P1,P2,P3,P4,P5
270,,81,CX850,Hydrogen,0,0,0,0,0.1086,-1.2,771,0.36,0.09,0.27,98.97,,0.33,77,0.179640719,4.102870813,3632,7.100984287,0.122721477,0.762535136,,0.179640719,4.161676647,5.808383234,13.0239521,14.76047904
282,,93,CX650,Hydrogen,0,0,0,0,0.1086,-1.2,663,0.32,0.07,0.25,,,,77,0.209580838,5.526315789,3633,7.236485646,0.093518101,0.916250875,,0.209580838,1.976047904,5,9.850299401,14.58083832
294,,105,CX950,Hydrogen,0,0,0,0,0.1086,-1.2,787,0.37,0.09,0.28,,,,308,1.12704918,0.252325581,3634,0.310933294,0.381187216,0.990574221,,1.12704918,8.913934426,13.42213115,18.95491803,49.07786885
305,,116,NCX950,Hydrogen,0,0,0,0,0.1086,-1.2,1357,0.7,0.24,0.46,93.64,,5.48,308,1.12704918,0.195348837,3635,0.177051685,0.532739957,0.999063837,,1.12704918,10.45081967,27.35655738,32.68442623,49.59016393
316,,127,NCX850,Hydrogen,0,0,0,0,0.1086,-1.2,1170,0.55,0.14,0.41,92.37,,6.01,308,0.307377049,0.01627907,3636,0.214127438,0.459805417,0.989516791,,0.307377049,6.045081967,9.528688525,26.53688525,48.05327869
327,,138,NCX950-ii,Hydrogen,0,0,0,0,0.1086,-1.2,1602,1.01,0.35,0.66,95.32,,4.67,308,3.176229508,0.390697674,3637,0.226544709,0.432931443,0.998216706,,3.176229508,31.04508197,35.24590164,39.95901639,48.56557377
339,,150,NCX750,Hydrogen,0,0,0,0,0.1086,-1.2,826,0.39,0.1,0.29,94.47,,4.55,308,2.049180328,0.227906977,3638,0.182506086,0.454991261,0.998010073,,2.049180328,4.405737705,13.83196721,44.15983607,49.69262295
351,,162,NCX850-II,Hydrogen,0,0,0,0,0.1086,-1.2,1160,0.55,0.15,0.4,90.49,,7.07,308,1.12704918,0.126162791,3639,0.181972655,0.382648301,0.977665595,,1.12704918,13.21721311,24.18032787,30.6352459,48.7704918
362,,173,NCX650,Hydrogen,0,0,0,0,0.1086,-1.2,704,0.34,0.09,0.25,93.61,,4.44,308,2.151639344,0.19127907,3640,0.163109778,0.341066729,0.989167443,,2.151639344,17.82786885,28.07377049,42.93032787,49.69262295
373,7,0,NAC-1.5-700,Hydrogen,0,0,0,0,0.1086,-1.2,2386,1.16,0.47,0.69,70.7,,11.9,77,0.01084333,1.649280117,3641,12.29010484,0.403472003,0.996638986,,0.01084333,0.040621436,0.246055829,0.867602307,1.011306159
