,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2,Excluded,P1,P2,P3,P4,P5
1075,22,0,D1000-SU-K6,Hydrogen,0,0,0,0,0.1086,-1.2,2259,,,0.97,,,,298,1.700370129,0.09073724,3707,0.172676946,0.646035346,0.992778868,,1.700370129,11.14199933,36.74858223,141.0983146,196.261219
1088,,13,D1000-K4,Hydrogen,0,0,0,0,0.1086,-1.2,1456,,,0.67,,,,298,9.453702086,0.487712665,3708,0.13760137,0.685925509,0.99258534,,9.453702086,20.56964941,41.1170593,100.0371718,194.2399644
1099,,24,D1000-K3,Hydrogen,0,0,0,0,0.1086,-1.2,1288,,,0.59,,,,298,10.45829296,0.419659735,3709,0.148971647,0.635381146,0.986787237,,10.45829296,19.89166177,40.43843624,178.0476879,195.2019825
1111,,36,D1000-K2,Hydrogen,0,0,0,0,0.1086,-1.2,966,,,0.46,,,,298,7.767946498,0.396975425,3710,0.173269715,0.588571509,0.989953384,,7.767946498,28.31535639,38.41718162,159.8691045,196.5255516
1123,,48,D1000-K1,Hydrogen,0,0,0,0,0.1086,-1.2,683,,,0.31,,,,298,9.443535448,0.306238185,3711,0.142493813,0.593869696,0.983215162,,9.443535448,18.53949898,39.75028197,59.60508967,198.1725469
1135,,60,D700-SU-K3,Hydrogen,0,0,0,0,0.1086,-1.2,2364,,,1.02,,,,298,9.047619048,0.485407066,3712,0.170130448,0.649409027,0.990524675,,9.047619048,39.52380952,59.04761905,79.04761905,196.6666667
1144,,69,D700-K5,Hydrogen,0,0,0,0,0.1086,-1.2,2888,,,1.23,,,,298,1.428571429,0.097695853,3713,0.171727393,0.666607943,0.991256931,,1.428571429,29.04761905,40.95238095,79.52380952,195.7142857
1155,,80,D700-K3,Hydrogen,0,0,0,0,0.1086,-1.2,2004,,,0.94,,,,298,9.047619048,0.533794163,3714,0.19197779,0.633963659,0.989688833,,9.047619048,30.47619048,60.47619048,159.5238095,191.9047619
1166,,91,D700-K2,Hydrogen,0,0,0,0,0.1086,-1.2,1491,,,0.71,,,,298,20.95238095,0.808947773,3715,0.15024617,0.649339937,0.984728485,,20.95238095,30.95238095,58.57142857,177.1428571,195.7142857
1176,,101,D700-K1,Hydrogen,0,0,0,0,0.1086,-1.2,999,,,0.46,,,,298,11.42857143,0.501728111,3716,0.151916837,0.619062708,0.985129485,,11.42857143,140.952381,159.5238095,176.1904762,196.1904762
1187,,112,D1000-SU-K6,Hydrogen,0,0,0,0,0.1086,-1.2,2259,,,0.97,,,,77,1.052631579,11.9358277,3717,13.55123015,0.143371451,0.917884974,,1.052631579,1.626794258,14.73684211,30.23923445,39.71291866
1196,,121,D1000-K6,Hydrogen,0,0,0,0,0.1086,-1.2,1894,,,0.89,,,,77,1.244019139,8.862867873,3718,9.700374114,0.152762361,0.903324304,,1.244019139,3.636363636,10.33492823,30.43062201,39.61722488
1205,,130,D1000-K4,Hydrogen,0,0,0,0,0.1086,-1.2,1456,,,0.67,,,,77,0.861244019,10.39984897,3719,11.52907117,0.122571464,0.930292859,,0.861244019,2.200956938,10.04784689,15.31100478,29.95215311
1213,,138,D700-SU-K3,Hydrogen,0,0,0,0,0.1086,-1.2,2364,,,1.02,,,,77,0.91954023,12.42823775,3720,14.07249399,0.147999923,0.922344492,,0.91954023,3.862068966,10.11494253,29.97701149,39.81609195
1222,,147,D700-K5,Hydrogen,0,0,0,0,0.1086,-1.2,2888,,,1.23,,,,77,0.827586207,12.42839142,3721,14.45558088,0.160120767,0.939793387,,0.827586207,3.770114943,10.20689655,29.88505747,40.36781609
1231,,156,D700-K3,Hydrogen,0,0,0,0,0.1086,-1.2,2004,,,0.94,,,,77,1.011494253,11.02434077,3722,12.4889494,0.146951572,0.90020398,,1.011494253,10.11494253,15.08045977,30.34482759,40.27586207
1240,,165,D700-K2,Hydrogen,0,0,0,0,0.1086,-1.2,1491,,,0.71,,,,77,2.206896552,12.62662118,3723,12.40036956,0.098520236,0.864138197,,2.206896552,6.252873563,9.83908046,20.04597701,40.09195402
1248,,173,D700-K1,Hydrogen,0,0,0,0,0.1086,-1.2,999,,,0.46,,,,77,1.195402299,9.352910443,3724,9.312887184,0.160005892,0.982333848,,1.195402299,6.252873563,14.98850575,20.4137931,29.51724138
1255,23,0,Com ZTC,Hydrogen,0,0,0,0,0.1086,-1.2,2577.8,,,1.44,,,,77,0.023104048,1.575463759,3725,12.65848962,0.47161327,0.993091968,,0.023104048,0.054990216,0.250964175,0.353231211,0.931240287
1266,,11,FA-ZTC,Hydrogen,0,0,0,0,0.1086,-1.2,1112.2,,,0.48,,,,77,0.025925926,1.239520958,3726,6.460757149,0.406622165,0.995921998,,0.025925926,0.188888889,0.475925926,0.8,0.92037037
1277,24,0,ACPT-600,Hydrogen,0,0,0,0,0.1086,-1.2,1790,0.89,0.1,0.79,72.3,18,,77,0.546050751,7.917414722,3727,10.59965905,0.261119661,0.99026582,,0.546050751,2.126713836,6.031159772,14.3005431,19.77672363
1287,,10,ACPT-700,Hydrogen,0,0,0,0,0.1086,-1.2,1980,0.99,0.2,0.79,81.4,13.3,,77,0.61895601,9.048473968,3728,11.50349218,0.254016454,0.989009875,,0.61895601,1.55355646,4.922742908,17.55937603,19.8854713
1299,,22,ACPT-750,Hydrogen,0,0,0,0,0.1086,-1.2,2810,1.42,0.27,1.15,87.1,9.9,,77,0.942693897,10.502693,3729,12.11455913,0.261927528,0.98492444,,0.942693897,1.913650626,5.138953569,7.180172339,19.81616313
1309,,32,ACPT-800,Hydrogen,0,0,0,0,0.1086,-1.2,3010,1.57,0.38,1.19,88.3,8.2,,77,0.72828178,10.71813285,3730,12.43613405,0.263894782,0.993666547,,0.72828178,1.518613323,6.035013794,10.97632024,19.96049627
1321,,44,ACPT-850,Hydrogen,0,0,0,0,0.1086,-1.2,3000,1.75,0.64,1.11,89,8.2,,77,0.43948703,8.563734291,3731,12.47942838,0.283220076,0.990711915,,0.43948703,8.077453005,13.98477019,17.9937886,19.85502452
1335,25,0,CA,Hydrogen,0,0,0,0,0.1086,-1.2,2206,1.32,0.62,0.7,,,,77,1.242377883,12.19810616,3732,13.1334536,0.174926189,0.941227055,,1.242377883,5.548466151,12.16566005,32.04588134,45.85668607
1343,,8,CA-CO-I,Hydrogen,0,0,0,0,0.1086,-1.2,1667,0.7,0.1,0.6,,,,77,1.342072636,10.13098078,3733,10.78817028,0.193170574,0.959317877,,1.342072636,11.81002168,17.23776655,32.33336475,46.14235686
1351,,16,CA-CO-II,Hydrogen,0,0,0,0,0.1086,-1.2,518,0.92,0.72,0.2,,,,77,2.096852546,5.208235149,3734,4.923736207,0.16945851,0.953665073,,2.096852546,6.694412018,18.47579411,25.56463483,45.26903082
1359,,24,CA,Hydrogen,0,0,0,0,0.1086,-1.2,2206,1.32,0.62,0.7,,,,296,5.028211708,0.426799622,3735,0.118072853,0.821847458,0.999118284,,5.028211708,17.93319227,24.25719173,38.91527484,46.24581701
1366,,31,CA-CO-I,Hydrogen,0,0,0,0,0.1086,-1.2,1667,0.7,0.1,0.6,,,,296,6.225333513,0.389771755,3736,0.088077461,0.852236857,0.997926818,,6.225333513,11.44712556,17.76587284,38.38705563,47.83385105
1374,,39,CA-CO-II,Hydrogen,0,0,0,0,0.1086,-1.2,518,0.92,0.72,0.2,,,,296,6.142424106,0.242853284,3737,0.060110059,0.81703125,0.996520007,,6.142424106,18.15753538,24.48678702,32.38156335,44.77032969
1381,26,0,CMK-1,Hydrogen,0,0,0,0,0.1086,-1.2,1788,1.06,0.53,0.53,,,,77,0.020862508,1.016548463,3738,5.873696396,0.382230102,0.98650711,,0.020862508,0.287237807,0.38443556,0.883038954,0.976999292
1392,,11,C850-2,Hydrogen,0,0,0,0,0.1086,-1.2,1889,1.09,0.48,0.61,,,,77,0.011421301,1.725768322,3739,8.317028082,0.320470702,0.989925111,,0.011421301,0.035464757,0.359274066,0.564819834,0.972594901
1403,,22,C900-2,Hydrogen,0,0,0,0,0.1086,-1.2,1986,1.16,0.5,0.66,,,,77,0.016269895,2.174940898,3740,9.300954617,0.335052706,0.993341503,,0.016269895,0.249360046,0.343429552,0.639826234,0.980718556
1416,,35,C950-2,Hydrogen,0,0,0,0,0.1086,-1.2,2373,1.43,0.62,0.81,,,,77,0.013058831,2.009456265,3741,10.27761659,0.350384788,0.994762052,,0.013058831,0.067496348,0.66226604,0.773787475,0.979273012
1429,,48,C950-4,Hydrogen,0,0,0,0,0.1086,-1.2,2741,1.73,0.79,0.94,,,,77,0.020967742,2.25,3742,11.35513968,0.385485656,0.98886332,,0.020967742,0.051612903,0.109677419,0.832258065,0.977419355
1439,27,0,AC1,Hydrogen,0,0,0,0,0.1086,-1.2,3306,,,1.2,,,,303,10.06237738,0.608817293,3743,0.104816412,0.769884759,0.985648227,,10.05006027,10.06237738,50.66908317,70.56790688,101.6823417
1446,,7,AC2,Hydrogen,0,0,0,0,0.1086,-1.2,1060,,,0.49,,,,303,19.31323298,0.709547815,3744,0.112784811,0.646367196,0.993858821,,19.31323298,31.32980829,52.00777738,72.68011578,101.2220336
1451,,12,ACF,Hydrogen,0,0,0,0,0.1086,-1.2,1984,,,0.65,,,,303,10.64691236,0.494361988,3745,0.101146475,0.713256996,0.997888841,,10.64691236,21.09182408,30.74632906,72.49852635,100.2627064
1457,28,0,CAC1,Hydrogen,0,0,0,0,0.1086,-1.2,2988,1.36,0.871,0.489,,,,77,0.030100629,2.298257054,3746,14.6227361,0.466530597,0.994059218,,0.030100629,0.173466331,0.546939711,0.701302363,0.975856053
1466,,9,CAC0,Hydrogen,0,0,0,0,0.1086,-1.2,3148,1.5,0.891,0.609,,,,77,0.060870944,2.985830851,3747,12.30813565,0.457799258,0.992813057,,0.060870944,0.427277373,0.746329944,0.88366847,0.976367129
1474,,17,CAC3,Hydrogen,0,0,0,0,0.1086,-1.2,3169,1.84,0.949,0.891,,,,77,0.013305606,0.608533211,3748,10.86717449,0.487388987,0.988168311,,0.013305606,0.047336235,0.095130677,0.17383642,0.973265425
1484,,27,CAC2,Hydrogen,0,0,0,0,0.1086,-1.2,2615,1.6,0.756,0.844,,,,77,0.03711471,1.681793349,3749,9.64291241,0.464687217,0.992970456,,0.03711471,0.379676788,0.527219216,0.884232416,0.976966322
1494,,37,CAC6,Hydrogen,0,0,0,0,0.1086,-1.2,3059,1.57,0.983,0.587,,,,77,0.009074218,1.683673469,3750,14.54478343,0.417746923,0.997266062,,0.009074218,0.623684768,0.758244474,0.872042935,0.965291999
1505,,48,CAC7,Hydrogen,0,0,0,0,0.1086,-1.2,3530,1.95,0.953,0.997,,,,77,0.012887508,0.918367347,3751,13.91053735,0.493236982,0.993267171,,0.012887508,0.125167714,0.204081633,0.537921051,0.94841466
1515,,58,CAC5,Hydrogen,0,0,0,0,0.1086,-1.2,3146,1.75,0.911,0.839,,,,77,0.029800155,1.760204082,3752,11.60405525,0.471742702,0.993874825,,0.029800155,0.084386696,0.173575312,0.687027752,0.966633712
1524,29,0,AC1,Hydrogen,0,0,0,0,0.1086,-1.2,3312,1.7,0.65,1.05,,,,77,1.490926725,16.89068681,3753,18.22411869,0.150610137,0.919354054,,1.490926725,2.901814655,13.09818534,51.91618386,78.71284551
1534,30,0,KUA1,Hydrogen,0,0,0,0,0.1086,-1.2,1058,,,0.51,,,,293,48.10126582,2.530271399,3754,0.405594011,0.515001175,0.994083813,,48.10126582,407.5949367,498.7341772,597.4683544,694.9367089
1542,,8,ACFC50,Hydrogen,0,0,0,0,0.1086,-1.2,1738,,,0.78,,,,293,50.63291139,2.254697286,3755,0.376390548,0.51325114,0.986785768,,50.63291139,105.0632911,300,507.5949367,694.9367089
1550,,16,AX21,Hydrogen,0,0,0,0,0.1086,-1.2,2575,,,0.86,,,,293,98.73417722,3.832985386,3756,1.045525395,0.317447587,0.896960049,,98.73417722,196.2025316,296.2025316,401.2658228,700
1557,,23,COMM FABRIC,Hydrogen,0,0,0,0,0.1086,-1.2,1407,,,0.65,,,,293,49.36708861,1.979123173,3757,0.645007632,0.353752004,0.93581594,,49.36708861,198.7341772,402.5316456,597.4683544,700
1565,,31,AC35,Hydrogen,0,0,0,0,0.1086,-1.2,1204,,,0.54,,,,293,49.36708861,1.5782881,3758,0.408854877,0.405666453,0.926065065,,49.36708861,105.0632911,296.2025316,401.2658228,698.7341772
1572,,38,ACFC26,Hydrogen,0,0,0,0,0.1086,-1.2,1079,,,0.39,,,,293,48.10126582,1.277661795,3759,0.399398253,0.361882977,0.955864442,,48.10126582,397.4683544,498.7341772,598.7341772,698.7341772
1580,31,0,N-C-2,Hydrogen,0,0,0,0,0.1086,-1.2,1995,0.87,0.49,0.38,,,,77,0.031084182,2.829142814,3760,10.48182782,0.353749971,0.99754509,,0.031084182,0.371067424,0.598370506,0.85675777,1.132629887
1592,,12,N-C-3,Hydrogen,0,0,0,0,0.1086,-1.2,1900,0.8,0.44,0.36,,,,77,0.017484852,1.784093522,3761,9.489518766,0.374002509,0.996000892,,0.017484852,0.038855228,0.077710455,0.400208845,1.126801603
1605,,25,N-C-4,Hydrogen,0,0,0,0,0.1086,-1.2,1329,0.69,0.4,0.29,,,,77,0.01359933,1.019568209,3762,6.370881627,0.393464358,0.998303918,,0.01359933,0.033026944,0.293356969,0.736306565,1.126801603
1616,,36,B-C-3,Hydrogen,0,0,0,0,0.1086,-1.2,1497,1.03,0.73,0.3,,,,77,0.034969705,1.886435576,3763,6.733782668,0.346592354,0.99675043,,0.034969705,0.13987882,0.314727344,0.551744233,1.128744364
1628,,48,F-C-1,Hydrogen,0,0,0,0,0.1086,-1.2,1219,4.01,3.939,0.071,,,,77,0.031084182,1.300277843,3764,6.374295865,0.449436113,0.999486225,,0.031084182,0.134050536,0.429350266,0.623626404,1.130687126
1639,,59,F-C-4,Hydrogen,0,0,0,0,0.1086,-1.2,1084,2.35,2.25,0.1,,,,77,0.007771046,1.248758714,3765,6.022718274,0.347337393,0.99812872,,0.007771046,0.071882171,0.101023592,0.507060721,1.128744364
1651,,71,F-C-5,Hydrogen,0,0,0,0,0.1086,-1.2,938,1.45,1.359,0.091,,,,77,0.015542091,0.63739838,3766,5.735643128,0.512714469,0.999381688,,0.015542091,0.095195308,0.172905763,0.402151607,1.130687126
1663,,83,N-C-2,Hydrogen,0,0,0,0,0.1086,-1.2,1995,0.87,0.49,0.38,,,,77,0.961538462,9.2077148,3767,12.01175929,0.164890464,0.86509617,,0.961538462,2.884615385,5.681818182,9.353146853,49.03846154
1673,,104,N-C-2,Hydrogen,0,0,0,0,0.1086,-1.2,1995,0.87,0.49,0.38,,,,140,1.748251748,2.26212019,3768,2.446737074,0.381581651,0.9712246,,1.748251748,7.08041958,11.27622378,37.93706294,48.51398601
1683,,114,N-C-2,Hydrogen,0,0,0,0,0.1086,-1.2,1995,0.87,0.49,0.38,,,,183,1.835664336,0.800004089,3769,1.097712385,0.471845136,0.969986755,,1.835664336,10.05244755,35.4020979,41.08391608,48.86363636
1694,32,0,AC-ZTC1,Hydrogen,0,0,0,0,0.1086,-1.2,3064,1.66,0.5,1.16,,,,77,0.228456986,8.208955224,3770,13.17388074,0.275922204,0.998572196,,0.228456986,0.559678837,1.072778186,17.59408785,20.03652049
1706,,12,AC-ZTC2,Hydrogen,0,0,0,0,0.1086,-1.2,2626,1.67,1,0.67,,,,77,0.483375472,8.134328358,3771,11.29546618,0.293250414,0.99634824,,0.483375472,1.582615157,5.086045184,9.060707392,19.95994526
1717,,23,AC-ZTC3,Hydrogen,0,0,0,0,0.1086,-1.2,2072,1.64,1.57,0.07,,,,77,0.298960571,6.268656716,3772,10.02935104,0.284203669,0.996673389,,0.298960571,0.703223409,1.507671116,14.48848653,20.06488505
1728,,34,ZTC1,Hydrogen,0,0,0,0,0.1086,-1.2,1665,1.06,0.55,0.61,,,,77,0.186861684,3.955223881,3773,7.332671142,0.286845735,0.996131258,,0.186861684,4.348838685,5.989361027,8.504834661,20.09370271
1741,,47,ZTC2,Hydrogen,0,0,0,0,0.1086,-1.2,1626,0.97,0.36,0.61,,,,77,0.258452727,2.910447761,3774,5.500214335,0.340593423,0.995895848,,0.258452727,8.028346428,10.65238471,12.91212426,20.01821494
1752,,58,ZTC3,Hydrogen,0,0,0,0,0.1086,-1.2,1338,0.78,0.28,0.5,,,,77,0.293432655,1.71641791,3775,4.062923725,0.358638563,0.989750467,,0.293432655,2.81244053,7.259694243,18.37443022,20.05047622
1763,33,0,RCIE HUSK-1,Hydrogen,0,0,0,0,0.1086,-1.2,2052,1.11,0.15,0.96,,,,303,3.042789223,0.228307984,3776,0.091099836,0.77928623,0.998583296,,3.042789223,10.0792393,19.3977813,39.5562599,116.0063391
1770,,7,PAN-B4,Hydrogen,0,0,0,0,0.1086,-1.2,3145,2.9,1.17,1.73,,,,303,4.374009509,0.394426493,3777,0.098468891,0.75573085,0.998063278,,4.374009509,19.96830428,39.93660856,98.89064976,119.0491284
1777,,14,PAN-B2,Hydrogen,0,0,0,0,0.1086,-1.2,2778,1.84,0.54,1.3,,,,303,5.134706815,0.238516476,3778,0.070929444,0.809314463,0.99893737,,5.134706815,19.77812995,79.87321712,99.65134707,118.858954
1783,,20,PAN-B1,Hydrogen,0,0,0,0,0.1086,-1.2,2625,1.44,0.2,1.24,,,,303,2.852614897,0.207545228,3779,0.084685929,0.750022592,0.999330046,,2.852614897,39.36608558,79.87321712,99.08082409,118.2884311
1789,,26,PAN-A2,Hydrogen,0,0,0,0,0.1086,-1.2,1747,1.05,0.05,1,,,,303,5.324881141,0.2281104,3780,0.04506244,0.857913188,0.997582219,,5.324881141,38.98573693,79.49286846,99.46117274,119.6196513
1795,,32,PAN-A1,Hydrogen,0,0,0,0,0.1086,-1.2,1597,0.92,0.05,0.87,,,,303,4.944532488,0.134636837,3781,0.034447061,0.89075648,0.997274252,,4.944532488,10.45958796,39.74643423,79.30269414,119.2393027
1801,34,0,CAC1,Hydrogen,0,0,0,0,0.1086,-1.2,3711,2.07,0.977,1.093,,,,77,0.015594272,4.135740977,3782,16.6340984,0.344378858,0.997832762,,0.015594272,0.065660093,0.299084943,0.551953549,0.966609911
1810,,9,CAC2,Hydrogen,0,0,0,0,0.1086,-1.2,3268,1.67,0.644,1.026,,,,77,0.060851457,3.687610842,3783,14.62183648,0.450856444,0.995069736,,0.060851457,0.382225427,0.550836683,0.697123509,0.984154675
1818,,17,CAC4,Hydrogen,0,0,0,0,0.1086,-1.2,2900,1.45,0.487,0.963,,,,77,0.034873878,2.638031034,3784,13.49507661,0.426206532,0.994073671,,0.034873878,0.083127609,0.14472257,0.787454416,0.984521599
1829,,28,CAC5,Hydrogen,0,0,0,0,0.1086,-1.2,2762,1.49,0.635,0.855,,,,77,0.062847009,3.328081599,3785,12.30470654,0.424285856,0.992216722,,0.062847009,0.133666569,0.588893788,0.829087421,0.956751242
1838,,37,CAC7,Hydrogen,0,0,0,0,0.1086,-1.2,2568,1.43,0.637,0.793,,,,77,0.036811494,2.458294576,3786,11.02270257,0.399992215,0.990393454,,0.036811494,0.148742641,0.660495476,0.897035962,0.9890824
1849,,48,AC,Hydrogen,0,0,0,0,0.1086,-1.2,1767,0.7,0,0.7,,,,77,0.030998645,2.997503951,3787,10.05216633,0.309650526,0.985943908,,0.030998645,0.47668262,0.762056191,0.88228819,0.972483915
1859,,58,ZTC,Hydrogen,0,0,0,0,0.1086,-1.2,3751,1.72,0.358,1.362,,,,77,0.03724601,1.109848692,3788,10.50842626,0.578823285,0.996289748,,0.03724601,0.192293951,0.274690931,0.807158881,0.985429253
1869,35,0,ZTC-X,Hydrogen,0,0,0,0,0.1086,-1.2,3332,1.66,0.48,1.18,,,,77,0.493227321,6.501917621,3789,12.00705179,0.375630778,0.986775976,,0.493227321,6.432424361,11.88473151,14.88248427,19.79559949
1879,,10,AC-ZTC,Hydrogen,0,0,0,0,0.1086,-1.2,3350,1.81,0.64,1.17,,,,77,0.407635517,8.67004906,3790,13.18573344,0.291209843,0.99449145,,0.407635517,3.396646987,4.853018841,15.88605728,19.80098995
1891,,22,AC8-CA,Hydrogen,0,0,0,0,0.1086,-1.2,3343,2.65,2.29,0.36,,,,77,0.369756591,5.033817868,3791,10.14776973,0.337738912,0.982093255,,0.369756591,6.437523447,12.01679785,17.76434209,19.6802873
1903,,34,AC-AC,Hydrogen,0,0,0,0,0.1086,-1.2,2722,1.23,0.17,1.06,,,,77,0.16985138,6.539145907,3792,12.63398832,0.310345856,0.997803297,,0.16985138,3.949044586,16.17834395,18.47133758,19.83014862
1914,,45,AC7-CA,Hydrogen,0,0,0,0,0.1086,-1.2,2782,2.04,1.46,0.58,,,,77,0.467091295,3.238434164,3793,5.730296453,0.350249149,0.983604342,1,0.467091295,2.038216561,5.944798301,8.662420382,19.87261146
1924,,55,AC-MC,Hydrogen,0,0,0,0,0.1086,-1.2,2772,2.1,1.6,0.5,,,,77,0.16985138,3.923487544,3794,6.983686829,0.258479889,0.99506015,,0.16985138,1.35881104,2.845010616,8.110403397,19.91507431
1934,36,0,ARCF2,Hydrogen,0,0,0,0,0.1086,-1.2,3144,,,0.744,,,,298,2.237762238,0.406524739,3795,0.284289235,0.885143422,0.994390082,,2.237762238,14.54545455,18.04195804,28.25174825,40.41958042
1943,,9,ARCF1,Hydrogen,0,0,0,0,0.1086,-1.2,1256,,,0.359,,,,298,2.167832168,0.158218721,3796,0.070056075,1.026208168,0.999693392,,2.167832168,5.174825175,18.11188811,24.1958042,40
1952,,18,ARCF2,Hydrogen,0,0,0,0,0.1086,-1.2,3144,,,0.744,,,,77,0.469011725,10.44419134,3797,14.02063715,0.254192039,0.991993373,,0.469011725,1.474036851,9.849246231,18.29145729,40.06700168
1962,,28,ARCF1,Hydrogen,0,0,0,0,0.1086,-1.2,1256,,,0.359,,,,77,0.67001675,5.022779043,3798,5.449288036,0.30338948,0.997961084,,0.67001675,9.447236181,16.88442211,31.55778894,40.33500838
1971,37,0,OP-CO2,Hydrogen,0,0,0,0,0.1086,-1.2,1185,0.52,0.09,0.43,,,,77,0.018741751,2.271970481,3799,8.552725919,0.297906091,0.990726012,,0.018741751,0.158452984,0.247050351,0.690037188,1.05124184
1983,,12,OP-H3PO4,Hydrogen,0,0,0,0,0.1086,-1.2,1192,0.5,0.01,0.49,,,,77,0.01533416,1.464518742,3800,8.264754558,0.340298326,0.986870763,,0.01533416,0.09541255,0.37313122,0.976274837,1.042722863
1995,,24,OP-KOH-1,Hydrogen,0,0,0,0,0.1086,-1.2,760,0.31,0.01,0.3,,,,77,0.010222773,1.802636908,3801,7.595768997,0.244933308,0.971267014,,0.010222773,0.028964524,0.1141543,0.414022313,1.044426658
2007,,36,OP-KOH-4,Hydrogen,0,0,0,0,0.1086,-1.2,1269,0.61,0.13,0.48,,,,77,0.023853137,2.065307714,3802,7.715403266,0.308206708,0.986272194,,0.023853137,0.107339118,0.27431108,0.393576767,0.909826812
2017,38,0,CA800,Hydrogen,0,0,0,0,0.1086,-1.2,2191,1.79,1.23,0.56,,,,77,0.425531915,3.303142944,3803,6.716201318,0.362809779,0.98260562,,0.425531915,2.487725041,4.026186579,13.09328969,20.06546645
2030,,13,CB850,Hydrogen,0,0,0,0,0.1086,-1.2,2611,1.74,0.95,0.79,,,,77,0.360065466,5.761047463,3804,10.53723234,0.327169926,0.988563536,,0.360065466,1.24386252,2.029459902,12.92962357,19.96726678
2043,,26,CA850,Hydrogen,0,0,0,0,0.1086,-1.2,3189,2.41,1.7,0.71,,,,77,0.523731588,7.87899803,3805,11.53898543,0.325141268,0.992407057,,0.523731588,10.70376432,12.53682488,17.05400982,19.93453355
2055,,38,CB850H,Hydrogen,0,0,0,0,0.1086,-1.2,3150,1.95,1.82,1.13,,,,77,0.360065466,6.947488141,3806,12.28175359,0.35204087,0.992069679,,0.360065466,5.859247136,7.725040917,16.23567921,20
2068,39,0,AC-K5,Hydrogen,0,0,0,0,0.1086,-1.2,3190,1.69,0.6,1.09,,,,77,1.008729009,13.25635104,3807,14.53836995,0.29757315,0.9937698,,1.008729009,8.222883313,10.12416331,12.09355306,20.16949153
2079,,11,AC-K3,Hydrogen,0,0,0,0,0.1086,-1.2,2009,1,0.18,0.82,,,,77,1.004814655,11.23556582,3808,12.61853522,0.272038244,0.981948705,,1.004814655,4.003836067,8.179903707,18.12103182,20.05448781
2089,,21,AC-C2,Hydrogen,0,0,0,0,0.1086,-1.2,1488,1.22,0.62,0.6,,,,77,0.897013348,8.083140878,3809,9.2106143,0.309771771,0.99441325,,0.897013348,4.062081653,11.97056406,16.00806357,20.04540651
2100,,32,AC,Hydrogen,0,0,0,0,0.1086,-1.2,1585,1.44,0.85,0.59,,,,77,1.062277371,5.900692841,3810,6.767188656,0.366430239,0.990836157,,1.062277371,2.051434611,8.130034838,12.06646573,20.03898697
2110,,42,AC-C4,Hydrogen,0,0,0,0,0.1086,-1.2,1308,1.1,0.58,0.52,,,,77,1.030101382,6.789838337,3811,7.195706308,0.308482747,0.996217514,,1.030101382,4.055505539,14.811289,17.69483697,20.1369241
2120,40,0,AAC,Hydrogen,0,0,0,0,0.1086,-1.2,1784,1.113,1.095,0.018,72.66,,1.41,77,0.020451775,0.846225588,3812,6.392827593,0.438517585,0.992698631,,0.020451775,0.192393909,0.763404294,0.960214831,1.06299495
2132,41,0,AC6,Hydrogen,0,0,0,0,0.1086,-1.2,3808,,,1.52,,,,77,1.069518717,12.09999392,3813,13.54719268,0.207658212,0.964621364,,1.069518717,9.91087344,19.96434938,30.01782531,40.07130125
2140,,8,AC5,Hydrogen,0,0,0,0,0.1086,-1.2,3183,,,1.25,,,,77,0.855614973,11.07772241,3814,13.17413279,0.201428733,0.965038035,,0.855614973,6.060606061,10.19607843,29.73262032,39.92869875
2148,,16,MAX3000,Hydrogen,0,0,0,0,0.1086,-1.2,3178,,,1.34,,,,77,1.140819964,10.39529655,3815,11.83759769,0.224257379,0.962597192,,1.140819964,10.12477718,14.97326203,19.96434938,40.07130125
2156,,24,MAX2000,Hydrogen,0,0,0,0,0.1086,-1.2,2444,,,1.08,,,,77,0.998217469,10.31037312,3816,11.73632159,0.190351664,0.958740796,,0.998217469,6.131907308,15.04456328,30.01782531,39.8573975
2164,,32,AC4,Hydrogen,0,0,0,0,0.1086,-1.2,2042,,,0.92,,,,77,1.212121212,11.50309917,3817,12.19070974,0.160272364,0.9594245,,1.212121212,6.060606061,14.97326203,19.96434938,40.21390374
2172,,40,AC3,Hydrogen,0,0,0,0,0.1086,-1.2,1719,,,0.77,,,,77,0.998217469,8.179691298,3818,9.019577188,0.183437968,0.975443212,,0.998217469,10.05347594,15.18716578,30.3030303,40.07130125
2180,,48,AC0,Hydrogen,0,0,0,0,0.1086,-1.2,1266,,,0.57,,,,77,1.140819964,7.753251094,3819,8.345681201,0.157432791,0.960274903,,1.140819964,6.274509804,20.10695187,30.01782531,39.8573975
2188,42,0,CAC4,Hydrogen,0,0,0,0,0.1086,-1.2,3708,2,0.869,1.131,,,,77,0.058756161,6.114582406,3820,16.57919161,0.344801741,0.99547845,,0.058756161,0.147742264,0.388092559,0.528983513,0.972181979
2196,,8,CAC3,Hydrogen,0,0,0,0,0.1086,-1.2,3254,1.5,0.347,1.153,,,,77,0.028643578,3.097162756,3821,15.15176992,0.408582795,0.993252264,,0.028643578,0.138738031,0.415603021,0.525171384,0.98579557
2207,,19,CAC6,Hydrogen,0,0,0,0,0.1086,-1.2,3268,1.67,0.644,1.026,,,,77,0.012646395,1.221358445,3822,14.644232,0.469577011,0.992403058,,0.012646395,0.349315678,0.605023755,0.726720517,0.990890549
