,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,logP,logQ,logD,Label,K,n,R2
0,1,0,MaxSorb III,"1,1,1,2-Tetrafluoroethane",-0.39,0.16,0.16,0.05,0.4612,0.403,3140,,,1.7,,,,293,0.112335939,5.508684391,2191,-2.186261442,1.706325827,3.892587269,CFCs,12.9989576,0.290594712,0.976775669
12,,12,,"1,1,1,2-Tetrafluoroethane",-0.39,0.16,0.16,0.05,0.4612,0.403,3140,,,1.7,,,,303,0.17266148,5.274704462,2192,-1.756422367,1.662922652,3.419345019,CFCs,11.3373444,0.305881562,0.977941527
25,,25,,"1,1,1,2-Tetrafluoroethane",-0.39,0.16,0.16,0.05,0.4612,0.403,3140,,,1.7,,,,313,0.055678843,3.10599567,2193,-2.888155034,1.133334331,4.021489364,CFCs,9.911740485,0.315795374,0.979817522
38,,38,,"1,1,1,2-Tetrafluoroethane",-0.39,0.16,0.16,0.05,0.4612,0.403,3140,,,1.7,,,,323,0.145433465,3.282359506,2194,-1.92803658,1.188562525,3.116599106,CFCs,8.571897089,0.336426975,0.978865639
51,,51,,"1,1,1,2-Tetrafluoroethane",-0.39,0.16,0.16,0.05,0.4612,0.403,3140,,,1.7,,,,333,0.14665628,2.403469956,2195,-1.919663659,0.876913508,2.796577168,CFCs,7.52697823,0.344703386,0.977361531
63,2,0,MaxSorb III,"1,1-Difluoroethane",-0.25,0.47,0.04,0.07,0.4258,0.57,3140,,,1.7,,,,298,0.127504554,3.223809307,2196,-2.059603199,1.170563675,3.230166874,CFCs,11.20832307,0.464706489,0.980690115
72,,9,,"1,1-Difluoroethane",-0.25,0.47,0.04,0.07,0.4258,0.57,3140,,,1.7,,,,308,0.136612022,3.157863121,2197,-1.990610328,1.149895571,3.140505899,CFCs,9.961368012,0.473826827,0.995055038
81,,18,,"1,1-Difluoroethane",-0.25,0.47,0.04,0.07,0.4258,0.57,3140,,,1.7,,,,318,0.163934426,2.367588001,2198,-1.808288771,0.861871716,2.670160487,CFCs,8.174042362,0.538672986,0.993767169
90,,27,,"1,1-Difluoroethane",-0.25,0.47,0.04,0.07,0.4258,0.57,3140,,,1.7,,,,328,0.182149362,2.301521912,2199,-1.702928256,0.833570605,2.536498861,CFCs,7.357434659,0.535671933,0.993409039
99,,36,,"1,1-Difluoroethane",-0.25,0.47,0.04,0.07,0.4258,0.57,3140,,,1.7,,,,338,0.255009107,2.300562695,2200,-1.366456019,0.833153743,2.199609762,CFCs,5.975656109,0.602412845,0.99679769
108,,45,,"1,1-Difluoroethane",-0.25,0.47,0.04,0.07,0.4258,0.57,3140,,,1.7,,,,348,0.300546448,2.102484331,2201,-1.202152968,0.74311966,1.945272628,CFCs,5.183697325,0.606008468,0.99335615
117,3,0,Vruf carbon,Chloropentafluoroethane,-0.36,-0.12,0,0,0.6013,0.543,1330,0.81,,,,,,273,0.00742268,0.959349593,2202,-4.903215045,-0.041499731,4.861715315,CFCs,4.925575938,0.256550355,0.981383658
138,,21,,Chloropentafluoroethane,-0.36,-0.12,0,0,0.6013,0.543,1330,0.81,,,,,,298,0.017319588,0.910569106,2203,-4.055917185,-0.093685484,3.962231701,CFCs,3.863464955,0.288992568,0.982418128
157,,40,,Chloropentafluoroethane,-0.36,-0.12,0,0,0.6013,0.543,1330,0.81,,,,,,323,0.012371134,0.536585366,2204,-4.392389422,-0.622529613,3.769859808,CFCs,3.053722474,0.357536025,0.988485567
176,,59,,Chloropentafluoroethane,-0.36,-0.12,0,0,0.6013,0.543,1330,0.81,,,,,,348,0.014845361,0.325203252,2205,-4.210067865,-1.123304901,3.086762964,CFCs,2.34820623,0.437538481,0.993740632
