,group,r2,mse
288,414,,0.010629444
289,415,,0.016120202
290,416,,0.0053767
291,417,,0.062542351
292,418,,0.325872268
293,419,,2.98E-05
294,420,,0.005770041
295,421,,0.005518015
296,422,,0.022573599
297,423,,0.001434695
298,424,,0.024460076
299,425,,0.000556146
300,426,,0.05952587
301,427,,0.000677976
302,428,,0.000315696
303,429,,0.006151833
304,430,,0.000199522
305,432,,0.013574917
306,433,,0.067006509
307,434,,0.015432555
308,435,,0.049115993
309,436,,0.009041042
310,437,,0.018160425
311,438,,0.023106989
312,439,,0.007284411
313,440,,0.018879276
314,441,,0.025546716
315,442,,0.108120032
316,443,,0.010985304
317,444,,0.013532039
318,445,,0.013377423
319,446,,0.024140982
320,447,,7.28E-05
321,448,,0.008176804
322,449,,0.025507621
323,450,,0.07706683
324,451,,0.012088333
325,452,,0.015293492
326,453,,0.012501263
327,454,,0.018004781
328,455,,0.002345189
329,456,,0.00165188
330,457,,5.302604278
331,458,,16.60351428
332,459,,0.327685237
333,460,,0.015484104
334,461,,0.824167309
335,462,,0.461715254
336,463,,0.010904439
337,464,,0.011997117
338,465,,0.001551066
339,466,,0.000335639
340,467,,0.000542901
341,468,,0.000739843
342,469,,0.001027808
343,470,,0.037904401
344,471,,0.076614744
345,472,,0.321705064
346,473,,4.28E-07
347,474,,0.000520303
348,475,,0.000684732
349,476,,2.59E-06
350,477,,0.000618704
351,478,,1.80E-06
352,479,,0.000253077
353,480,,1.22E-07
354,481,,0.000357496
355,482,,0.001052088
356,483,,0.000311077
357,484,,0.001516045
358,486,,0.008557131
359,487,,2.149281983
360,488,,0.93016712
361,490,,0.313348535
362,491,,0.155750264
363,492,,0.192441527
364,493,,0.043509781
365,494,,0.000186081
366,495,,0.007791329
367,496,,0.001309124
368,497,,1.18E-05
369,498,,1.04E-06
370,499,,0.000285548
371,500,,0.001573497
372,501,,0.000937363
373,502,,0.00203744
374,503,,6.40E-06
375,504,,0.004788289
376,505,,0.000400994
377,506,,0.004167136
378,507,,0.751182397
379,508,,4.08E-05
380,509,,0.403483758
