,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,test_r2_separa_model_m,test_mse_separa_model_m,best_param
0,CO2,GBR_separate,0.9174819414193977,1.2316901354920333,-1,-1,0.9452602247242996,0.7357274339128765,0.9279132895526796,0.6748565060833248,"{'learning_rate': 0.5, 'n_estimators': 200}"
1,CO2,LGBM_separate,0.9202351539654423,1.192007058411053,-1,-1,0.9379739311388582,0.8598577350059037,0.9198470295558374,0.7894012050623496,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
2,CO2,BGLGBM_separate,0.9335046727630463,1.0034102221209156,-1,-1,0.9559648865265827,0.5583996479187665,0.9437070168994173,0.5042977705453588,{'n_estimators': 50}
