0.116853517,298.7679671
0.126838805,304.9281314
0.13835666,311.0882957
0.150645519,318.4804928
0.164471666,327.1047228
0.180599023,336.3449692
0.195955376,344.3531828
0.214388665,355.4414784
0.235125524,367.761807
0.260457725,379.4661191
0.285033082,393.6344969
0.315745789,409.650924
0.348754986,425.0513347
0.369489485,436.7556468
0.408643112,455.8521561
0.436309566,476.7967146
0.462459975,502.0533881
0.490892712,522.9979466
0.527712085,532.8542094
0.581380254,540.2464066
0.629682079,547.0225873
0.686410662,553.1827515
0.72474136,557.4948665
0.81750179,567.9671458
0.905688121,584.5995893
0.945584429,597.5359343
0.994001904,634.4969199
