,BET_0,BET_1,BET_2,BET_3,BET_4,BET_5,BET_6,BET_7,BET_8,BET_9,BET_10,BET_11,BET_12,BET_13,BET_14,BET_15,BET_16,BET_17,BET_18,BET_19,BET_20,BET_21,BET_22,BET_23,BET_24,BET_25,BET_26,BET_27,BET_28,BET_29,BET_30,BET_31,BET_32,BET_33,BET_34,BET_35,BET_36,BET_37,BET_38,BET_39,BET_40,BET_41,BET_42,BET_43,BET_44,BET_45,BET_46,BET_47,BET_48,BET_49,E,S,A,B,V,BET,Vt,Vmic,Vmeso,Temp(K),Pressure,Adsorp(mmol/g),Index,Label
0,122.5806452,134.9212406,144.1110205,149.9059602,155.1485984,159.0423735,163.3579958,167.2573984,171.0456559,174.2830972,177.6081512,180.9862522,185.1100852,188.7634776,191.7312982,194.6991188,197.7356057,200.7881676,204.3227419,209.1772738,214.0318056,219.0097724,223.9953721,229.035352,234.236262,239.9047361,247.2562735,254.6078109,261.0356547,267.2576462,273.4796377,283.1179763,292.7837759,300.6385973,308.4934187,316.3482402,322.5411846,328.6716001,334.4508636,338.8360294,343.2211952,348.5355791,353.9005456,359.1342916,363.7948299,369.8908154,378.4374805,386.9841456,400.8244446,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.009925558,0.680672269,2327,E&E
1,122.5806452,134.9212406,144.1110205,149.9059602,155.1485984,159.0423735,163.3579958,167.2573984,171.0456559,174.2830972,177.6081512,180.9862522,185.1100852,188.7634776,191.7312982,194.6991188,197.7356057,200.7881676,204.3227419,209.1772738,214.0318056,219.0097724,223.9953721,229.035352,234.236262,239.9047361,247.2562735,254.6078109,261.0356547,267.2576462,273.4796377,283.1179763,292.7837759,300.6385973,308.4934187,316.3482402,322.5411846,328.6716001,334.4508636,338.8360294,343.2211952,348.5355791,353.9005456,359.1342916,363.7948299,369.8908154,378.4374805,386.9841456,400.8244446,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.019851117,0.890756303,2327,E&E
2,122.5806452,134.9212406,144.1110205,149.9059602,155.1485984,159.0423735,163.3579958,167.2573984,171.0456559,174.2830972,177.6081512,180.9862522,185.1100852,188.7634776,191.7312982,194.6991188,197.7356057,200.7881676,204.3227419,209.1772738,214.0318056,219.0097724,223.9953721,229.035352,234.236262,239.9047361,247.2562735,254.6078109,261.0356547,267.2576462,273.4796377,283.1179763,292.7837759,300.6385973,308.4934187,316.3482402,322.5411846,328.6716001,334.4508636,338.8360294,343.2211952,348.5355791,353.9005456,359.1342916,363.7948299,369.8908154,378.4374805,386.9841456,400.8244446,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.029776675,1.042016807,2327,E&E
3,122.5806452,134.9212406,144.1110205,149.9059602,155.1485984,159.0423735,163.3579958,167.2573984,171.0456559,174.2830972,177.6081512,180.9862522,185.1100852,188.7634776,191.7312982,194.6991188,197.7356057,200.7881676,204.3227419,209.1772738,214.0318056,219.0097724,223.9953721,229.035352,234.236262,239.9047361,247.2562735,254.6078109,261.0356547,267.2576462,273.4796377,283.1179763,292.7837759,300.6385973,308.4934187,316.3482402,322.5411846,328.6716001,334.4508636,338.8360294,343.2211952,348.5355791,353.9005456,359.1342916,363.7948299,369.8908154,378.4374805,386.9841456,400.8244446,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.064516129,1.302521008,2327,E&E
4,122.5806452,134.9212406,144.1110205,149.9059602,155.1485984,159.0423735,163.3579958,167.2573984,171.0456559,174.2830972,177.6081512,180.9862522,185.1100852,188.7634776,191.7312982,194.6991188,197.7356057,200.7881676,204.3227419,209.1772738,214.0318056,219.0097724,223.9953721,229.035352,234.236262,239.9047361,247.2562735,254.6078109,261.0356547,267.2576462,273.4796377,283.1179763,292.7837759,300.6385973,308.4934187,316.3482402,322.5411846,328.6716001,334.4508636,338.8360294,343.2211952,348.5355791,353.9005456,359.1342916,363.7948299,369.8908154,378.4374805,386.9841456,400.8244446,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.121588089,1.605042017,2327,E&E
5,122.5806452,134.9212406,144.1110205,149.9059602,155.1485984,159.0423735,163.3579958,167.2573984,171.0456559,174.2830972,177.6081512,180.9862522,185.1100852,188.7634776,191.7312982,194.6991188,197.7356057,200.7881676,204.3227419,209.1772738,214.0318056,219.0097724,223.9953721,229.035352,234.236262,239.9047361,247.2562735,254.6078109,261.0356547,267.2576462,273.4796377,283.1179763,292.7837759,300.6385973,308.4934187,316.3482402,322.5411846,328.6716001,334.4508636,338.8360294,343.2211952,348.5355791,353.9005456,359.1342916,363.7948299,369.8908154,378.4374805,386.9841456,400.8244446,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.198511166,1.781512605,2327,E&E
6,122.5806452,134.9212406,144.1110205,149.9059602,155.1485984,159.0423735,163.3579958,167.2573984,171.0456559,174.2830972,177.6081512,180.9862522,185.1100852,188.7634776,191.7312982,194.6991188,197.7356057,200.7881676,204.3227419,209.1772738,214.0318056,219.0097724,223.9953721,229.035352,234.236262,239.9047361,247.2562735,254.6078109,261.0356547,267.2576462,273.4796377,283.1179763,292.7837759,300.6385973,308.4934187,316.3482402,322.5411846,328.6716001,334.4508636,338.8360294,343.2211952,348.5355791,353.9005456,359.1342916,363.7948299,369.8908154,378.4374805,386.9841456,400.8244446,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.263027295,1.882352941,2327,E&E
7,122.5806452,134.9212406,144.1110205,149.9059602,155.1485984,159.0423735,163.3579958,167.2573984,171.0456559,174.2830972,177.6081512,180.9862522,185.1100852,188.7634776,191.7312982,194.6991188,197.7356057,200.7881676,204.3227419,209.1772738,214.0318056,219.0097724,223.9953721,229.035352,234.236262,239.9047361,247.2562735,254.6078109,261.0356547,267.2576462,273.4796377,283.1179763,292.7837759,300.6385973,308.4934187,316.3482402,322.5411846,328.6716001,334.4508636,338.8360294,343.2211952,348.5355791,353.9005456,359.1342916,363.7948299,369.8908154,378.4374805,386.9841456,400.8244446,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.322580645,1.966386555,2327,E&E
8,122.5806452,134.9212406,144.1110205,149.9059602,155.1485984,159.0423735,163.3579958,167.2573984,171.0456559,174.2830972,177.6081512,180.9862522,185.1100852,188.7634776,191.7312982,194.6991188,197.7356057,200.7881676,204.3227419,209.1772738,214.0318056,219.0097724,223.9953721,229.035352,234.236262,239.9047361,247.2562735,254.6078109,261.0356547,267.2576462,273.4796377,283.1179763,292.7837759,300.6385973,308.4934187,316.3482402,322.5411846,328.6716001,334.4508636,338.8360294,343.2211952,348.5355791,353.9005456,359.1342916,363.7948299,369.8908154,378.4374805,386.9841456,400.8244446,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.397022333,2.075630252,2327,E&E
9,122.5806452,134.9212406,144.1110205,149.9059602,155.1485984,159.0423735,163.3579958,167.2573984,171.0456559,174.2830972,177.6081512,180.9862522,185.1100852,188.7634776,191.7312982,194.6991188,197.7356057,200.7881676,204.3227419,209.1772738,214.0318056,219.0097724,223.9953721,229.035352,234.236262,239.9047361,247.2562735,254.6078109,261.0356547,267.2576462,273.4796377,283.1179763,292.7837759,300.6385973,308.4934187,316.3482402,322.5411846,328.6716001,334.4508636,338.8360294,343.2211952,348.5355791,353.9005456,359.1342916,363.7948299,369.8908154,378.4374805,386.9841456,400.8244446,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.456575682,2.142857143,2327,E&E
