,BET_0,BET_1,BET_2,BET_3,BET_4,BET_5,BET_6,BET_7,BET_8,BET_9,BET_10,BET_11,BET_12,BET_13,BET_14,BET_15,BET_16,BET_17,BET_18,BET_19,BET_20,BET_21,BET_22,BET_23,BET_24,BET_25,BET_26,BET_27,BET_28,BET_29,BET_30,BET_31,BET_32,BET_33,BET_34,BET_35,BET_36,BET_37,BET_38,BET_39,BET_40,BET_41,BET_42,BET_43,BET_44,BET_45,BET_46,BET_47,BET_48,BET_49,BET_50,BET_51,BET_52,BET_53,BET_54,BET_55,BET_56,BET_57,BET_58,BET_59,BET_60,BET_61,BET_62,BET_63,BET_64,BET_65,BET_66,BET_67,BET_68,BET_69,BET_70,BET_71,BET_72,BET_73,BET_74,BET_75,BET_76,BET_77,BET_78,BET_79,E,S,A,B,V,BET,Vt,Vmic,Vmeso,Temp(K),Pressure,Adsorp(mmol/g),Index,Label
0,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.009925558,0.680672269,2327,E&E
1,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.019851117,0.890756303,2327,E&E
2,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.029776675,1.042016807,2327,E&E
3,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.064516129,1.302521008,2327,E&E
4,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.121588089,1.605042017,2327,E&E
5,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.198511166,1.781512605,2327,E&E
6,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.263027295,1.882352941,2327,E&E
7,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.322580645,1.966386555,2327,E&E
8,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.397022333,2.075630252,2327,E&E
9,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.456575682,2.142857143,2327,E&E
10,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.53101737,2.210084034,2327,E&E
11,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.598014888,2.285714286,2327,E&E
12,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.672456576,2.344537815,2327,E&E
13,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.739454094,2.361344538,2327,E&E
14,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.796526055,2.453781513,2327,E&E
15,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.863523573,2.504201681,2327,E&E
16,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,0.928039702,2.546218487,2327,E&E
17,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,278,1.012406948,2.605042017,2327,E&E
18,122.5806452,131.2626865,137.1314408,142.8314309,146.9671061,150.4793952,153.9916842,156.4251595,158.8784891,161.5552675,164.1597061,166.5690224,168.9783386,171.2505572,173.2585904,175.2666236,177.3515866,179.4468644,181.6332837,184.2145454,186.7958071,188.8386123,190.6794124,192.5202125,194.3610127,196.2286448,198.122006,200.0153671,201.9087282,204.2612921,207.2723309,210.2833696,213.2944083,216.3592004,219.4515344,222.5438684,225.6362024,228.7720148,231.9978957,235.2237766,238.5088745,243.0686889,247.6285032,252.1883176,256.6251291,260.484339,264.3435489,268.2027589,272.0619688,277.2247331,283.2407522,289.2567712,294.7723383,299.6443161,304.516294,309.3882718,314.2602496,318.5835745,322.3859842,326.1883938,329.9908035,333.729254,336.449167,339.1690799,341.8889929,344.8683869,348.1960243,351.5236617,354.8512992,358.1789366,361.0810987,363.9718124,366.9698032,372.2708993,377.5719954,382.8730915,388.1741876,394.7209528,410.9651011,429.5362903,0,0,0,0,0.3904,599,0.66,0.2,0.46,298,0.032258065,0.781512605,2328,E&E
