,BET_0,BET_1,BET_2,BET_3,BET_4,BET_5,BET_6,BET_7,BET_8,BET_9,BET_10,BET_11,BET_12,BET_13,BET_14,BET_15,BET_16,BET_17,BET_18,BET_19,BET_20,BET_21,BET_22,BET_23,BET_24,BET_25,BET_26,BET_27,BET_28,BET_29,BET_30,BET_31,BET_32,BET_33,BET_34,E,S,A,B,V,BET,Vt,Vmic,Vmeso,Temp(K),Pressure,Adsorp(mmol/g),Index,Label
0,122.5019023,129.1032453,129.0106908,130.4614811,138.6823102,146.7255255,152.7989092,158.5854424,163.9069374,168.4879712,172.1419319,174.7279661,176.5327327,183.8240229,193.0970458,197.2993499,207.3627515,221.9655034,215.0657583,222.4151219,232.2184667,245.3357319,248.2227607,262.3675703,269.2792108,281.7452736,294.7470679,303.6880434,324.2375442,344.9693115,374.0246415,410.2760358,465.5809238,571.1673866,836.5093584,0,0,0,0,0.2495,514,3,,,278,0.053414953,0.018736999,2751,Methane
1,122.5019023,129.1032453,129.0106908,130.4614811,138.6823102,146.7255255,152.7989092,158.5854424,163.9069374,168.4879712,172.1419319,174.7279661,176.5327327,183.8240229,193.0970458,197.2993499,207.3627515,221.9655034,215.0657583,222.4151219,232.2184667,245.3357319,248.2227607,262.3675703,269.2792108,281.7452736,294.7470679,303.6880434,324.2375442,344.9693115,374.0246415,410.2760358,465.5809238,571.1673866,836.5093584,0,0,0,0,0.2495,514,3,,,278,0.170583237,0.061586829,2751,Methane
2,122.5019023,129.1032453,129.0106908,130.4614811,138.6823102,146.7255255,152.7989092,158.5854424,163.9069374,168.4879712,172.1419319,174.7279661,176.5327327,183.8240229,193.0970458,197.2993499,207.3627515,221.9655034,215.0657583,222.4151219,232.2184667,245.3357319,248.2227607,262.3675703,269.2792108,281.7452736,294.7470679,303.6880434,324.2375442,344.9693115,374.0246415,410.2760358,465.5809238,571.1673866,836.5093584,0,0,0,0,0.2495,514,3,,,278,0.301536026,0.104401808,2751,Methane
3,122.5019023,129.1032453,129.0106908,130.4614811,138.6823102,146.7255255,152.7989092,158.5854424,163.9069374,168.4879712,172.1419319,174.7279661,176.5327327,183.8240229,193.0970458,197.2993499,207.3627515,221.9655034,215.0657583,222.4151219,232.2184667,245.3357319,248.2227607,262.3675703,269.2792108,281.7452736,294.7470679,303.6880434,324.2375442,344.9693115,374.0246415,410.2760358,465.5809238,571.1673866,836.5093584,0,0,0,0,0.2495,514,3,,,278,0.404919806,0.136499973,2751,Methane
4,122.5019023,129.1032453,129.0106908,130.4614811,138.6823102,146.7255255,152.7989092,158.5854424,163.9069374,168.4879712,172.1419319,174.7279661,176.5327327,183.8240229,193.0970458,197.2993499,207.3627515,221.9655034,215.0657583,222.4151219,232.2184667,245.3357319,248.2227607,262.3675703,269.2792108,281.7452736,294.7470679,303.6880434,324.2375442,344.9693115,374.0246415,410.2760358,465.5809238,571.1673866,836.5093584,0,0,0,0,0.2495,514,3,,,278,0.534149532,0.17122942,2751,Methane
5,122.5019023,129.1032453,129.0106908,130.4614811,138.6823102,146.7255255,152.7989092,158.5854424,163.9069374,168.4879712,172.1419319,174.7279661,176.5327327,183.8240229,193.0970458,197.2993499,207.3627515,221.9655034,215.0657583,222.4151219,232.2184667,245.3357319,248.2227607,262.3675703,269.2792108,281.7452736,294.7470679,303.6880434,324.2375442,344.9693115,374.0246415,410.2760358,465.5809238,571.1673866,836.5093584,0,0,0,0,0.2495,514,3,,,278,0.66510232,0.21134777,2751,Methane
6,122.5019023,129.1032453,129.0106908,130.4614811,138.6823102,146.7255255,152.7989092,158.5854424,163.9069374,168.4879712,172.1419319,174.7279661,176.5327327,183.8240229,193.0970458,197.2993499,207.3627515,221.9655034,215.0657583,222.4151219,232.2184667,245.3357319,248.2227607,262.3675703,269.2792108,281.7452736,294.7470679,303.6880434,324.2375442,344.9693115,374.0246415,410.2760358,465.5809238,571.1673866,836.5093584,0,0,0,0,0.2495,514,3,,,278,0.828793305,0.254079977,2751,Methane
7,122.5019023,129.1032453,129.0106908,130.4614811,138.6823102,146.7255255,152.7989092,158.5854424,163.9069374,168.4879712,172.1419319,174.7279661,176.5327327,183.8240229,193.0970458,197.2993499,207.3627515,221.9655034,215.0657583,222.4151219,232.2184667,245.3357319,248.2227607,262.3675703,269.2792108,281.7452736,294.7470679,303.6880434,324.2375442,344.9693115,374.0246415,410.2760358,465.5809238,571.1673866,836.5093584,0,0,0,0,0.2495,514,3,,,278,1.011437984,0.302157521,2751,Methane
8,122.5019023,129.1032453,129.0106908,130.4614811,138.6823102,146.7255255,152.7989092,158.5854424,163.9069374,168.4879712,172.1419319,174.7279661,176.5327327,183.8240229,193.0970458,197.2993499,207.3627515,221.9655034,215.0657583,222.4151219,232.2184667,245.3357319,248.2227607,262.3675703,269.2792108,281.7452736,294.7470679,303.6880434,324.2375442,344.9693115,374.0246415,410.2760358,465.5809238,571.1673866,836.5093584,0,0,0,0,0.2495,514,3,,,263,0.036125293,0.053571429,2752,Methane
9,122.5019023,129.1032453,129.0106908,130.4614811,138.6823102,146.7255255,152.7989092,158.5854424,163.9069374,168.4879712,172.1419319,174.7279661,176.5327327,183.8240229,193.0970458,197.2993499,207.3627515,221.9655034,215.0657583,222.4151219,232.2184667,245.3357319,248.2227607,262.3675703,269.2792108,281.7452736,294.7470679,303.6880434,324.2375442,344.9693115,374.0246415,410.2760358,465.5809238,571.1673866,836.5093584,0,0,0,0,0.2495,514,3,,,263,0.256216238,0.285714286,2752,Methane
