,pred,real
0,0.09386056574929869,0.134771574
1,0.16103856153586402,0.223857868
2,0.2776787997878394,0.356345178
3,0.3537415340401383,0.470558376
4,0.4540537398276273,0.584771574
5,0.5821600723601548,0.721827411
6,0.7366924253646898,0.879441624
7,0.9249393707422664,1.073604061
8,1.0817219024623628,1.222081218
9,1.2174182313553013,1.368274112
10,1.3881552884069146,1.555583756
11,2.053539850503705,2.142206932
12,2.6606653649063357,2.880494509
13,3.056101172864269,3.474698624
14,4.0950679655132705,4.573399546
15,5.07961556655366,5.618062495
16,5.598360923580118,6.410548237
17,6.808371370801708,7.654062383
18,7.995602809840968,8.969484768
19,8.92584207770497,10.01530466
20,9.68667356908821,10.88067759
21,10.734906531809687,11.71029218
22,11.31680588556027,12.4497723
23,12.101715619390578,13.51413882
24,0.07614891262195007,0.096823104
25,0.1573848263671021,0.241517855
26,0.23616848382079664,0.338250975
27,0.2863630950480283,0.459009903
28,0.4252976781289295,0.62854032
29,0.5922408115508383,0.822141536
30,0.7527572075059173,0.992571796
31,1.0076626256467767,1.284660827
32,1.176805011944979,1.551914191
33,1.2792366185255237,1.747810007
34,1.376156465252186,1.87014366
35,0.0336793320713542,0.117370892
36,0.18041684922097273,0.305164319
37,0.3223267877226622,0.58685446
38,0.43577119228372097,0.821596244
39,0.6534419135626485,1.103286385
40,0.7568921019752062,1.384976526
41,0.9673701920651935,1.666666667
42,1.0712317791952912,1.901408451
43,0.14180088557417245,0.180488956
44,0.41260617448629777,0.463532113
45,0.6047849478715156,0.720775808
46,0.8759302251413197,1.002853496
47,1.0373536069411948,1.259131722
48,1.3209023188891296,1.64338815
49,1.5003086718945882,1.846780163
50,1.6645163143837653,2.126980551
51,1.7488541546438878,2.20223345
52,0.22534077787906004,0.154239384
53,0.3803582968253086,0.541486876
54,0.5672226009161137,0.771746599
55,0.7634800227336676,0.976336402
56,0.9122397198588431,1.232375979
57,1.1755357538437403,1.536787138
58,1.2706154417929272,1.790847877
59,1.4501864007044396,2.068489762
60,1.5051593651864736,2.245980486
61,0.02208835200543781,0.104753506
62,0.17542347555584684,0.288086184
63,0.33300467939922573,0.497031516
64,0.5006247799335299,0.679297
65,0.6833706889366413,0.965585805
66,0.8022817381830243,1.146784095
67,0.9702969741335439,1.380218719
68,1.0954095063618807,1.56108
69,0.03884906172950808,0.130603506
70,0.13885645223681028,0.262063428
71,0.26459514278339674,0.445978857
