,Unnamed: 0,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model,kpg_pca_mse
0,0,0.625200481,3.636211346,0.633261874,2.29590216,0.050029515
1,1,0.449043627,4.722927373,0.609449273,3.01783798,0.050029515
2,2,0.489507644,4.452199951,0.616366145,2.706911761,0.050029515
0,0,0.759971261,2.836586064,0.728170449,2.015090542,0.047334402
1,1,0.659682782,3.882532591,0.680307795,2.598469858,0.047334402
2,2,0.716642682,3.326257097,0.7012089,2.302552545,0.047334402
0,0,0.782542658,2.585089771,0.783565716,1.663275713,0.03755357
1,1,0.71955694,3.165875788,0.766949202,1.934466072,0.03755357
2,2,0.752306966,2.847891308,0.759390434,1.909779721,0.03755357
0,0,0.811180421,2.272051188,0.826004064,1.296664962,0.039554715
1,1,0.754743871,2.857296705,0.802340351,1.712275887,0.039554715
2,2,0.783878399,2.590413531,0.815872959,1.438216234,0.039554715
0,0,0.825416076,2.027380614,0.83874502,1.251126428,0.039272727
1,1,0.78661393,2.438238734,0.824631219,1.531935397,0.039272727
2,2,0.81328097,2.158963156,0.840793388,1.278876028,0.039272727
0,0,0.842451682,1.755187735,0.844288517,1.206185266,0.038478501
1,1,0.807867689,2.113579194,0.84745562,1.318252272,0.038478501
2,2,0.827082925,1.915057071,0.85436854,1.181095782,0.038478501
0,0,0.856526642,1.668989966,0.85929538,1.110235318,0.034069995
1,1,0.826006887,2.003371383,0.835769333,1.406124945,0.034069995
2,2,0.847715874,1.781163842,0.862094975,1.140129862,0.034069995
0,0,0.852752547,1.761033849,0.867157389,1.063289648,0.036869462
1,1,0.82879093,2.007808879,0.857042246,1.290391542,0.036869462
2,2,0.846160921,1.827195948,0.872904015,1.069928268,0.036869462
0,0,0.857518271,1.678140603,0.862836423,1.09485073,0.036040922
1,1,0.83584298,1.889928266,0.859624307,1.287871567,0.036040922
2,2,0.855944784,1.678773173,0.868362756,1.104207515,0.036040922
0,0,0.860409356,1.645752981,0.866009802,1.088835419,0.035343671
1,1,0.845332622,1.799980741,0.857210348,1.269547745,0.035343671
2,2,0.859101804,1.655939173,0.873054543,1.06830256,0.035343671
0,0,0.872357956,1.485358423,0.859865842,1.111606884,0.031365176
1,1,0.855229005,1.669553674,0.856208705,1.283454414,0.031365176
2,2,0.871616825,1.486173577,0.866178077,1.09964225,0.031365176
0,0,0.879698635,1.412012038,0.867248721,1.048857651,0.033633477
1,1,0.859086532,1.645546931,0.861479702,1.251898007,0.033633477
2,2,0.877426305,1.434761425,0.868518121,1.090698827,0.033633477
0,0,0.887699172,1.325840535,0.869624616,1.015333577,0.033313588
1,1,0.866882823,1.552905934,0.861026545,1.218833745,0.033313588
2,2,0.888721317,1.306049086,0.872771181,1.036491808,0.033313588
0,0,0.894305898,1.237898913,0.871692144,0.994895533,0.032850984
1,1,0.884352223,1.345685864,0.862899165,1.220799577,0.032850984
2,2,0.897219028,1.200388926,0.877832756,0.987102672,0.032850984
0,0,0.890196429,1.305997235,0.874698285,0.976355361,0.030060699
1,1,0.881201338,1.399851921,0.876065213,1.097990725,0.030060699
2,2,0.894300399,1.254713989,0.879309856,0.984112974,0.030060699
0,0,0.888759796,1.307317504,0.885167461,0.932763524,0.032481301
1,1,0.877097372,1.44553759,0.890455792,0.998635801,0.032481301
2,2,0.892354311,1.267072074,0.897230067,0.866319493,0.032481301
0,0,0.898539385,1.175590631,0.890282173,0.89386503,0.032154738
1,1,0.886285735,1.30803526,0.886836217,1.009089812,0.032154738
2,2,0.90252261,1.120793329,0.90094641,0.839002598,0.032154738
0,0,0.901518886,1.150743327,0.891947612,0.888780533,0.031735784
1,1,0.891306443,1.268169649,0.886236196,1.029554265,0.031735784
2,2,0.906842503,1.087884363,0.903326757,0.823324385,0.031735784
0,0,0.895484059,1.209865523,0.892454799,0.890057024,0.02871174
1,1,0.887241573,1.302126208,0.90209652,0.862070664,0.02871174
2,2,0.902580673,1.125542778,0.909494423,0.756369488,0.02871174
0,0,0.902197871,1.137964788,0.897871331,0.845982579,0.031338081
1,1,0.895245978,1.214873413,0.906744336,0.832055597,0.031338081
2,2,0.910054351,1.046486354,0.911848316,0.722575341,0.031338081
0,0,0.898262653,1.191591522,0.897656468,0.84656825,0.031319997
1,1,0.891109971,1.266466681,0.908476845,0.823638235,0.031319997
2,2,0.907223959,1.08357036,0.913143656,0.720594756,0.031319997
0,0,0.905709475,1.098235391,0.898127261,0.852657427,0.031027421
1,1,0.900094527,1.159037764,0.901448365,0.87935469,0.031027421
2,2,0.914223414,0.997980042,0.912069006,0.728151173,0.031027421
0,0,0.906926956,1.065087566,0.901281093,0.824419055,0.028107161
1,1,0.899515778,1.146878075,0.904497869,0.831485473,0.028107161
2,2,0.914707261,0.972709776,0.913647299,0.71873364,0.028107161
0,0,0.910993589,1.029406015,0.901689816,0.840893853,0.030468227
1,1,0.904402761,1.107587191,0.906248913,0.847852729,0.030468227
2,2,0.917837051,0.951553168,0.917119709,0.696051915,0.030468227
0,0,0.909788859,1.049132627,0.900287057,0.841271978,0.030292349
1,1,0.902940611,1.131285685,0.909065314,0.816377016,0.030292349
2,2,0.918080699,0.951583401,0.913637138,0.709125089,0.030292349
0,0,0.911880597,1.01209843,0.902353826,0.829002647,0.030160792
1,1,0.90582154,1.086082582,0.910296157,0.800518457,0.030160792
2,2,0.919537106,0.925975167,0.91599951,0.693788711,0.030160792
0,0,0.91269479,1.00401923,0.903366911,0.809592588,0.02744048
1,1,0.907772202,1.061339753,0.916923717,0.723920924,0.02744048
2,2,0.921289784,0.905203104,0.91735444,0.682840548,0.02744048
0,0,0.913049845,0.998491643,0.905282117,0.796507399,0.029486486
1,1,0.908022307,1.049401571,0.914914473,0.776611647,0.029486486
2,2,0.920972589,0.903205853,0.918780517,0.66933291,0.029486486
0,0,0.912536679,1.010883782,0.905099902,0.801743471,0.029340715
1,1,0.907860973,1.06045468,0.91212951,0.822851583,0.029340715
2,2,0.921969585,0.900052606,0.918506656,0.660671324,0.029340715
0,0,0.912897866,1.002380802,0.905622651,0.785942255,0.029297259
1,1,0.909131266,1.042853145,0.916647918,0.725722791,0.029297259
2,2,0.92286344,0.889182682,0.92090035,0.631394494,0.029297259
0,0,0.916485269,0.961731767,0.907854421,0.776405544,0.026925115
1,1,0.912644956,1.007556404,0.916320955,0.747285719,0.026925115
2,2,0.925958468,0.852744571,0.922021749,0.626454132,0.026925115
