,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse,kpg_pca_mse_added_other
0,CO2,ETR_separate,0.9393865678660523,0.8917913529589964,-1,-1,0.9287323668054777,0.6905765377240598,{'n_estimators': 180},0.008706711170429914,0.007975409360919297
1,CO2,LGBM_separate,0.9386330902834805,0.9111136960091624,-1,-1,0.9378861789309527,0.643915799981679,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.008706711170429914,0.007975409360919297
2,CO2,BGLGBM_separate,0.9454310630597196,0.8035549531926062,-1,-1,0.945145379392507,0.5493890355902186,{'n_estimators': 50},0.008706711170429914,0.007975409360919297
3,CO2,ETR_separate,0.9436594428055773,0.8116077390435585,-1,-1,0.9286118638978886,0.6911194756021348,{'n_estimators': 180},0.008706711170429914,0.007975409360919297
4,CO2,LGBM_separate,0.9438035936896505,0.8104450230523123,-1,-1,0.9414920749535014,0.6268168370280617,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.008706711170429914,0.007975409360919297
5,CO2,BGLGBM_separate,0.9512296362883153,0.7050148566873611,-1,-1,0.9460657915320866,0.5462617719626336,{'n_estimators': 50},0.008706711170429914,0.007975409360919297
