,Unnamed: 0,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model
0,0,0.677801732732232,3.1604683540243306,0.5115533819506604,3.990463448173762
1,1,0.4607253008321835,4.567269313322475,0.5811865650410674,4.23607017639749
2,2,0.5214908113819101,4.106899281257336,0.548510423463811,4.113737729266579
3,3,0.5737114738898569,3.77260861059765,0.4389558366599745,4.113376206709378
0,0,0.8091365000735452,2.3458502716791805,0.7352807146213022,2.3410352570941044
1,1,0.7528033581110247,3.0042627123478574,0.6904159885475533,2.7493454910711685
2,2,0.7858540931754829,2.56759630311673,0.6836046769002079,2.759404082844481
3,3,0.7663587481572189,2.87090905394457,0.6551968237714454,2.754272543512578
0,0,0.8156510063045548,1.9777080714030284,0.7258832143792923,2.52167456306307
1,1,0.7766143437485582,2.276068380978684,0.7474661090897806,2.617720136702664
2,2,0.7989737337706825,2.1058520662282896,0.7274295561780079,2.6783975295204074
3,3,0.7691703698497224,2.4310576824703425,0.6990190404612184,2.696484395870378
0,0,0.8264328815673799,1.684536453388438,0.7496304238665008,2.260694567332682
1,1,0.7886473333404065,2.0635993562134844,0.7308901903146875,2.654247415115168
2,2,0.8148497567731191,1.8009689061867142,0.7462773292279422,2.3590090832084982
3,3,0.8025955870189044,1.9109187803711216,0.7178739536647343,2.380780325483614
0,0,0.8454758055685303,1.8034288981206972,0.7735145392811597,2.0864354925756303
1,1,0.8120190695692759,2.1489173799755563,0.7630394907803404,2.355914990893271
2,2,0.8318464032073688,1.945328042556719,0.7760939762013592,2.1605564959469947
3,3,0.8200367161482841,2.0824838292813386,0.7230816347763495,2.3360801898686594
0,0,0.8325726886967267,2.146280939942988,0.78974038655112,1.9811180601471008
1,1,0.8041606894667656,2.436113607821588,0.7590497575719029,2.49829330364251
2,2,0.8211818127798249,2.2660256619875656,0.7688262343401122,2.263357281894561
3,3,0.8146118605792794,2.3078185994939715,0.7201101144084806,2.36067449627994
0,0,0.8323690577744021,1.911891166933896,0.8004280922050906,1.874707868184609
1,1,0.8096987120860526,2.130448892373728,0.7899728637690953,2.1652508672018658
2,2,0.8312684236890819,1.903541307214207,0.7952137121820627,2.053505044266464
3,3,0.8161169686972973,2.072278015512371,0.7654373027561828,2.141631373849836
0,0,0.8607261942177973,1.6251195785592316,0.7655839551642691,2.198324659979817
1,1,0.8314493862083268,1.9168250117530263,0.7206362164658511,2.707102722895333
2,2,0.8513810842125495,1.70400987197613,0.7698440958966715,2.2074446471951203
3,3,0.833542533937995,1.8908746178538671,0.7095906735381902,2.499442987821136
0,0,0.8542172936818281,1.5029794667202303,0.7914766034244353,2.112836721144617
1,1,0.8220333029995702,1.8183616885444565,0.813629270074901,2.1398974613760786
