,Unnamed: 0,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model
3,3,0.018581870502764,0.3019426972871319,0.0847662584043922,0.620729329084702
0,0,0.0108582576544708,0.1380664528272663,0.0923417143638079,0.6677470147832676
1,1,0.0091203813514432,0.1129694555690008,0.0697593497886765,0.5637441573710968
2,2,0.0106134133738682,0.1359281265325297,0.075631573489343,0.5616770420936267
3,3,0.0101936566942106,0.1292496160096284,0.0817887600244355,0.6845249601353676
0,0,0.0122061437301323,0.1090729884785869,0.091063470399658,0.6264606342669778
1,1,0.0126855769409202,0.1052475431582505,0.0757509427679314,0.639748893041846
2,2,0.0104331192106196,0.0890810797466777,0.0760345423431052,0.6318438166152567
3,3,0.0093491234557867,0.0864683453597812,0.0789732047180491,0.6612030897139649
0,0,0.0168170862404298,0.16762286436458,0.0912848119887099,0.7084521060185087
1,1,0.0192195275245435,0.181010914642835,0.065500530664587,0.5270113451309892
2,2,0.0149817300807421,0.1438300988456858,0.0754152263522536,0.6153697422171927
3,3,0.0169349339849686,0.1616525562199715,0.0745837133869294,0.5954489406666408
0,0,0.0138136686720067,0.2147536457293843,0.0837459131299371,0.5783416140159733
1,1,0.0118080069143259,0.1617997534246397,0.0750014928293716,0.4784950365479208
2,2,0.0121978601852147,0.1702467128164639,0.0757243823231941,0.5214072936071664
3,3,0.0126358426289728,0.1892927813517449,0.0817464755872032,0.5855450327235023
0,0,0.0084257931731101,0.077178255811624,0.0858767525935345,0.6025176591009467
1,1,0.0065719705507011,0.0609787463186183,0.0800230368921764,0.6491357495677541
2,2,0.0049203602882741,0.0478908006531707,0.0717822887275962,0.539158811043208
3,3,0.0080241812771469,0.0822280830950045,0.089905192519556,0.6047574897349455
0,0,0.0048076467673337,0.0475714304529632,0.0817611705651032,0.5648540024078478
1,1,0.0074283248741385,0.0677811098289051,0.0663900762244284,0.451154143790952
2,2,0.0064742366460028,0.053979517220492,0.0627933221877941,0.447468321244008
3,3,0.0055130111957386,0.0571716392184169,0.0630139850548824,0.4983535119372718
0,0,0.0088921920522257,0.1132550539705578,0.0824406545444881,0.567446054173064
1,1,0.0075452210830798,0.0819071484133532,0.0699715285723927,0.5233713317194586
2,2,0.0069719474041297,0.0794642982230164,0.0649612191764696,0.5007367275946846
3,3,0.0109253499872672,0.1230133480449829,0.0649959025949092,0.5117097541685568
0,0,0.0083303970638898,0.1294388089656939,0.080056273304749,0.5552327644756881
1,1,0.0103730431950373,0.14759430373825,0.0756569418648581,0.5850287644989346
2,2,0.008682486787504,0.127710720409914,0.0699836969957491,0.5133908184242258
3,3,0.0123997945911907,0.1480149770978652,0.0728761645013784,0.5970766462968008
0,0,0.004840136362409,0.0561248949710824,0.0763019763225622,0.5159014623934816
1,1,0.0061344838785177,0.0743571543620013,0.0648353238910856,0.5034037242638406
2,2,0.00377408396102,0.0470463428600535,0.0668191654572435,0.5206631355525149
3,3,0.0091696577745614,0.0952896584657249,0.0668730253871251,0.5153565456511616
0,0,0.0033444529527247,0.0352373310989737,0.084048334074272,0.5898082354443652
1,1,0.002958715437317,0.0260756851898189,0.0829846743849622,0.6527247533666096
2,2,0.0026060697810586,0.0277476123735047,0.0673452830937906,0.5078077663674939
3,3,0.0045733448459731,0.0406155573676486,0.0668337821749281,0.5281169006231563
