,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,CO2,GBR_separate,0.944720305,0.78157282,-1,-1,0.945312061,0.714849793,"{'learning_rate': 0.5, 'n_estimators': 200}",0.018295415
0,CO2,ETR_separate,0.941049427,0.834154865,-1,-1,0.943520562,0.762573348,{'n_estimators': 200},0.018295415
0,CO2,LGBM_separate,0.945532905,0.770688636,-1,-1,0.942247538,0.752222412,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.018295415
1,CO2,GBR_separate,0.933879941,1.006591311,-1,-1,0.944197255,0.738228948,"{'learning_rate': 0.5, 'n_estimators': 200}",0.020031956
1,CO2,ETR_separate,0.937976431,0.944108756,-1,-1,0.94174222,0.803926275,{'n_estimators': 200},0.020031956
1,CO2,LGBM_separate,0.937300674,0.952376139,-1,-1,0.941434545,0.765778398,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.020031956
0,CO2,GBR_separate,0.946875137,0.716448473,-1,-1,0.947403546,0.873480027,"{'learning_rate': 0.5, 'n_estimators': 200}",0.018251164
0,CO2,ETR_separate,0.944271922,0.751674994,-1,-1,0.942348799,0.899197423,{'n_estimators': 200},0.018251164
0,CO2,LGBM_separate,0.947456423,0.707462778,-1,-1,0.945137393,0.858260794,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.018251164
1,CO2,GBR_separate,0.93436767,0.927876425,-1,-1,0.936376445,1.031671602,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019651953
1,CO2,ETR_separate,0.939149643,0.846072369,-1,-1,0.93941311,0.933777164,{'n_estimators': 180},0.019651953
1,CO2,LGBM_separate,0.93786037,0.8726973,-1,-1,0.936150883,0.997861053,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019651953
0,CO2,GBR_separate,0.94643212,0.735903683,-1,-1,0.947083622,0.841254236,"{'learning_rate': 0.5, 'n_estimators': 200}",0.018329349
0,CO2,ETR_separate,0.942883556,0.785076058,-1,-1,0.95247843,0.700633351,{'n_estimators': 200},0.018329349
0,CO2,LGBM_separate,0.945523219,0.75113641,-1,-1,0.94212819,0.896434056,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.018329349
