,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,Methane,GBR_separate,0.901774456,0.98883508,-1,-1,0.869975318,0.994289287,"{'learning_rate': 0.5, 'n_estimators': 200}",0.028162977
0,Methane,ETR_separate,0.912285178,0.894198963,-1,-1,0.906396221,0.69528443,{'n_estimators': 150},0.028162977
0,Methane,LGBM_separate,0.912622973,0.881615845,-1,-1,0.904269159,0.721435989,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.028162977
1,Methane,GBR_separate,0.904420596,0.983134711,-1,-1,0.891903988,0.856336087,"{'learning_rate': 0.5, 'n_estimators': 200}",0.028880642
1,Methane,ETR_separate,0.915520279,0.869097874,-1,-1,0.910712534,0.668139748,{'n_estimators': 150},0.028880642
1,Methane,LGBM_separate,0.912929254,0.890180936,-1,-1,0.904207439,0.746405056,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.028880642
0,Methane,GBR_separate,0.899921282,0.976936859,-1,-1,0.898893781,0.955782306,"{'learning_rate': 0.5, 'n_estimators': 200}",0.028300145
0,Methane,ETR_separate,0.918896174,0.800944628,-1,-1,0.920574615,0.697021372,{'n_estimators': 150},0.028300145
0,Methane,LGBM_separate,0.920343501,0.782785462,-1,-1,0.923357919,0.693881233,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.028300145
1,Methane,GBR_separate,0.890269351,1.08128585,-1,-1,0.903898377,0.90967034,"{'learning_rate': 0.5, 'n_estimators': 200}",0.028016331
1,Methane,ETR_separate,0.908487409,0.903549879,-1,-1,0.920639861,0.706529949,{'n_estimators': 150},0.028016331
1,Methane,LGBM_separate,0.912526013,0.863520244,-1,-1,0.926966203,0.674919455,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.028016331
