,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,CO2,GBR_separate,0.943087214,0.789182232,-1,-1,0.941524138,0.929729659,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019116466
0,CO2,ETR_separate,0.943990376,0.7716631,-1,-1,0.938165173,0.95340518,{'n_estimators': 200},0.019116466
0,CO2,LGBM_separate,0.944659199,0.764114493,-1,-1,0.945196953,0.87447695,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019116466
1,CO2,GBR_separate,0.934949491,0.875225057,-1,-1,0.93367511,1.013767118,"{'learning_rate': 0.5, 'n_estimators': 200}",0.020386216
1,CO2,ETR_separate,0.942411587,0.76868727,-1,-1,0.936114646,0.982303415,{'n_estimators': 200},0.020386216
1,CO2,LGBM_separate,0.939434701,0.821440731,-1,-1,0.935478791,1.053586225,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.020386216
0,CO2,GBR_separate,0.93819394,0.816451965,-1,-1,0.925761076,0.886873665,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019551683
0,CO2,ETR_separate,0.941836383,0.765190662,-1,-1,0.901253822,1.120829214,{'n_estimators': 150},0.019551683
0,CO2,LGBM_separate,0.942148322,0.770709389,-1,-1,0.893150332,1.225772943,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019551683
1,CO2,GBR_separate,0.944810748,0.779062482,-1,-1,0.92151955,0.953037874,"{'learning_rate': 0.5, 'n_estimators': 200}",0.02012757
1,CO2,ETR_separate,0.93929197,0.853901589,-1,-1,0.900694992,1.134083166,{'n_estimators': 200},0.02012757
1,CO2,LGBM_separate,0.942449791,0.811140787,-1,-1,0.89830923,1.16884188,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.02012757
0,CO2,GBR_separate,0.936808922,0.881804766,-1,-1,0.924107959,1.182254567,"{'learning_rate': 0.5, 'n_estimators': 200}",0.020119069
0,CO2,ETR_separate,0.937811689,0.868315188,-1,-1,0.940983726,0.846516336,{'n_estimators': 200},0.020119069
0,CO2,LGBM_separate,0.93999896,0.844969801,-1,-1,0.927923044,1.125539137,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.020119069
1,CO2,GBR_separate,0.938423349,0.864743162,-1,-1,0.932354394,0.99918592,"{'learning_rate': 0.5, 'n_estimators': 200}",0.020873639
1,CO2,ETR_separate,0.940869302,0.845910391,-1,-1,0.935533907,0.921735706,{'n_estimators': 200},0.020873639
1,CO2,LGBM_separate,0.939026307,0.859567074,-1,-1,0.922925932,1.242048767,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.020873639
0,CO2,GBR_separate,0.931333496,0.976855531,-1,-1,0.943480567,0.784494876,"{'learning_rate': 0.5, 'n_estimators': 200}",0.018813126
0,CO2,ETR_separate,0.931022901,0.992200456,-1,-1,0.949022275,0.688001372,{'n_estimators': 200},0.018813126
0,CO2,LGBM_separate,0.940604113,0.853072996,-1,-1,0.95171678,0.680548617,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.018813126
1,CO2,GBR_separate,0.939246233,0.829643257,-1,-1,0.942405208,0.811086304,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019892138
1,CO2,ETR_separate,0.937721449,0.838829675,-1,-1,0.944559437,0.752056597,{'n_estimators': 200},0.019892138
1,CO2,LGBM_separate,0.935712058,0.877081004,-1,-1,0.948962977,0.703107797,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019892138
0,CO2,GBR_separate,0.94010965,0.823000269,-1,-1,0.922578716,1.022376696,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019225443
0,CO2,ETR_separate,0.941165012,0.811223736,-1,-1,0.932176433,0.839815706,{'n_estimators': 200},0.019225443
0,CO2,LGBM_separate,0.939051602,0.846553433,-1,-1,0.934681678,0.877526868,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019225443
1,CO2,GBR_separate,0.939691555,0.868084688,-1,-1,0.924150854,1.029572768,"{'learning_rate': 0.5, 'n_estimators': 200}",0.020137477
1,CO2,ETR_separate,0.940176934,0.861290255,-1,-1,0.925711217,0.916965565,{'n_estimators': 200},0.020137477
1,CO2,LGBM_separate,0.944037139,0.798463996,-1,-1,0.942447196,0.779507873,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.020137477
0,CO2,GBR_separate,0.93042063,0.911110092,-1,-1,0.952161417,0.573026238,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019699977
0,CO2,ETR_separate,0.934482616,0.853081174,-1,-1,0.938996954,0.746704949,{'n_estimators': 200},0.019699977
0,CO2,LGBM_separate,0.929370565,0.921736072,-1,-1,0.960871994,0.497393912,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019699977
1,CO2,GBR_separate,0.925536313,1.002121191,-1,-1,0.949695471,0.622332364,"{'learning_rate': 0.5, 'n_estimators': 200}",0.021090976
1,CO2,ETR_separate,0.928719693,0.972746681,-1,-1,0.935827004,0.778970853,{'n_estimators': 200},0.021090976
1,CO2,LGBM_separate,0.920845855,1.073546067,-1,-1,0.956375845,0.537376638,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.021090976
0,CO2,GBR_separate,0.934951124,0.851025372,-1,-1,0.952673133,0.67036162,"{'learning_rate': 0.5, 'n_estimators': 200}",0.01911027
0,CO2,ETR_separate,0.940474364,0.806238298,-1,-1,0.946168277,0.746166972,{'n_estimators': 150},0.01911027
0,CO2,LGBM_separate,0.93529223,0.85896822,-1,-1,0.956443117,0.613103953,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.01911027
1,CO2,GBR_separate,0.93692701,0.854938266,-1,-1,0.942351856,0.796079925,"{'learning_rate': 0.5, 'n_estimators': 200}",0.020028693
1,CO2,ETR_separate,0.943318909,0.78065683,-1,-1,0.942438093,0.797395394,{'n_estimators': 200},0.020028693
1,CO2,LGBM_separate,0.946798061,0.736669081,-1,-1,0.945726856,0.777345301,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.020028693
