,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,Methane,GBR_separate,0.905792926,0.965066151,-1,-1,0.892112985,0.85615303,"{'learning_rate': 0.5, 'n_estimators': 200}",0.025887592
0,Methane,ETR_separate,0.914605527,0.87170749,-1,-1,0.907817122,0.708817993,{'n_estimators': 150},0.025887592
0,Methane,LGBM_separate,0.911244409,0.906494518,-1,-1,0.90776388,0.710255582,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.025887592
1,Methane,GBR_separate,0.904420596,0.983134711,-1,-1,0.891903988,0.856336087,"{'learning_rate': 0.5, 'n_estimators': 200}",0.028296321
1,Methane,ETR_separate,0.915520279,0.869097874,-1,-1,0.910712534,0.668139748,{'n_estimators': 150},0.028296321
1,Methane,LGBM_separate,0.912929254,0.890180936,-1,-1,0.904207439,0.746405056,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.028296321
0,Methane,GBR_separate,0.908042861,0.907551156,-1,-1,0.903905577,0.899769867,"{'learning_rate': 0.5, 'n_estimators': 200}",0.025710808
0,Methane,ETR_separate,0.916641531,0.82675146,-1,-1,0.921451195,0.688020023,{'n_estimators': 150},0.025710808
0,Methane,LGBM_separate,0.92467013,0.744834487,-1,-1,0.926930018,0.665096385,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.025710808
1,Methane,GBR_separate,0.890269351,1.08128585,-1,-1,0.903898377,0.90967034,"{'learning_rate': 0.5, 'n_estimators': 200}",0.028320942
1,Methane,ETR_separate,0.908487409,0.903549879,-1,-1,0.920639861,0.706529949,{'n_estimators': 150},0.028320942
1,Methane,LGBM_separate,0.912526013,0.863520244,-1,-1,0.926966203,0.674919455,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.028320942
0,Methane,GBR_separate,0.905483926,0.93328524,-1,-1,0.861088112,1.16907318,"{'learning_rate': 0.5, 'n_estimators': 200}",0.025075982
