,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model
0,0.8882307817252898,1.6964390990460603,0.8822931680120436,1.6550496572914426
1,0.8407386948746063,2.417508636708081,0.7886057432038611,2.2785632390963477
2,0.9397700104766668,0.913465776047321,0.9390190258651995,0.8363414736205216
3,0.9311638405047694,1.0476383974738952,0.926380554389891,0.9831391291089949
4,0.9357150126438198,0.9778548507510173,0.9288073969875051,0.9507093240407305
5,0.9313891468425055,1.04430226169664,0.9264988243478497,0.9820459936529059
6,0.9361051336148083,0.9735606985318438,0.938505721490666,0.8480033312971703
7,0.9427405532624041,0.8741139004758423,0.9403289506390261,0.7988868954012847
8,0.9375058561466476,0.9518133029150895,0.9304026016565674,0.9184069878603004
9,0.7740570208380085,1.91743284639832,0.8043748983553929,2.2276246414706202
10,0.7165489497946975,2.3723133539599894,0.7086292006015684,2.7229658959307588
11,0.887529410033053,1.103943959459238,0.8912294121090737,1.25015052626417
12,0.8113401626076118,1.696264440122004,0.8175286481688381,1.9686687496866495
13,0.8654311773890074,1.2518971705778448,0.8537883666388643,1.6120850698499456
14,0.8114819331506493,1.694892836867713,0.8171941232503531,1.9835447570542668
15,0.8840364069366741,0.9991166731645023,0.891317843175801,1.3386059940164439
16,0.8967486897254185,1.0483623170328713,0.8768600714665064,1.4548878845855042
17,0.8690751509431865,1.2407715481632302,0.8535347814863794,1.5467896632136142
18,0.8340732561426677,1.9373144391669124,0.8546155869076438,1.786621950457269
19,0.8036134405888742,2.2843239722854385,0.7785111068003943,2.2752649571244046
20,0.9017671891030818,1.1523808367022788,0.9125443621542866,1.0024761197214984
21,0.9004673470780301,1.1768439810948323,0.903261032812939,1.0773053317679466
22,0.9065362170609959,1.1061151404323817,0.9044621526159436,1.0548908039909293
23,0.9009172340984427,1.1719557768557414,0.9035612034793485,1.0728542269013879
24,0.9033250422334307,1.1414333160338845,0.9150893259850097,0.9786202431453185
25,0.9142771429253085,1.0170437498447193,0.9210467651632371,0.8787735445288669
26,0.9073756310663436,1.0985332065807432,0.9027466847078923,1.0588936992541653
27,0.8425242269519742,1.2052246152096124,0.849992493755919,1.1721442977516487
28,0.7370355337158553,2.0341978768081797,0.5274893313781134,2.181049208377649
29,0.927357589574289,0.560204715512634,0.9361330336498715,0.5015208291302782
30,0.8981546965436092,0.7866745132182441,0.8970063756401909,0.7475011369493848
31,0.9003359215348092,0.7668068632954548,0.897237203704212,0.7339177307536556
32,0.8983476972828749,0.7853290035979781,0.8971198649684369,0.745575574596813
33,0.9305223392984735,0.5387628610641072,0.9383870839262886,0.46127911726521387
34,0.93594660124757,0.4987734504979684,0.9396018437308928,0.43992841037502334
35,0.9011930345255567,0.7619877180377287,0.8960594714002191,0.7208739586925794
