,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model
0,0.010668597639042427,0.15154651726648663,0.02170533238132792,0.2884904544544274
1,0.009302351134911133,0.13166969314846644,0.04142747648336399,0.2064473666684699
2,0.007186749473087418,0.10611192092764302,0.011148278579760192,0.16640957236338674
3,0.007583346477129945,0.11249734314278365,0.015657737305067476,0.17600372430875127
4,0.008106676973743595,0.12295465390034761,0.014520292750737194,0.18476528291943786
5,0.007620592949469621,0.11304065403377275,0.015625787921226892,0.17762281184341097
6,0.00910428805475176,0.1350935395272382,0.014151883355380448,0.20919243599248744
7,0.008092577989827671,0.11932515668644544,0.013038258042812145,0.19408838961832334
8,0.006857393821221488,0.10430658999498178,0.013501081753657376,0.16422064117860222
9,0.057773390650540636,0.5443767904523332,0.1034383946454349,0.976502177805163
10,0.0754039198043708,0.6248635355965275,0.18974326674748726,1.6739955987922799
11,0.030238755122555923,0.3524328352784559,0.04954769593181741,0.7545269046330302
12,0.04872839694879834,0.4534270587199674,0.11444829744869038,1.1846928763509483
13,0.04880916840835002,0.42530701125219816,0.0982789022816804,1.098754774899746
14,0.04988070265937146,0.45705452673324787,0.11411930225800523,1.183867451608836
15,0.04731703513383556,0.32578918631907305,0.06086102063607087,0.8167496692218362
16,0.02247277983871728,0.34575511794953034,0.0793369996273917,1.0467397345469995
17,0.045264542037127604,0.4095875220919123,0.10712346740217464,1.1636440830693573
18,0.02426075425118218,0.26199626486495853,0.05609386308312925,0.3702550946478946
19,0.02982236095585195,0.3179170570156915,0.05198491856434378,0.3239001796103361
20,0.01735792088713604,0.19574812147196802,0.04166918024310514,0.2549923758880901
21,0.0178044980857493,0.2072975295181192,0.05182902037635697,0.3077724157575837
22,0.018649170777206864,0.21979570966781561,0.05277724543663385,0.35158502161369165
23,0.01774366542660405,0.20774048541716203,0.05202840130528216,0.3102914076481509
24,0.01929200444204254,0.2213006559900865,0.046628180235377154,0.2990271676353157
25,0.01677495696355407,0.2066364168592683,0.04547910220095523,0.2812462717163499
26,0.017591940439708065,0.21194757684285542,0.05392281525639981,0.35457819784867045
27,0.016680338914747433,0.11064400924743734,0.04006721474543803,0.2728137071275043
28,0.026295209331521817,0.21410676855910324,0.09263890593380937,0.7086315657149467
29,0.008309016668436704,0.06583106917138672,0.01567302845149731,0.11361095765588963
30,0.010749187669935595,0.08205592507891696,0.02869006291545822,0.17388814498005817
31,0.01502113851118113,0.11780063101840929,0.03046705820595382,0.16472346018528697
32,0.010653385793390577,0.08160678622669135,0.029005292779721935,0.17355840046540863
33,0.007946649007727248,0.06793560212889217,0.01726087501321122,0.11405855222616314
34,0.0070222713424491455,0.06053001733127085,0.018649083203199572,0.12331130591058953
35,0.013628705586413218,0.10682566910028807,0.03021807047599725,0.15579453215850178
