,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model
0,0.01041443861167033,0.15001564914942342,0.02152403552439546,0.29501734964679727
1,0.009373776181327701,0.13270858882075115,0.04169929572292709,0.21208049753558886
2,0.007015966941761047,0.10434940066443042,0.011432871801872148,0.1665178316452793
3,0.007234716850856966,0.10712250744327288,0.01579263783908834,0.1748210520867083
4,0.007806695080537791,0.11820518542255332,0.014471956372846456,0.1825986768217689
5,0.007272433801324198,0.10723971323968266,0.015787393730682674,0.17793707280844936
6,0.008683205805901435,0.12756794556785042,0.014698962131991749,0.21405519202027504
7,0.007721719814234547,0.11262306838537653,0.013411247724705458,0.1959268501401675
8,0.006618665851246396,0.10082154367987115,0.013452017820925796,0.16267510057179813
9,0.058530246246331505,0.551918838046127,0.10380210663452248,0.981654388980527
10,0.07734992754464917,0.6297064755609436,0.1905019725629002,1.671611235708392
11,0.030009591975956235,0.3533878757560209,0.04980136553290789,0.7554396490285887
12,0.04909564143440892,0.45291740782469314,0.11575713408524561,1.1939862919716795
13,0.04713593063323744,0.39157639403464545,0.09946555325694198,1.1017105128187217
14,0.05002840501731736,0.4557837558728105,0.11463901617344543,1.1853327889992449
15,0.05062773225147516,0.33177500580191677,0.06393142295906208,0.8255959007695138
16,0.022629296836634488,0.3448043442176544,0.08085605832893494,1.0506623199527814
17,0.043713438529105,0.3802466322671134,0.1087009001131743,1.1695829317228543
18,0.024488671492024217,0.26441753001830726,0.05620894178837444,0.376318330265556
19,0.029396340489154186,0.3212187781338015,0.05375292586788401,0.34113539326851366
20,0.017268746162868755,0.1948071075598308,0.04303536389827501,0.2583336891416938
21,0.01790493289220535,0.2079860340909303,0.05252498944375474,0.31200853974154313
22,0.018485672399639212,0.21616950289224787,0.05360894095562047,0.35255772598607477
23,0.01780594039186683,0.2079408695985502,0.05272982181145401,0.3148127295744014
24,0.01816357403317516,0.20751276981691621,0.04854661285421935,0.3039716427200967
25,0.01664661018155842,0.20518544736374308,0.046362061609988466,0.28289302737010563
26,0.017451420685747034,0.20847480431499124,0.05488613228471039,0.35839802762863077
27,0.01708040737374152,0.11272344662425827,0.03981806705845733,0.27012547464844355
28,0.02035307922455325,0.19309872507494574,0.08984792968025243,0.7512487652113395
29,0.008568606330493585,0.06794993870071489,0.015333899124719932,0.11651309980169243
30,0.010780419729697621,0.08190089147606962,0.02884321732043226,0.17590401536514816
31,0.014748205584576185,0.11625416513583371,0.030532769560604515,0.16670772300794603
32,0.010698404797189233,0.0817592247686629,0.02910008252705356,0.17509893474618485
33,0.008062658801927065,0.06922573546457944,0.018098143625879207,0.12084752800020977
34,0.007081893657326048,0.06105176062258611,0.019528171178233734,0.12779828542347574
35,0.01344339863710493,0.10600929122341028,0.030393118247763567,0.15644915472844703
