,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model
0,0.010246034162731791,0.14405120843586425,0.02097506661375199,0.290748566878925
1,0.009230932427003454,0.1304824393709098,0.04118491521823351,0.2027086108979597
2,0.007299499198900183,0.10760015579179462,0.011221123905660565,0.16501574420856255
3,0.0074702806728258134,0.11082577657382592,0.015385565073453983,0.172049064043013
4,0.008040730652431823,0.12224660647617061,0.01435959186380962,0.1822522465881223
5,0.007489563256566909,0.1110937492434157,0.015350849482640387,0.17329772710341834
6,0.009252265161432871,0.13784769533592003,0.013923981718569825,0.20472592043188975
7,0.00820835056199876,0.12160695856148261,0.012927249728806428,0.19018081339195658
8,0.006799634146402105,0.10371584099699058,0.013396146033756634,0.16219019525470815
9,0.05742571565115889,0.5403717716275427,0.10310191595726509,0.9714131719872532
10,0.07414396520805219,0.6175017906295202,0.18749055295670575,1.6630023240390843
11,0.029855479346825507,0.3510061680795702,0.048838285377192696,0.7474988163217829
12,0.048308687149503815,0.44934682008573856,0.11434871093111744,1.1841527894449408
13,0.04808299156569236,0.41920675964567855,0.09725137325035195,1.090724948823085
14,0.049546786259070975,0.45326424583560715,0.11412812152307454,1.182922872134375
15,0.04916446481228585,0.32707394595657857,0.05780412305235611,0.7928853079625636
16,0.022445420787737716,0.34392326036936155,0.07845727280644182,1.0415600084406327
17,0.04507808188683955,0.40396247720766093,0.106172821611615,1.157670903078817
18,0.024629593947407127,0.2677084639513038,0.05688805570782806,0.3730458502091775
19,0.035335761872419255,0.39645939299120747,0.05167728425926974,0.314724051827609
20,0.017033109061827634,0.19201401092065962,0.041123674536981854,0.2481129944340395
21,0.017755842816353958,0.20729942298638526,0.05125278029188596,0.3039859811080541
22,0.018829941097517726,0.22467623833200895,0.05208618418582142,0.3490637504931557
23,0.01770340564306509,0.20778149605710317,0.05145077665548921,0.30640095163962316
24,0.019991036631823063,0.2292674340653133,0.046368687327687085,0.297152441623765
25,0.016805660939553387,0.20622527340983401,0.045414057864391504,0.2803377198899956
26,0.017734975967607817,0.21594402567191698,0.05328264257409804,0.3509246287592051
27,0.017385901213184743,0.11538148396823544,0.03879220506678215,0.25954144958577974
28,0.025844046355262693,0.21333671742761998,0.09284946326147794,0.662002631144808
29,0.0080840114317405,0.06329696144976646,0.015513197995617135,0.11146637731932912
30,0.01091948942467019,0.08356947070915917,0.02812950767597291,0.1694685149218385
31,0.01589590543118464,0.12349922709015179,0.03044381969032527,0.16698496106879476
32,0.010848843579969607,0.0832453518703897,0.028439889473476428,0.1698008577414756
33,0.007908855038050507,0.0674407068345816,0.01678431068740554,0.11209686174137869
34,0.006854049630114469,0.05893978800618123,0.018039157929341347,0.12061681128492883
35,0.014667342299288452,0.11370666169276246,0.030188160478452068,0.1588538677988662
