,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_separate,0.8806091915378836,1.6938566385771352,-1,-1,0.9199101250344287,1.4422027779443463,{'criterion': 'friedman_mse'}
1,CO2,ADBR_separate,0.8329669819853006,2.4331132948596883,-1,-1,0.8408223128112171,2.2424935235836556,"{'learning_rate': 0.1, 'loss': 'exponential', 'n_estimators': 100}"
2,CO2,GBR_separate,0.9398648513772955,0.8434746865645616,-1,-1,0.9490916001054153,0.8989887430438577,"{'learning_rate': 0.5, 'n_estimators': 200}"
3,CO2,BG_separate,0.9293311183018215,1.0184660576171356,-1,-1,0.9512247747577982,0.8618537663955899,{'n_estimators': 100}
4,CO2,ETR_separate,0.9295439686933349,1.0147730829983428,-1,-1,0.9503986069599966,0.876595956685807,{'n_estimators': 180}
5,CO2,RF_separate,0.928724444200425,1.0242870241806037,-1,-1,0.9519106426676819,0.8517464816052597,{'n_estimators': 200}
6,CO2,LGBM_separate,0.9357269757127995,0.9178919216747751,-1,-1,0.9566100300487121,0.7571437351897614,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
7,CO2,BGLGBM_separate,0.9430859993886662,0.8178668704852179,-1,-1,0.9596655866323425,0.684637480339894,{'n_estimators': 50}
8,CO2,BGETR_separate,0.9317995339035308,0.9867185383277157,-1,-1,0.9523284147125743,0.8307782893503886,{'n_estimators': 10}
9,CFCs,DT_separate,0.737049175971353,1.85632815592377,-1,-1,0.7283792462684993,1.7630577605167697,{'criterion': 'friedman_mse'}
10,CFCs,ADBR_separate,0.6868704765621146,2.1976679774667454,-1,-1,0.5724998200567859,2.745842573544744,"{'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 100}"
11,CFCs,GBR_separate,0.8910396392446904,0.8943818901488946,-1,-1,0.8498448682561476,1.1308315094314578,"{'learning_rate': 0.1, 'n_estimators': 200}"
12,CFCs,BG_separate,0.8214560012558707,1.438129318463981,-1,-1,0.7209894838841608,1.7485264672459948,{'n_estimators': 100}
13,CFCs,ETR_separate,0.8652584118743432,1.0352336941223093,-1,-1,0.7738923225204676,1.4907113783866615,{'n_estimators': 150}
14,CFCs,RF_separate,0.8239313847990746,1.423546949013247,-1,-1,0.7155827173560301,1.7803306400223478,{'n_estimators': 150}
15,CFCs,LGBM_separate,0.8971612426415028,0.8603120832744023,-1,-1,0.9171868711958957,0.7032680102487172,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 20}"
16,CFCs,BGLGBM_separate,0.8983306152510522,0.9788642962378924,-1,-1,0.8470577059960147,1.1029260988120426,{'n_estimators': 10}
17,CFCs,BGETR_separate,0.8682893604950428,1.0181448777421847,-1,-1,0.7718127501274886,1.493979586903796,{'n_estimators': 10}
18,Methane,DT_separate,0.8038037651279637,2.1744802600189312,-1,-1,0.888333439046124,1.5881197068480346,{'criterion': 'friedman_mse'}
19,Methane,ADBR_separate,0.7937953908720647,2.3026122149557926,-1,-1,0.8501794076282922,1.9169499688499327,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 200}"
20,Methane,GBR_separate,0.9018709547606735,1.0765203077366754,-1,-1,0.9420523278000572,0.7689888345848372,"{'learning_rate': 0.5, 'n_estimators': 200}"
21,Methane,BG_separate,0.8843967541211206,1.2642116867340678,-1,-1,0.9357321320875964,0.8557969264254413,{'n_estimators': 100}
22,Methane,ETR_separate,0.8954204173263021,1.1492922318633874,-1,-1,0.9459985366457176,0.7091799157119522,{'n_estimators': 200}
23,Methane,RF_separate,0.8850368029923679,1.2574309905903618,-1,-1,0.9364715077270025,0.8445938657452993,{'n_estimators': 200}
24,Methane,LGBM_separate,0.8910383078129357,1.197319217625291,-1,-1,0.9320716831753326,0.8863802080919294,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 30}"
25,Methane,BGLGBM_separate,0.9030223677517485,1.067016975560956,-1,-1,0.946096549842941,0.6991282057804669,{'n_estimators': 50}
26,Methane,BGETR_separate,0.8953273494217573,1.1485661101375892,-1,-1,0.9462325448446005,0.6928799497665982,{'n_estimators': 10}
27,E&E,DT_separate,0.8300416503162525,1.2641074258912521,-1,-1,0.8743830958509264,1.0888395009981902,{'criterion': 'friedman_mse'}
28,E&E,ADBR_separate,0.742736452782393,1.9424030697307295,-1,-1,0.5734406754652306,2.096187676928893,"{'learning_rate': 0.1, 'loss': 'exponential', 'n_estimators': 200}"
29,E&E,GBR_separate,0.9236038979818166,0.563794499597577,-1,-1,0.9482973863057345,0.4649002045910342,"{'learning_rate': 0.5, 'n_estimators': 200}"
30,E&E,BG_separate,0.8854689126172518,0.8687760168985665,-1,-1,0.9123829685925406,0.715903325706162,{'n_estimators': 100}
31,E&E,ETR_separate,0.894496017429173,0.7907051355440601,-1,-1,0.9170282768951429,0.6668429838653628,{'n_estimators': 100}
32,E&E,RF_separate,0.8852148900208636,0.8706350705599852,-1,-1,0.9143706673810807,0.7019712272380303,{'n_estimators': 200}
33,E&E,LGBM_separate,0.9258516071234666,0.5673200445166702,-1,-1,0.9441786622488106,0.4746946328412883,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}"
34,E&E,BGLGBM_separate,0.9285867726532512,0.5443338552398439,-1,-1,0.9482910754249267,0.43209377657411396,{'n_estimators': 10}
35,E&E,BGETR_separate,0.8956183833164941,0.7871361763171564,-1,-1,0.9156720236393698,0.669953866776911,{'n_estimators': 10}
