,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model
0,0.007770776337433337,0.0946454520757192,0.01859938175613019,0.26267028377325885
1,0.009396125742564846,0.13219090491214927,0.04418980249895826,0.23660580618027052
2,0.0057014358182156935,0.09791026352655181,0.01382381059932386,0.17907898754536147
3,0.004755015447348462,0.06758306437302164,0.014154202784661379,0.1379081848727982
4,0.005165930702095376,0.08057831089716952,0.011834397519219143,0.14867499350828128
5,0.0047769743800136115,0.06676265046424422,0.01401775097490258,0.1379234512248839
6,0.004876266825057771,0.0650036033338609,0.007854105438711305,0.13076260842750756
7,0.004996728201000835,0.06900255478301442,0.008854347938639593,0.15933584100463252
8,0.004746248701234131,0.07357747349186747,0.011570582320388689,0.13931029106119122
9,0.0693044584134763,0.6758445115251996,0.10765753856950945,0.9981604055170333
10,0.07636012365323472,0.6566416792782211,0.18662212157536343,1.6989164450805503
11,0.03289700920152065,0.37740419727020014,0.04517985682646638,0.7355858934756133
12,0.04956355072566033,0.47578536010167205,0.11528035610055838,1.2006375197973513
13,0.048160892958319435,0.4746253250954898,0.0975777890302165,1.1301629247811436
14,0.051857538328539225,0.48195019006814654,0.11787961816561257,1.2368037487055041
15,0.03483800780007051,0.2777254905193432,0.04936279326722131,0.8147744745635923
16,0.02356774483222797,0.3670881075953278,0.08268183147765608,1.104869426308467
17,0.046464972202318724,0.4672329611059499,0.10459896496763206,1.174358706468384
18,0.02128017025422364,0.24783987614589018,0.06371560516062946,0.3906098642297712
19,0.022717390638544263,0.21442382144885155,0.04938645057902386,0.24208479428557927
20,0.017849440365939852,0.23000843899350573,0.04258243361724843,0.2594599364614125
21,0.01750436412808724,0.218494697558567,0.04737874263860016,0.2748776749399636
22,0.016416040717537925,0.21017525839464993,0.04832878531634007,0.30067653564165475
23,0.017190635160840653,0.21474052210722075,0.04802649067918442,0.2808609069354122
24,0.01765398683845785,0.21499664291980577,0.04480105958292942,0.26923732932603794
25,0.015990345297907355,0.2010863546928362,0.0459667219672837,0.27954822758190073
26,0.0163266895215245,0.209415705590926,0.05055042948911837,0.3129221673157175
27,0.016269118324414206,0.1075738956855595,0.04102586740174769,0.30215542568154685
28,0.04650501529193752,0.3753282042829028,0.07125950283581102,0.23107512175927947
29,0.006682680509882708,0.058983395150776344,0.015520118817942342,0.11281567203879408
30,0.00737192296858458,0.05355817949294811,0.029162685824016113,0.20234678611182244
31,0.0057990577460948,0.05277413916000585,0.022916725226068402,0.13587211588235967
32,0.007079287367150545,0.05341944012150058,0.029424039163424637,0.20521077009086153
33,0.0063741063836804945,0.054188780332235384,0.01435172456128293,0.10994337226845012
34,0.0048525684644776905,0.0464403735587697,0.016196646915494745,0.11959592457412824
35,0.005885991721680114,0.05140409511959793,0.022687583334320797,0.13175511177229932
