,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model,test_r2_separa_model_m,test_mse_separa_model_m
0,0.00,0.04,0.01,0.09,0.01,0.08
1,0.00,0.03,0.01,0.08,0.01,0.08
2,0.00,0.05,0.01,0.12,0.01,0.07
3,0.00,0.04,0.01,0.10,0.01,0.07
