,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model,test_r2_separa_model_m,test_mse_separa_model_m
0,0.92,1.56,0.93,1.38,0.94,0.95
1,0.92,1.52,0.94,1.22,0.95,0.80
2,0.93,1.44,0.94,1.14,0.95,0.78
