,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
0,CO2,DT_total,0.885388118,1.590650318,0.840747484,1.567134854,0.828717265,1.5167871,{'criterion': 'friedman_mse'},1.480944418,1.25151716,1.85279593,1.601574232,1.692404964,1.460221098,1.538794451,1.782449711,1.132696567,1.53,0.22
1,CFCs,DT_total,0.885388118,1.590650318,0.840747484,1.567134854,0.905243481,1.773670035,{'criterion': 'friedman_mse'},2.369606241,7.977012496,3.604495913,2.833706942,4.852130842,2.016841543,12.62925572,2.325571924,5.009930723,4.54,3.42
2,Methane,DT_total,0.885388118,1.590650318,0.840747484,1.567134854,0.842933246,1.744938846,{'criterion': 'friedman_mse'},1.873276006,1.671934796,1.532741786,1.889691747,1.850417995,1.881109798,1.752920744,1.548608114,1.286182047,1.70,0.20
3,E&E,DT_total,0.885388118,1.590650318,0.840747484,1.567134854,0.793208711,1.398997656,{'criterion': 'friedman_mse'},1.198613236,1.067412359,1.219929614,1.235810932,1.188131214,1.429293686,1.660422705,1.228270954,1.086047815,1.27,0.18
4,CO2,GBR_total,0.925405397,1.038856743,0.89250077,1.06545446,0.90550139,0.817785041,"{'learning_rate': 0.5, 'n_estimators': 200}",0.723180216,0.642882607,0.874876665,0.851263846,0.949101782,0.819134084,0.931237388,1.06755139,0.696935346,0.84,0.13
5,CFCs,GBR_total,0.925405397,1.038856743,0.89250077,1.06545446,0.917147253,1.336757506,"{'learning_rate': 0.5, 'n_estimators': 200}",2.459113102,5.326803881,1.387052602,0.650630291,2.314430444,1.167518339,1.536169915,1.976077326,2.91808732,2.11,1.32
6,Methane,GBR_total,0.925405397,1.038856743,0.89250077,1.06545446,0.860737833,1.793079065,"{'learning_rate': 0.5, 'n_estimators': 200}",1.362058443,1.191344633,1.245947268,1.123647421,2.05098937,1.619685944,1.493681583,1.095822931,0.897356103,1.39,0.35
7,E&E,GBR_total,0.925405397,1.038856743,0.89250077,1.06545446,0.869847377,0.806075383,"{'learning_rate': 0.5, 'n_estimators': 200}",0.83477398,0.638251307,0.668838641,0.905695826,0.771845901,0.724965245,0.557572984,0.797122058,0.671475747,0.74,0.10
8,CO2,BG_total,0.933268609,0.927656628,0.896389332,0.984523479,0.892510264,0.926537947,{'n_estimators': 100},0.873602088,0.764438259,0.989134634,0.891756156,1.024554035,0.842251118,0.896543117,1.128144738,0.63053792,0.90,0.14
9,CFCs,BG_total,0.933268609,0.927656628,0.896389332,0.984523479,0.929223747,1.196167142,{'n_estimators': 100},2.036305318,2.737544689,2.39969002,1.410755863,3.6610897,1.193307861,2.427154498,1.520607122,5.240958435,2.38,1.27
