,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
23,E&E,LGBM_total,0.940995194,0.820172293,0.915216389,0.87213535,0.83619286,1.11,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",1.273075043,0.361076456,0.385994015,0.67427189,0.428935363,0.642585146,0.563385309,0.732451201,0.461864249,0.66,0.31
24,CO2,BGLGBM_total,0.947022468,0.738356906,0.915497718,0.812037094,0.925902804,0.65,{'n_estimators': 50},0.594303127,0.550390914,0.754320621,0.655476114,0.832148815,0.642104386,0.736867949,0.835268144,0.493883791,0.67,0.11
25,CFCs,BGLGBM_total,0.947022468,0.738356906,0.915497718,0.812037094,0.957551686,0.71,{'n_estimators': 50},1.559541954,1.348335874,0.868352344,1.07249282,0.984340964,0.660461218,1.594870238,1.955618069,2.71680294,1.35,0.64
26,Methane,BGLGBM_total,0.947022468,0.738356906,0.915497718,0.812037094,0.890434563,1.24,{'n_estimators': 50},1.039397768,0.832897962,1.140447068,0.790486933,1.032073897,0.910342162,1.071831123,0.714775042,0.683927697,0.95,0.19
27,E&E,BGLGBM_total,0.947022468,0.738356906,0.915497718,0.812037094,0.8589013,0.87,{'n_estimators': 50},0.867244107,0.401368052,0.48953379,0.622999181,0.512198445,0.594767433,0.488923601,0.558146458,0.488032915,0.59,0.16
28,CO2,DT_separate,0.899218842,1.5371319,-1,-1,0.830447891,1.484613424,{'criterion': 'squared_error'},1.522458171,1.262304509,1.632674012,1.604747663,1.54718031,1.546064156,1.569517837,1.782258391,1.051114604,1.50,0.20
29,CO2,GBR_separate,0.941988749,0.899500877,-1,-1,0.912880448,0.81068865,"{'learning_rate': 0.5, 'n_estimators': 200}",0.753820519,0.607438029,0.751088964,0.875156464,0.899415213,0.669882276,0.803426853,0.864780561,0.569281072,0.76,0.11
30,CO2,BG_separate,0.93822677,0.955746762,-1,-1,0.887452117,0.97086981,{'n_estimators': 100},0.842777395,0.754168603,0.959791579,0.876516421,1.042371383,0.86601638,0.877177303,1.083588992,0.603840645,0.89,0.14
31,CO2,ETR_separate,0.945723557,0.828773169,-1,-1,0.913132863,0.75,{'n_estimators': 180},0.684140384,0.660592613,0.811573982,0.733535884,0.969939548,0.718027458,0.795971733,0.930137332,0.565945707,0.76,0.12
32,CO2,RF_separate,0.93832744,0.953804956,-1,-1,0.889537378,0.95291871,{'n_estimators': 200},0.828304549,0.754525298,0.948316283,0.886486754,1.015504342,0.874082508,0.87294061,1.097083761,0.602482687,0.88,0.14
33,CO2,LGBM_separate,0.940251445,0.91751362,-1,-1,0.92643421,0.65,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.618673396,0.69252833,0.785546233,0.737529045,0.883847997,0.736669094,0.748828441,0.946591208,0.54520429,0.73,0.12
34,CO2,BGLGBM_separate,0.947696584,0.810043681,-1,-1,0.928806573,0.64,{'n_estimators': 50},0.564362186,0.560448006,0.655354451,0.655918049,0.796321346,0.61938105,0.682106757,0.820817294,0.463266982,0.65,0.11
35,CFCs,DT_separate,0.707611283,5.719690398,-1,-1,0.813034082,3.606352771,{'criterion': 'absolute_error'},2.679063787,8.416427973,4.425141338,6.795714172,6.563587595,3.686110877,6.640874593,7.147714062,11.19425129,6.12,2.58
36,CFCs,GBR_separate,0.803813169,3.725243884,-1,-1,0.88212558,2.390947806,"{'learning_rate': 0.5, 'n_estimators': 200}",1.136236776,5.291909154,0.805907731,7.641563674,5.406560562,0.940828351,1.336896231,1.523834997,5.92123321,3.24,2.55
37,CFCs,BG_separate,0.798846739,4.366369445,-1,-1,0.918366186,1.51259101,{'n_estimators': 100},2.020655592,5.152746054,0.824516,4.59846678,6.160370329,1.791362881,1.637089012,2.563171909,5.962058028,3.22,2.02
38,CFCs,ETR_separate,0.888095122,2.298988621,-1,-1,0.939081902,0.99,{'n_estimators': 150},1.698938528,2.816517255,0.89619888,4.286293674,2.809503917,0.910590507,2.546356244,2.330018987,5.241111355,2.45,1.45
39,CFCs,RF_separate,0.795424861,4.449102965,-1,-1,0.916238419,1.571095947,{'n_estimators': 180},2.003680507,5.222667899,0.872975489,4.66967003,6.105002586,1.786594627,1.686716358,2.729104956,5.943162865,3.26,2.01
